node,targetX,targetY,displacement,minimumSweepSeparation,nearestNode,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,oldColors,newColors,maxResponseBytes,geometryHash
2,0.75,0,0.15,0.45,6,3,1,5,2,6,6,46,1120996
7,0.45,0.6,0.15,0.45,3,4,2,6,4,6,6,56,734584
9,-0.45,0.6,0.15,0.45,3,4,2,6,3,6,6,56,1237186
6,1.05,-0.0499999999999998,0.158113883008419,0.452769256906871,2,3,2,5,2,6,6,46,544384
6,1.05,0.0499999999999998,0.158113883008419,0.452769256906871,2,3,2,5,2,6,6,46,914496
3,-0.15,0.65,0.158113883008419,0.452769256906871,9,4,2,6,3,6,6,56,1568727
3,0.15,0.65,0.158113883008419,0.452769256906871,7,4,2,6,4,6,6,56,1475981
4,-0.65,0.15,0.158113883008419,0.452769256906871,9,2,2,4,2,6,6,46,1328619
3,-0.15,0.55,0.158113883008419,0.452769256906871,9,4,2,6,3,6,6,56,633676
3,0.15,0.55,0.158113883008419,0.452769256906871,7,4,2,6,4,6,6,56,1611884
4,-0.55,0.15,0.158113883008419,0.452769256906871,9,2,2,4,2,6,6,46,772417
2,0.75,-0.0499999999999998,0.158113883008419,0.452769256906871,6,3,1,5,2,6,6,46,1379932
2,0.75,0.0499999999999998,0.158113883008419,0.452769256906871,6,3,1,5,2,6,6,46,1017081
7,0.45,0.65,0.158113883008419,0.452769256906871,3,4,2,6,4,6,6,56,971584
9,-0.45,0.65,0.158113883008419,0.452769256906871,3,4,2,6,3,6,6,56,925366
7,0.45,0.55,0.158113883008419,0.452769256906871,3,4,2,6,4,6,6,56,1020228
9,-0.45,0.55,0.158113883008419,0.452769256906871,3,4,2,6,3,6,6,56,1575371
6,1.05,-0.0999999999999999,0.180277563773199,0.460977222864644,2,3,2,5,2,6,6,46,823242
6,1.05,0.0999999999999999,0.180277563773199,0.460977222864644,2,3,2,5,2,6,6,46,892946
3,-0.15,0.5,0.180277563773199,0.460977222864644,9,4,2,6,3,6,6,56,742747
3,-0.15,0.7,0.180277563773199,0.460977222864644,9,4,2,6,3,6,6,56,902418
3,0.15,0.5,0.180277563773199,0.460977222864644,7,4,2,6,4,6,6,56,1260904
3,0.15,0.7,0.180277563773199,0.460977222864644,7,4,2,6,4,6,6,56,1145642
4,-0.7,0.15,0.180277563773199,0.460977222864644,9,2,2,4,2,6,6,46,1323245
4,-0.5,0.15,0.180277563773199,0.460977222864644,9,2,2,4,2,6,6,46,883206
