seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition
16074009,10,2,0.3,0.1,70533994,16626263,36738,5336973,0.25,1,7,3,1,1,0,0,5,0,0,0,0,0,0,0,high-uncertainty
16074010,5,1,0.02,0.02,32694075,8421544,2460,5164701,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074010,5,2,0.3,0.1,32694075,7842201,2460,5551044,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074010,10,1,0.02,0.02,75384685,16160082,36282,3814952,1,3,3,3,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074010,10,2,0.3,0.1,75384685,16890488,36282,4575825,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074011,5,1,0.02,0.02,36607812,8909007,2494,6319302,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074011,5,2,0.3,0.1,36607812,8329664,2494,5494383,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074011,10,1,0.02,0.02,66787948,15743776,36484,3936050,1,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074011,10,2,0.3,0.1,66787948,16474182,36484,5822673,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074012,5,1,0.02,0.02,37036646,8718102,2478,6253127,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074012,5,2,0.3,0.1,37036646,8138759,2478,5676486,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074012,10,1,0.02,0.02,70001852,15880146,36782,4815894,1,3,9,4,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074012,10,2,0.3,0.1,70001852,16610552,36782,6535096,0.5,2,9,4,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074013,5,1,0.02,0.02,31376373,8931859,2490,6321898,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
