seed,scenario,method,evaluationStart_s,sampleCount,formationRMSE_m,metricImplementationRMSE_m,perfectContinuationRMSE_m,formationRMSEUpper_m,degradationRMS_m,degradationRMSUpper_m,positionCoverage,scaledVelocityCoverage,formationCoverage,maxPositionViolation_m,maxScaledVelocityViolation_m,maxFormationViolation_m,p95FullPositionTightness,p95HardAccelerationTightness,p95PropagationOnlyTightness,maxActualPositionDegradation_m,maxFinitePositionBound_m,maxHardAccelerationFiniteBound_m,maxStructuredPositionUUB_m,legacyCommunicationUUB_m,maxDisturbanceBound_mps2,maxHardAccelerationDisturbanceBound_mps2,maxDisturbanceViolation_mps2,maxRecurrenceResidual,maxActualAcceleration_mps2,maxIdealAcceleration_mps2
27020001,Stressed,Causal-v3 frozen,8,1101,0.11676489230019,0.11676489230019,0.0286038304528938,0.26002871737446,0.109406223905477,0.242023115952749,1,1,1,0,0,0,0.482722409598617,0.0851987247433563,0.997985712801387,0.149571265793974,0.324816866998181,2.01049420493689,0.522177422494666,2275.1694039825,0.656503845689682,5.59304344269366,-0.0240132483148037,4.44089209850063e-16,0.172046610935991,0.198780756449253
27020002,Stressed,Causal-v3 frozen,8,1101,0.118846239982197,0.118846239982197,0.0300839446232016,0.262311587932598,0.110952519527265,0.243958951535577,1,1,1,0,0,0,0.493712745802516,0.0849820454336599,0.998183838024731,0.156019032483569,0.328355904940605,2.06146736331798,0.524168522573275,2192.95362218272,0.581946220479946,4.8777938533532,-0.0345189749687579,4.30211422042248e-16,0.146944581879825,0.219371765499801
27020003,Stressed,Causal-v3 frozen,8,1101,0.11643388217829,0.11643388217829,0.0287155685210381,0.259881752575254,0.108936849380935,0.241802943263071,1,1,1,0,0,0,0.480451142077185,0.0836161278864393,0.998158682203479,0.14658810302248,0.32447558140296,2.02166448761776,0.52325821420868,2258.61499719253,0.658471327330109,5.15446687087233,-0.0302957656147432,4.30211422042248e-16,0.224888923442324,0.204239916864407
27020004,Stressed,Causal-v3 frozen,8,1101,0.115203770741914,0.115203770741914,0.0291611074717678,0.258019087641047,0.107515851745831,0.239829009698851,1,1,1,0,0,0,0.477158337088782,0.0863581377534535,0.998070208489449,0.148107946219644,0.324486049314391,2.03483719167597,0.502651470320481,2204.8312059243,0.614141561989658,5.14790580367097,-0.0317998198216594,4.1286418728248e-16,0.212196882879981,0.275033822618922
27020005,Stressed,Causal-v3 frozen,8,1101,0.11727224480742,0.11727224480742,0.029518995024581,0.260888744823405,0.109620182103838,0.242711800718746,1,1,1,0,0,0,0.479380898628542,0.0891958762812941,0.997976566229754,0.148848470462198,0.328431511676693,2.08924073347505,0.51976060964915,2297.1018123878,0.626219436364153,5.52015038875733,-0.0287916485524254,4.30211422042248e-16,0.218295112733165,0.197799538196046
