seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,RECONFIGURATION_TARGET_CLIENT,RECONFIGURATION_TARGET_SLOT,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,DISCOVERY_STATUS_ATTEMPTS,REQUEST_STATUS_ATTEMPTS,GRANT_WITHOUT_DECODED_REQUEST,CONTROL_ATTEMPT_BOUND,CONTROL_BOUND_RATIO,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,MAX_FALLBACK_ATTEMPTS_PER_NODE_FRAME,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16049047,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30497817900,30497817900,1062446,492027,176900190,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.994,0,0,0,0,NaN,NaN,2,0,213,314,87,126,0,534,0.98689138576779,314,527,2108,2108,0,0,1988,1,4773,4773,0,0,2,2,0,0,0,0,1,0.406228394755315,0.406228394755315,1,0,0
16049047,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30497817900,30497817900,1062449,499228,177265338,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.9645,0,0,0,0,222,221,NaN,1,261,319,80,215,0,534,1.08614232209738,440,580,2320,2320,0,0,1929,22,4647,4647,0,0,45,43,0,2,0,2,1,0.402412575217269,0.402224911961299,1,0,0
16049047,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113379689335,113379689335,1757145,3859977,504027300,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,455,930,176,279,0,1409,0.982966643009226,930,1385,12465,12465,0,0,3955,10,10295,10295,0,0,17,17,0,0,0,0,1,0.455570394204913,0.293067611272031,1,0,0
16049047,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113379689335,113379689335,2413015,3859977,504027300,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,455,930,176,279,0,1409,0.982966643009226,930,1385,12465,12465,0,0,3955,10,10295,9801,494,0,17,17,0,0,0,0,1,0.455570394204913,0.293067611272031,1,0,0
16049047,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113379689335,113379689335,2081511,3843262,503522733,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.9875,0,0,0,0,NaN,NaN,NaN,0,534,995,170,364,0,1409,1.08516678495387,1188,1529,13761,13056,705,0,3950,13,10283,10283,0,0,20,20,0,0,0,0,1,0.460304484144693,0.298007531209193,1,0,0
16049047,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113379689335,113379689335,1746229,708955,382845946,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,0,68,31,37,31,0,1409,0.0702625975869411,31,99,351,351,0,0,799,616,2798,2798,0,0,1371,1209,0,162,0,121,1,0.149020918104378,0.13152536832693,1,0,0
16049047,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113379689335,74685213128,1855086,4228800,501371854,1,2,421,0,0,3,3,0,1,NaN,0.889,0,0,0,0,NaN,NaN,NaN,0,806,1050,159,647,0,1409,1.31724627395316,1298,1856,16704,16305,399,0,3556,69,9497,9497,0,0,135,133,0,2,0,2,1,0.436736949444484,0.314885590994495,1,0,0
16049047,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113379689335,113379689335,1757564,3860406,504021139,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98825,0,0,0,0,NaN,NaN,2,0,455,915,175,280,0,1409,0.972320794889993,931,1370,12330,12330,0,0,3953,11,10291,10291,0,0,19,19,0,0,0,0,1,0.454952904212768,0.292655951277267,1,0,0
16049047,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113379689335,113379689335,1757567,3863772,503321724,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.92975,0,0,0,0,222,221,NaN,5,619,1035,157,580,0,1409,1.17388218594748,1479,1654,14886,14886,0,0,3719,55,9717,9717,0,0,120,118,0,2,0,2,1,0.445141674337571,0.299002376196538,1,0,0
16049048,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30347411161,30347411161,1062327,491092,176806773,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,213,310,89,124,0,534,0.97940074906367,310,523,2092,2092,0,0,1990,2,4777,4777,0,0,4,4,0,0,0,0,1,0.406541166848598,0.406541166848598,1,0,0
