context,role,N,macType,arm,meanRMSE,meanOffered,meanTrueAoI,meanCollisionRate,failureCount,meanPAccess,meanStandaloneAck,contextEvaluated,contextPermitted,contextBlockedFeasibility,contextBlockedValue
n10-moderate-bg0,core,10,csma,context-aware,0.0901738581639123,0.629562499999968,0.0808694622127457,0.251050012787181,0,0.1,52.2,2038,1044,0,994
n10-moderate-bg0,core,10,aloha,legacy-selector,0.433607665835282,1.75114583333336,0.493043117744611,0.953550394621082,20,0.1,9.35,0,0,0,0
n10-moderate-bg0,core,10,aloha,frame-piggyback,0.212540412668474,0.452716666666654,0.203319118692253,0.528099173997644,13,0.0142857142857143,0,0,0,0,0
n10-moderate-bg0,core,10,aloha,frame-adaptive,0.21638330778825,0.446616666666655,0.20768253968254,0.518890450465399,15,0.0142857142857143,78.65,0,0,0,0
n10-moderate-bg0,core,10,aloha,context-aware,0.217135581135864,0.447070833333322,0.208831082681829,0.52123559244126,14,0.0142857142857143,75.15,1762,1609,0,153
n10-moderate-bg30,core,10,csma,legacy-selector,0.261665548504295,1.02864999999992,0.259044776119403,0.836961750899977,20,0.1,0,0,0,0,0
n10-moderate-bg30,core,10,csma,frame-piggyback,0.261665548504295,1.02864999999992,0.259044776119403,0.836961750899977,20,0.1,0,0,0,0,0
n10-moderate-bg30,core,10,csma,frame-adaptive,0.261299309841106,1.02869583333326,0.258423833214878,0.836981578086676,20,0.1,0.3,0,0,0,0
n10-moderate-bg30,core,10,csma,context-aware,0.261299309841106,1.02870416666659,0.258423833214878,0.837005621305431,20,0.1,0.05,85,1,0,84
n10-moderate-bg30,core,10,aloha,legacy-selector,0.812693970522033,1.49396249999994,1.4949798625918,0.980926335035485,19,0.1,2.2,0,0,0,0
n10-moderate-bg30,core,10,aloha,frame-piggyback,0.612730118519323,0.504849999999981,0.782213456526889,0.89277243560552,20,0.0142857142857143,0,0,0,0,0
n10-moderate-bg30,core,10,aloha,frame-adaptive,0.608920557243449,0.504224999999982,0.784646766169154,0.889921901793524,20,0.0142857142857143,11.75,0,0,0,0
n10-moderate-bg30,core,10,aloha,context-aware,0.613286469471354,0.504416666666648,0.780881070836294,0.891935010312878,20,0.0142857142857143,4.1,368,83,0,285
n10-stressed-bg0,core,10,csma,legacy-selector,0.10842664816791,0.751549999999954,0.0981968727789623,0.310542285246358,0,0.1,0,0,0,0,0
n10-stressed-bg0,core,10,csma,frame-piggyback,0.10842664816791,0.751549999999954,0.0981968727789623,0.310542285246358,0,0.1,0,0,0,0,0
n10-stressed-bg0,core,10,csma,frame-adaptive,0.109217505682881,0.753033333333288,0.100367211561241,0.310478562351843,0,0.1,41.15,0,0,0,0
n10-stressed-bg0,core,10,csma,context-aware,0.108723238209452,0.748908333333288,0.0991644160151623,0.307043193911414,0,0.1,3.45,1107,69,0,1038
n10-stressed-bg0,core,10,aloha,legacy-selector,0.501145048967486,1.70475416666668,0.602052357261312,0.948985609115669,20,0.1,9.2,0,0,0,0
n10-stressed-bg0,core,10,aloha,frame-piggyback,0.26437871520965,0.45603333333332,0.265469793887705,0.530146534966655,20,0.0142857142857143,0,0,0,0,0
n10-stressed-bg0,core,10,aloha,frame-adaptive,0.268631899060326,0.449458333333321,0.265799099739398,0.518369168409879,20,0.0142857142857143,60.8,0,0,0,0
n10-stressed-bg0,core,10,aloha,context-aware,0.269303990434252,0.452087499999988,0.266081971096897,0.523270416933424,20,0.0142857142857143,45.8,1511,960,0,551
n10-stressed-bg30,core,10,csma,legacy-selector,0.322035786450984,1.02769999999992,0.333020374318882,0.837115270755161,20,0.1,0,0,0,0,0
n10-stressed-bg30,core,10,csma,frame-piggyback,0.322035786450984,1.02769999999992,0.333020374318882,0.837115270755161,20,0.1,0,0,0,0,0
n10-stressed-bg30,core,10,csma,frame-adaptive,0.321147262135653,1.02818333333326,0.330204927742242,0.8372146286512,20,0.1,0.5,0,0,0,0
n10-stressed-bg30,core,10,csma,context-aware,0.322035786450984,1.02769999999992,0.333020374318882,0.837115270755161,20,0.1,0,53,0,0,53
n10-stressed-bg30,core,10,aloha,legacy-selector,0.878177344373876,1.44799166666659,1.68210021321962,0.979837324800584,16,0.1,3.2,0,0,0,0
n10-stressed-bg30,core,10,aloha,frame-piggyback,0.723014919113449,0.494166666666649,1.03531509121061,0.889877203427119,20,0.0142857142857143,0,0,0,0,0
n10-stressed-bg30,core,10,aloha,frame-adaptive,0.724989921166809,0.492754166666649,1.0426289978678,0.887251570965416,20,0.0142857142857143,12.8,0,0,0,0
n10-stressed-bg30,core,10,aloha,context-aware,0.723022631455054,0.494149999999982,1.03528784648188,0.889802792227172,20,0.0142857142857143,0.55,527,11,0,516
n5-moderate-reverse,boundary,5,csma,legacy-selector,0.0535642170291905,0.276666666666667,0.0716014372581536,0.150190827842071,0,0.2,0,0,0,0,0
n5-moderate-reverse,boundary,5,csma,frame-piggyback,0.0535642170291905,0.276666666666667,0.0716014372581536,0.150190827842071,0,0.2,0,0,0,0,0
n5-moderate-reverse,boundary,5,csma,frame-adaptive,0.0534356375708778,0.288945833333334,0.0706926478717523,0.140386108010115,0,0.2,64.1,0,0,0,0
n5-moderate-reverse,boundary,5,csma,context-aware,0.0534536430650469,0.288858333333334,0.0711160862354892,0.140212290461898,0,0.2,61.9,1289,1238,0,51
n5-moderate-reverse,boundary,5,aloha,legacy-selector,0.082900023679189,0.82217499999995,0.120341072415699,0.761632328521448,0,0.2,299.55,0,0,0,0
n5-moderate-reverse,boundary,5,aloha,frame-piggyback,0.0783773660068533,0.31205,0.111921503593145,0.390880431460136,0,0.0285714285714286,0,0,0,0,0
n5-moderate-reverse,boundary,5,aloha,frame-adaptive,0.0811565192208752,0.3245625,0.118341625207297,0.382595211287337,0,0.0285714285714286,160.35,0,0,0,0
n5-moderate-reverse,boundary,5,aloha,context-aware,0.0813814135953606,0.325425,0.118122166943062,0.387178129044987,0,0.0285714285714286,152.35,3608,3374,0,234
n5-moderate-hidden,boundary,5,csma,legacy-selector,0.0598475669439609,0.495133333333316,0.0825831951354339,0.58270147173378,0,0.2,0,0,0,0,0
n5-moderate-hidden,boundary,5,csma,frame-piggyback,0.0598475669439609,0.495133333333316,0.0825831951354339,0.58270147173378,0,0.2,0,0,0,0,0
n5-moderate-hidden,boundary,5,csma,frame-adaptive,0.0597998853499726,0.506508333333315,0.0840541735765615,0.575561727518382,0,0.2,47.2,0,0,0,0
n5-moderate-hidden,boundary,5,csma,context-aware,0.0601235768787853,0.503720833333316,0.0833327805417357,0.573101345002495,0,0.2,43.4,986,868,0,118
n5-moderate-hidden,boundary,5,aloha,legacy-selector,0.0788092631475776,0.750370833333291,0.113681039248203,0.734321423530277,0,0.2,327.05,0,0,0,0
n5-moderate-hidden,boundary,5,aloha,frame-piggyback,0.0783773660068533,0.31205,0.111921503593145,0.390880431460136,0,0.0285714285714286,0,0,0,0,0
n5-moderate-hidden,boundary,5,aloha,frame-adaptive,0.0826487444571471,0.320558333333334,0.1207954671089,0.381955114870081,0,0.0285714285714286,160.1,0,0,0,0
n5-moderate-hidden,boundary,5,aloha,context-aware,0.0827750474156378,0.3197625,0.1201818684356,0.381027145840323,0,0.0285714285714286,155.6,3645,3449,0,196
