scenario,reference,nPairs,periodicRateHz,referenceMeanRMSE,elcsWMeanRMSE,referenceMeanCost,elcsWMeanCost,rmseDelta,rmseCiLo,rmseCiHi,costDelta,costCiLo,costCiHi,relativeRmse,relativeCost,strictDominates,epsilonDominates,epsilonConfidenceSupported
n5-6dof-zero-loss,periodic-cost-match,30,18.9097222222221,0.0307574343707567,0.0299113557264038,0.290559999999997,0.290453333333331,0.000846078644352907,0.000833357169793428,0.000858931054684037,0.000106666666666533,0.000106666666666533,0.000106666666666533,0.0282862018054917,0.000367242012485836,0,0,0
n5-6dof-zero-loss,periodic-cost-minus1pct,30,18.6733506944443,0.030844232268797,0.0299113557264038,0.286719999999997,0.290453333333331,0.00093287654239321,0.000917731757201335,0.000948282802099619,-0.00373333333333342,-0.00373333333333342,-0.00373333333333342,0.0311880394498381,-0.0128534704370188,0,0,0
n10-ring2-zero-loss,periodic-cost-match,30,10.0833333333332,0.0561514132590495,0.0508663285661558,0.309759999999997,0.309759999999997,0.00528508469289375,0.00524798011604099,0.0053217287530681,-1.66533453693773e-16,-1.66533453693773e-16,-1.66533453693773e-16,0.103901438178697,-2.22044604925031e-16,0,0,0
n10-ring2-zero-loss,periodic-cost-minus1pct,30,9.94821666666657,0.0567358704310447,0.0508663285661558,0.305476266666664,0.309759999999997,0.00586954186488894,0.00585270893025098,0.00588572304683425,-0.00428373333333347,-0.0043178666666668,-0.00424106666666681,0.115391498272873,-0.0138292011019292,0,0,0
