scenario,comparison,nPairs,meanRmseDelta,meanUtilDelta,rmseCiLo,rmseCiHi,utilCiLo,utilCiHi
n5-stressed,continuous-zero-clock-ideal,30,0.000217405999442645,-0.0386666666666677,-0.00189442110011266,0.00253036222154485,-0.0386666666666677,-0.0386666666666677
n5-stressed,continuous-clock-safe-guard-ideal,30,0.000577042216141807,-0.0386666666666677,-0.000899119375840141,0.00205055239494595,-0.0386666666666677,-0.0386666666666677
n10-moderate,continuous-zero-clock-ideal,30,-0.000550097376086817,-0.0773333333333359,-0.0011370118632978,3.54334418501555e-05,-0.0773333333333359,-0.0773333333333359
n10-moderate,continuous-clock-safe-guard-ideal,30,0.00133049273945652,-0.0773333333333359,0.000763758031656618,0.00193027456406004,-0.0773333333333359,-0.0773333333333359
