scenario,loadCondition,nPairs,meanRealizedBackgroundFraction,meanOnRunSec,meanTransitions,candidateMeanRMSE,periodicMeanRMSE,candidateMeanCost,periodicMeanCost,relativePeriodicRmse,relativePeriodicCost,rmseDelta,rmseCiLo,rmseCiHi,costDelta,costCiLo,costCiHi,physicalTerminalCertificationRate,meanUncertifiedNodeFrames,meanPhysicalRetryClaims,falseValidEdgeFrames,scheduledCollisionFrames,candidateSafeFailures,candidateDivergences,epsilonDominates,epsilonConfidenceSupported
n5-6dof-zero-loss,clean,30,0,0,0,0.0299184740712261,0.030844491505832,0.290453333333331,0.286719999999997,0.0309513590967712,-0.0128534704370188,0.000926017434605958,0.000914899927050032,0.000937261046853164,-0.00373333333333342,-0.00373333333333342,-0.00373333333333342,1,0,0,0,0,0,0,0,0
n5-6dof-zero-loss,iid-load15,30,0.149727777777775,0.00117536646335616,3057.26666666667,0.0544443983027732,0.0549131064337156,0.324386133333331,0.286719999999997,0.00860893215011438,-0.11611511548377,0.000468708130942385,-0.000945316908284021,0.00194094499449539,-0.0376661333333333,-0.0394332444444444,-0.0358847822222222,1,4.13333333333333,181.366666666667,0,0,0,0,1,0
n5-6dof-zero-loss,markov-load15,30,0.150466666666664,0.0491956823021127,72.9666666666667,0.0366884681352796,0.0379139457723016,0.293897244444442,0.286719999999997,0.0334022568754675,-0.0244209313973384,0.00122547763702202,0.000905422788175673,0.00160123340851516,-0.0071772444444445,-0.00781795555555561,-0.00657064888888896,1,1.9,28.2,0,0,0,0,0,0
n5-6dof-zero-loss,markov-load30,30,0.292308333333329,0.0490252283190981,143.533333333333,0.0439917340711258,0.0454450904171994,0.299687111111108,0.286719999999997,0.0330370324507738,-0.0432688314924017,0.00145335634607359,0.000654381805748733,0.00232128298941104,-0.0129671111111111,-0.0142336355555556,-0.0116806933333334,1,3.33333333333333,71.6,0,0,0,0,0,0
n10-ring2-zero-loss,clean,30,0,0,0,0.0508676747467909,0.0567387486119272,0.309759999999997,0.30551893333333,0.115418561873751,-0.0136914600550974,0.00587107386513636,0.00585031701034001,0.00589335141160148,-0.00424106666666681,-0.00428373333333347,-0.00419840000000015,1,0,0,0,0,0,0,0,0
n10-ring2-zero-loss,iid-load15,30,0.15044722222222,0.00117827716465813,3063.96666666667,0.115186314799567,0.117758695703257,0.36982613333333,0.30551893333333,0.0223323483190345,-0.173884953506081,0.00257238090368989,-0.00245929860569739,0.00726311662396448,-0.0643072,-0.0669227022222222,-0.0618510222222222,1,14.6666666666667,275.933333333333,0,0,0,0,0,0
n10-ring2-zero-loss,markov-load15,30,0.142791666666665,0.0482086319994119,71.5,0.0632632456181129,0.0698297329828245,0.315024355555553,0.30551893333333,0.103796245364173,-0.0301736105624575,0.00656648736471158,0.00519966719162131,0.0078854699520352,-0.00950542222222234,-0.0104483555555557,-0.00860014222222234,1,3.83333333333333,39.3333333333333,0,0,0,0,0,0
n10-ring2-zero-loss,markov-load30,30,0.295616666666663,0.0484907947205385,146.6,0.0820360705404797,0.0886290753834689,0.323007288888886,0.30551893333333,0.0803671458122308,-0.0541422938649898,0.00659300484298919,0.00444952502334917,0.00878469156092946,-0.0174883555555557,-0.0189810133333335,-0.0160575644444446,1,9.33333333333333,95.8666666666667,0,0,0,0,0,0
