seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16040001,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113161339908,113161339908,2004003,733067,382875129,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,400,186,186,586,2302,2302,0,0,799,619,2798,2798,0,0,1373,1218,0,155,0,122,0.166036197887935,0.14847203811136,1,0,0
16040001,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113161339908,74498881194,2282117,4405063,500816080,1,2,421,0,0,0,1,NaN,0.86525,0,0,0,0,NaN,NaN,NaN,2523,2038,3430,4561,38043,21103,254,16686,3461,97,9271,9271,0,0,196,188,0,8,0,6,0.522636668351796,0.362500930388804,1,0,0
16040001,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113161339908,113161339908,2015273,4054104,503489514,NaN,NaN,NaN,NaN,NaN,1,1,14,0.97325,0,0,0,0,NaN,NaN,18,2298,2007,3303,4305,35845,19872,0,15973,3893,25,10152,10152,0,0,52,48,0,4,0,2,0.550903987992221,0.352964140510117,1,0,0
16040001,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113161339908,113161339908,2015276,4054396,516355016,NaN,NaN,NaN,NaN,NaN,1,1,14,0.9695,0,0,0,0,220,219,NaN,2310,2014,3301,4324,36020,19980,0,16040,3878,27,10109,10109,0,0,62,54,0,8,0,6,0.550217888000949,0.370425385288001,1,0,0
16040002,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30466812736,30466812736,1319555,532953,176851265,NaN,NaN,NaN,NaN,NaN,1,1,9,0.988,0,0,0,0,NaN,NaN,NaN,1080,736,996,1816,6134,3708,0,2426,1976,8,4746,4746,0,0,19,19,0,0,0,0,0.485922724123697,0.455771494331264,1,0,0
16040002,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30466812736,30466812736,2306929,532953,176851265,NaN,NaN,NaN,NaN,NaN,1,1,9,0.988,0,0,0,0,NaN,NaN,NaN,1080,736,996,1816,6134,3708,0,2426,1976,8,4746,4501,245,0,19,16,3,0,0,0,0.485922724123697,0.455771494331264,1,0,0
16040002,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30466812736,30466812736,1975425,534070,176982118,NaN,NaN,NaN,NaN,NaN,1,1,9,0.991,0,0,0,0,NaN,NaN,NaN,1099,739,982,1838,6240,3653,191,2396,1982,7,4758,4758,0,0,17,17,0,0,0,0,0.488237237613988,0.45852388875215,1,0,0
16040002,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30466812736,30466812736,1319109,588879,137695735,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,400,162,162,562,1410,1410,0,0,799,479,1998,1998,0,0,990,888,0,102,0,102,0.274989224413977,0.257223769515531,1,0,0
16040002,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30466812736,20724945085,1586817,1016704,175436304,1,2,421,0,0,0,1,NaN,0.788,0,0,0,0,NaN,NaN,NaN,1270,848,1161,2118,7330,4579,277,2474,1576,161,3946,3946,0,0,325,319,0,6,0,4,0.458461334333493,0.427496897098526,1,0,0
16040002,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30466812736,30466812736,1319673,532950,176836259,NaN,NaN,NaN,NaN,NaN,1,1,9,0.987,0,0,0,0,NaN,NaN,2,1080,737,997,1817,6140,3720,0,2420,1974,8,4742,4742,0,0,19,19,0,0,0,0,0.485609952030415,0.455521276656638,1,0,0
16040002,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30466812736,30466812736,1319676,519123,178439467,NaN,NaN,NaN,NaN,NaN,0,1,9,0.8815,0,0,0,0,221,220,NaN,1173,894,1173,2067,7066,4436,0,2630,1763,99,4309,4309,0,0,205,201,0,4,0,2,0.4787289659782,0.44601300502085,1,0,0
