N,caseId,caseKind,nRuns,reacquisitionRate,meanFirstReacquiredFrame,meanControlAttempts,meanControlBytes,collisionFrames
5,concurrent-migration,concurrent,100,0,NaN,0,0,0
5,iid20-valid,valid,100,1,12.87,8.88,240.1,0
5,iid40-valid,valid,100,1,13.94,12.48,340.12,0
5,incomplete-union,incomplete-union,100,1,12.87,8.88,240.1,5200
5,missing-witness,missing-witness,100,0,NaN,1,24,0
5,over-mtu,over-mtu,100,0,NaN,1,24,0
5,response-blackout,response-blackout,100,0,NaN,197.54,5428.04,0
5,revoke-blackout,revoke-blackout,100,1,12.87,8.88,240.1,0
5,stale-response,stale-response,100,0,NaN,245.3,6669.8,0
5,zero-loss-valid,valid,100,1,12,6,160,0
10,concurrent-migration,concurrent,100,0,NaN,0,0,0
10,iid20-valid,valid,100,1,12.85,8.78,237.38,0
10,iid40-valid,valid,100,1,14.13,13.02,355.3,0
10,incomplete-union,incomplete-union,100,1,12.85,8.78,237.38,5200
10,missing-witness,missing-witness,100,0,NaN,1,24,0
10,over-mtu,over-mtu,100,0,NaN,1,24,0
10,response-blackout,response-blackout,100,0,NaN,197.52,5427.52,0
10,revoke-blackout,revoke-blackout,100,1,12.85,8.78,237.38,0
10,stale-response,stale-response,100,0,NaN,245.27,6669.02,0
10,zero-loss-valid,valid,100,1,12,6,160,0
20,concurrent-migration,concurrent,100,0,NaN,0,0,0
20,iid20-valid,valid,100,1,12.91,8.97,242.68,0
20,iid40-valid,valid,100,1,14.08,12.81,349.54,0
20,incomplete-union,incomplete-union,100,1,12.91,8.97,242.68,5200
20,missing-witness,missing-witness,100,0,NaN,1,24,0
20,over-mtu,over-mtu,100,0,NaN,1,24,0
20,response-blackout,response-blackout,100,0,NaN,197.53,5427.78,0
20,revoke-blackout,revoke-blackout,100,1,12.91,8.97,242.68,0
20,stale-response,stale-response,100,0,NaN,245.23,6667.98,0
20,zero-loss-valid,valid,100,1,12,6,160,0
