seed,N,caseId,caseKind,erasureProbability,selectorAdmissible,selectorReason,selectorHash,rawTraceHash,finalTraceHash,stateHash,slotChanged,oldSlot,newSlot,addedEdges,removedEdges,unionEdges,unionWitnessCovered,maxIncidentEntriesAtWitness,maxMigrationResponseBytes,eventFrame,eligibleFrame,activationFrame,reacquired,firstReacquiredFrame,finalSuppressed,finalSlot,transactionOpen,acceptedEntries,requiredEntries,responseEntriesAttempted,unsupportedConcurrent,actualSubsetUnion,scheduledCollisionFrames,scheduledCollisionEdges,unsafeReuseFrames,claimAttempts,lockProofAttempts,responseAttempts,revokeAttempts,claimBytes,lockProofBytes,responseBytes,revokeBytes,controlAttempts,controlBytes,controlAirtimeSec,recipientAttempts,recipientSuccess,recipientErasure,recipientCollision,attemptBound,byteBound,attemptBoundRatio,byteBoundRatio,futureRandomReads,receiverTruthReads
16084001,5,zero-loss-valid,valid,0,1,admissible,55956,3286955316,275675799,4430511,1,1,3,1,1,5,1,1,26,8,12,9,1,12,0,3,0,2,2,2,0,1,0,0,0,1,2,2,1,28,56,52,24,6,160,0.00512,24,24,0,0,246,6688,0.024390243902439,0.0239234449760766,0,0
16084001,5,iid20-valid,valid,0.2,1,admissible,55956,3286955316,3286955316,4632692,1,1,3,1,1,5,1,1,26,8,12,9,1,14,0,3,0,2,2,3,0,1,0,0,0,3,6,3,1,84,168,78,24,13,354,0.011328,52,41,11,0,246,6688,0.0528455284552846,0.0529306220095694,0,0
16084001,5,iid40-valid,valid,0.4,1,admissible,55956,3286955316,3286955316,4632692,1,1,3,1,1,5,1,1,26,8,12,9,1,14,0,3,0,2,2,3,0,1,0,0,0,3,6,3,1,84,168,78,24,13,354,0.011328,52,29,23,0,246,6688,0.0528455284552846,0.0529306220095694,0,0
16084001,5,response-blackout,response-blackout,0.2,1,admissible,55956,3286955316,3160451284,4673201,1,1,3,1,1,5,1,1,26,8,12,9,0,NaN,1,1,1,1,2,49,0,1,0,0,0,49,98,49,1,1372,2744,1274,24,197,5414,0.173248,788,602,186,0,246,6688,0.800813008130081,0.80950956937799,0,0
16084001,5,revoke-blackout,revoke-blackout,0.2,1,admissible,55956,3286955316,3283529872,4632692,1,1,3,1,1,5,1,1,26,8,12,9,1,14,0,3,0,2,2,3,0,1,0,0,0,3,6,3,1,84,168,78,24,13,354,0.011328,52,38,14,0,246,6688,0.0528455284552846,0.0529306220095694,0,0
16084001,5,stale-response,stale-response,0.2,1,admissible,55956,3286955316,3285005851,4909311,1,1,3,1,1,5,1,1,26,8,12,9,0,NaN,1,1,1,0,2,97,0,1,0,0,0,49,98,97,1,1372,2744,2522,24,245,6662,0.213184,980,796,184,0,246,6688,0.995934959349594,0.996112440191388,0,0
16084001,5,incomplete-union,incomplete-union,0.2,1,admissible,55956,3286955316,3287651648,4632692,1,1,3,1,1,5,1,1,26,8,12,9,1,14,0,3,0,2,2,3,0,0,52,52,0,3,6,3,1,84,168,78,24,13,354,0.011328,52,41,11,0,246,6688,0.0528455284552846,0.0529306220095694,0,0
16084001,5,concurrent-migration,concurrent,0.2,1,admissible,55956,3286955316,3286961385,4107538,1,1,3,1,1,5,1,1,26,NaN,12,9,0,NaN,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,6688,0,0,0,0
16084001,5,missing-witness,missing-witness,0.2,0,union_witness_uncovered,53405,3286955316,3286955316,4118388,1,1,3,1,1,5,0,0,0,8,12,9,0,NaN,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,24,1,24,0.000768,0,0,0,0,197,5904,0.0050761421319797,0.0040650406504065,0,0
16084001,5,over-mtu,over-mtu,0.2,0,migration_response_exceeds_mtu,49678,3286955316,3286955316,4118388,1,1,3,1,1,5,1,1,26,8,12,9,0,NaN,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,24,1,24,0.000768,4,3,1,0,246,6688,0.0040650406504065,0.00358851674641148,0,0
16084001,10,zero-loss-valid,valid,0,1,admissible,511308,12850253784,1174228485,15255863,1,2,3,1,1,10,1,1,26,8,12,9,1,12,0,3,0,2,2,2,0,1,0,0,0,1,2,2,1,28,56,52,24,6,160,0.00512,54,54,0,0,246,6688,0.024390243902439,0.0239234449760766,0,0
16084001,10,iid20-valid,valid,0.2,1,admissible,511308,12850253784,12850253784,15255863,1,2,3,1,1,10,1,1,26,8,12,9,1,12,0,3,0,2,2,2,0,1,0,0,0,1,2,2,1,28,56,52,24,6,160,0.00512,54,44,10,0,246,6688,0.024390243902439,0.0239234449760766,0,0
16084001,10,iid40-valid,valid,0.4,1,admissible,511308,12850253784,12850253784,15255863,1,2,3,1,1,10,1,1,26,8,12,9,1,12,0,3,0,2,2,2,0,1,0,0,0,1,2,2,1,28,56,52,24,6,160,0.00512,54,38,16,0,246,6688,0.024390243902439,0.0239234449760766,0,0
16084001,10,response-blackout,response-blackout,0.2,1,admissible,511308,12850253784,12624896111,15205103,1,2,3,1,1,10,1,1,26,8,12,9,0,NaN,1,2,1,1,2,50,0,1,0,0,0,49,98,50,1,1372,2744,1300,24,198,5440,0.17408,1782,1371,411,0,246,6688,0.804878048780488,0.813397129186603,0,0
16084001,10,revoke-blackout,revoke-blackout,0.2,1,admissible,511308,12850253784,12845969738,15255863,1,2,3,1,1,10,1,1,26,8,12,9,1,12,0,3,0,2,2,2,0,1,0,0,0,1,2,2,1,28,56,52,24,6,160,0.00512,54,36,18,0,246,6688,0.024390243902439,0.0239234449760766,0,0
16084001,10,stale-response,stale-response,0.2,1,admissible,511308,12850253784,12849769664,15521420,1,2,3,1,1,10,1,1,26,8,12,9,0,NaN,1,2,1,0,2,98,0,1,0,0,0,49,98,98,1,1372,2744,2548,24,246,6688,0.214016,2214,1746,468,0,246,6688,1,1,0,0
16084001,10,incomplete-union,incomplete-union,0.2,1,admissible,511308,12850253784,12850810132,15255863,1,2,3,1,1,10,1,1,26,8,12,9,1,12,0,3,0,2,2,2,0,0,52,52,0,1,2,2,1,28,56,52,24,6,160,0.00512,54,44,10,0,246,6688,0.024390243902439,0.0239234449760766,0,0
16084001,10,concurrent-migration,concurrent,0.2,1,admissible,511308,12850253784,12850257907,14722123,1,2,3,1,1,10,1,1,26,NaN,12,9,0,NaN,1,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,6688,0,0,0,0
16084001,10,missing-witness,missing-witness,0.2,0,union_witness_uncovered,480402,12850253784,12850253784,14740603,1,2,3,1,1,10,0,0,0,8,12,9,0,NaN,1,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,24,1,24,0.000768,0,0,0,0,197,5904,0.0050761421319797,0.0040650406504065,0,0
