seed,method,dt,scenario,RMSE,MINSEP,SAFEFAIL,DIVERGED,DATARATE,TRUEAOI,TRACEHASH
2,P10,dt0.04,Moderate,0.0926029968511621,0.481948166863985,0,0,100,0.157676950998185,5.44216672980869e+15
3,P10,dt0.04,Moderate,0.0925899934611726,0.480450085922837,0,0,100,0.157001814882033,6.40973405544958e+15
4,P10,dt0.04,Moderate,0.0921103507425985,0.482827917713879,0,0,100,0.156675136116152,5.91304422929579e+15
5,P10,dt0.04,Moderate,0.0922608712489808,0.480721021335621,0,0,100,0.155978221415608,6.671972215566e+15
6,P10,dt0.04,Moderate,0.0909091064999202,0.486635917769688,0,0,100,0.15448275862069,6.50893428681541e+15
7,P10,dt0.04,Moderate,0.0916251645502057,0.483016058815252,0,0,100,0.154867513611615,6.15394177105829e+15
8,P10,dt0.04,Moderate,0.0927979120299703,0.479205012943632,0,0,100,0.156421052631579,6.41189213746763e+15
9,P10,dt0.04,Moderate,0.0916096201070274,0.480332708096306,0,0,100,0.155542649727768,6.31058640982258e+15
10,P10,dt0.04,Moderate,0.0930324060758406,0.484174417353092,0,0,100,0.157901996370236,6.93194730557842e+15
11,P10,dt0.04,Moderate,0.0923393414192125,0.48077757850732,0,0,100,0.156181488203267,6.50772390779358e+15
12,P10,dt0.04,Moderate,0.0923735241311904,0.484110192123831,0,0,100,0.156733212341198,6.19803067110814e+15
13,P10,dt0.04,Moderate,0.0916480074596013,0.483475873706546,0,0,100,0.156348457350272,4.72854253624632e+15
14,P10,dt0.04,Moderate,0.0903335555191349,0.491677324167883,0,0,100,0.153829401088929,6.17312528455909e+15
15,P10,dt0.04,Moderate,0.0917273371454936,0.477872719491767,0,0,100,0.156050816696915,6.50583199509432e+15
16,P10,dt0.04,Moderate,0.0918407739496786,0.477331149302451,0,0,100,0.154911070780399,5.41326038430853e+15
17,P10,dt0.04,Moderate,0.0916938056161594,0.480378598985023,0,0,100,0.154969147005445,5.8408749848005e+15
18,P10,dt0.04,Moderate,0.0906912500782121,0.485956417082664,0,0,100,0.154613430127042,6.81657400245682e+15
19,P10,dt0.04,Moderate,0.0915928212132418,0.484478454360887,0,0,100,0.15470780399274,6.41334221594136e+15
20,P10,dt0.04,Moderate,0.091277163484519,0.489984746750106,0,0,100,0.154889292196007,5.93451380336683e+15
1,P20,dt0.04,Moderate,0.0701464791495341,0.513080212657968,0,0,200,0.120413793103448,6.63884160091006e+15
2,P20,dt0.04,Moderate,0.0710826355014048,0.508715373850827,0,0,200,0.12140108892922,5.44216672980869e+15
3,P20,dt0.04,Moderate,0.0706162509851926,0.511209765728954,0,0,200,0.120696914700544,6.40973405544958e+15
4,P20,dt0.04,Moderate,0.0704020475181812,0.509074352887906,0,0,200,0.120733212341198,5.91304422929579e+15
5,P20,dt0.04,Moderate,0.0706564910093996,0.507474038552188,0,0,200,0.1205444646098,6.671972215566e+15
6,P20,dt0.04,Moderate,0.0696455644146099,0.512142319502237,0,0,200,0.119252268602541,6.50893428681541e+15
7,P20,dt0.04,Moderate,0.0702228390548863,0.511889557535974,0,0,200,0.120159709618875,6.15394177105829e+15
8,P20,dt0.04,Moderate,0.0701333206657462,0.510540979910091,0,0,200,0.119753176043557,6.41189213746763e+15
9,P20,dt0.04,Moderate,0.0697101238623722,0.509354386818406,0,0,200,0.118911070780399,6.31058640982258e+15
10,P20,dt0.04,Moderate,0.0706162626418091,0.510228829796344,0,0,200,0.120479128856624,6.93194730557842e+15
11,P20,dt0.04,Moderate,0.0703956954183336,0.510558490700145,0,0,200,0.120159709618875,6.50772390779358e+15
12,P20,dt0.04,Moderate,0.0697483965731861,0.510479860113459,0,0,200,0.11924500907441,6.19803067110814e+15
13,P20,dt0.04,Moderate,0.070099960143359,0.510250052801931,0,0,200,0.120050816696915,4.72854253624632e+15
14,P20,dt0.04,Moderate,0.0700808475082864,0.512090048210085,0,0,200,0.119883847549909,6.17312528455909e+15
15,P20,dt0.04,Moderate,0.0704656619279711,0.507809564417106,0,0,200,0.12042831215971,6.50583199509432e+15
16,P20,dt0.04,Moderate,0.0699741630352448,0.510333331775995,0,0,200,0.119303085299456,5.41326038430853e+15
17,P20,dt0.04,Moderate,0.0702351723381668,0.511400200959315,0,0,200,0.119927404718693,5.8408749848005e+15
18,P20,dt0.04,Moderate,0.069979553169727,0.512424691397736,0,0,200,0.11967332123412,6.81657400245682e+15
19,P20,dt0.04,Moderate,0.0702973341483095,0.509756301969218,0,0,200,0.11968058076225,6.41334221594136e+15
20,P20,dt0.04,Moderate,0.0698183346746517,0.513191681939555,0,0,200,0.11935390199637,5.93451380336683e+15
1,Causal-v3,dt0.04,Moderate,0.0907089575554713,0.488238639880592,0,0,111.5,0.154896551724138,6.63884160091006e+15
2,Causal-v3,dt0.04,Moderate,0.0914468602921168,0.480326424664183,0,0,111.6,0.155411978221416,5.44216672980869e+15
3,Causal-v3,dt0.04,Moderate,0.0900131335658014,0.487788412507221,0,0,111.333333333333,0.152813067150635,6.40973405544958e+15
4,Causal-v3,dt0.04,Moderate,0.0915128567803201,0.487276697654104,0,0,111.533333333333,0.155121597096189,5.91304422929579e+15
5,Causal-v3,dt0.04,Moderate,0.090869501398771,0.484150616942187,0,0,111.766666666667,0.154664246823956,6.671972215566e+15
6,Causal-v3,dt0.04,Moderate,0.0896836288181745,0.489491356656716,0,0,111.733333333333,0.15329945553539,6.50893428681541e+15
7,Causal-v3,dt0.04,Moderate,0.0903182418549343,0.489006750836279,0,0,111.433333333333,0.154315789473684,6.15394177105829e+15
8,Causal-v3,dt0.04,Moderate,0.0913406870916708,0.480895753793069,0,0,111.733333333333,0.154366606170599,6.41189213746763e+15
9,Causal-v3,dt0.04,Moderate,0.0898455706384197,0.482555069440731,0,0,110.966666666667,0.151491833030853,6.31058640982258e+15
10,Causal-v3,dt0.04,Moderate,0.0923947711030939,0.485387451389034,0,0,111.866666666667,0.156696914700545,6.93194730557842e+15
11,Causal-v3,dt0.04,Moderate,0.0897316357772588,0.48184204229526,0,0,111.366666666667,0.152036297640653,6.50772390779358e+15
12,Causal-v3,dt0.04,Moderate,0.0903333418313348,0.487400231641778,0,0,111.466666666667,0.153205081669692,6.19803067110814e+15
13,Causal-v3,dt0.04,Moderate,0.0905460294651489,0.485746349445882,0,0,111.566666666667,0.154823956442831,4.72854253624632e+15
14,Causal-v3,dt0.04,Moderate,0.0894481533158837,0.492127932615773,0,0,111.5,0.152232304900182,6.17312528455909e+15
15,Causal-v3,dt0.04,Moderate,0.0906794050812464,0.481062418488747,0,0,111.566666666667,0.153756805807623,6.50583199509432e+15
16,Causal-v3,dt0.04,Moderate,0.0912376787130099,0.477069192255893,0,0,111.633333333333,0.153778584392014,5.41326038430853e+15
17,Causal-v3,dt0.04,Moderate,0.0921423436645264,0.486069964913915,0,0,111.766666666667,0.156196007259528,5.8408749848005e+15
18,Causal-v3,dt0.04,Moderate,0.0890532094127694,0.489438032086931,0,0,111.433333333333,0.151382940108893,6.81657400245682e+15
19,Causal-v3,dt0.04,Moderate,0.0921156510135495,0.479488303265459,0,0,111.733333333333,0.155513611615245,6.41334221594136e+15
20,Causal-v3,dt0.04,Moderate,0.0891134261960498,0.49220904857636,0,0,111.266666666667,0.151586206896552,5.93451380336683e+15
1,P10,dt0.01,Stressed,0.14883025443876,0.419012600069887,0,0,100,0.233805088596093,6.60074120008728e+15
2,P10,dt0.01,Stressed,0.147859512932655,0.413833080536841,0,0,100,0.233328032712403,6.0058897573283e+15
3,P10,dt0.01,Stressed,0.152403789163439,0.412730436693193,0,0,100,0.237939572921399,6.06510886312216e+15
4,P10,dt0.01,Stressed,0.151647817866605,0.419983378388827,0,0,100,0.237703316674239,5.56321731082443e+15
5,P10,dt0.01,Stressed,0.154309783161172,0.405134661605467,0,0,100,0.241433439345752,6.04923404358808e+15
6,P10,dt0.01,Stressed,0.15122647963819,0.408868231811761,0,0,100,0.237094502498864,7.43288246277259e+15
7,P10,dt0.01,Stressed,0.153881588874467,0.413513355832911,0,0,100,0.240302135393003,6.24917942171736e+15
8,P10,dt0.01,Stressed,0.147007575459827,0.418131152785614,0,0,100,0.232383007723762,6.21570474740133e+15
9,P10,dt0.01,Stressed,0.149907844842161,0.413494930672864,0,0,100,0.237721490231713,6.40656310326392e+15
10,P10,dt0.01,Stressed,0.149647134949507,0.391311106624159,0,0,100,0.236176737846433,7.75185521845874e+15
11,P10,dt0.01,Stressed,0.147540086903646,0.410392754789455,0,0,100,0.228866424352567,6.79923521062104e+15
12,P10,dt0.01,Stressed,0.153429727030717,0.397637078265469,0,0,100,0.242214902317129,6.14524292652203e+15
13,P10,dt0.01,Stressed,0.152635594807936,0.405207571847541,0,0,100,0.240024988641527,5.62416186995704e+15
14,P10,dt0.01,Stressed,0.151693310107236,0.407115634779405,0,0,100,0.239847796456156,6.85939095320722e+15
15,P10,dt0.01,Stressed,0.154066775407069,0.407540977853355,0,0,100,0.239734211721945,5.52069252860882e+15
16,P10,dt0.01,Stressed,0.148862360102424,0.418943530854098,0,0,100,0.233418900499773,6.87720670649618e+15
17,P10,dt0.01,Stressed,0.148301385962916,0.413509234300879,0,0,100,0.232782825988187,6.10472824714194e+15
18,P10,dt0.01,Stressed,0.149566683272496,0.418396395447581,0,0,100,0.236331213084961,6.23840382766437e+15
19,P10,dt0.01,Stressed,0.151669637133241,0.398607367034591,0,0,100,0.238430258973194,5.60663667866846e+15
20,P10,dt0.01,Stressed,0.155984879499341,0.413699258007356,0,0,100,0.243600636074512,6.14857590668094e+15
1,P20,dt0.01,Stressed,0.115182176419542,0.456335476762658,0,0,200,0.178225806451613,6.60074120008728e+15
2,P20,dt0.01,Stressed,0.114102315117893,0.456841080808681,0,0,200,0.177219445706497,6.0058897573283e+15
3,P20,dt0.01,Stressed,0.115396735666398,0.455152208032274,0,0,200,0.178355293048614,6.06510886312216e+15
4,P20,dt0.01,Stressed,0.115799344633608,0.45751158724215,0,0,200,0.179300318037256,5.56321731082443e+15
5,P20,dt0.01,Stressed,0.115099296888919,0.455885898198297,0,0,200,0.178752839618355,6.04923404358808e+15
6,P20,dt0.01,Stressed,0.114511546279885,0.454192126648345,0,0,200,0.177096774193548,7.43288246277259e+15
7,P20,dt0.01,Stressed,0.116558521662452,0.453296696150288,0,0,200,0.179745570195366,6.24917942171736e+15
8,P20,dt0.01,Stressed,0.113936375073531,0.458032974933038,0,0,200,0.177124034529759,6.21570474740133e+15
9,P20,dt0.01,Stressed,0.114667421443785,0.458197581737441,0,0,200,0.178134938664243,6.40656310326392e+15
10,P20,dt0.01,Stressed,0.114800228212668,0.452521981654821,0,0,200,0.178393911858246,7.75185521845874e+15
11,P20,dt0.01,Stressed,0.113777962230524,0.455242195111996,0,0,200,0.17525215810995,6.79923521062104e+15
12,P20,dt0.01,Stressed,0.115874649258271,0.449636036543564,0,0,200,0.179263970922308,6.14524292652203e+15
13,P20,dt0.01,Stressed,0.115253853345068,0.455775838956415,0,0,200,0.178618809631985,5.62416186995704e+15
14,P20,dt0.01,Stressed,0.115873431929619,0.451551562734903,0,0,200,0.179118582462517,6.85939095320722e+15
15,P20,dt0.01,Stressed,0.115578285114837,0.456601349689494,0,0,200,0.178555202180827,5.52069252860882e+15
16,P20,dt0.01,Stressed,0.115261195900093,0.454250742118087,0,0,200,0.178502953203089,6.87720670649618e+15
17,P20,dt0.01,Stressed,0.113693600534908,0.456928364804254,0,0,200,0.176367560199909,6.10472824714194e+15
18,P20,dt0.01,Stressed,0.113905243314113,0.455111518396409,0,0,200,0.176933212176283,6.23840382766437e+15
19,P20,dt0.01,Stressed,0.114361330725168,0.454299885002742,0,0,200,0.177158109950023,5.60663667866846e+15
20,P20,dt0.01,Stressed,0.115416553525918,0.45691162683994,0,0,200,0.179064061790095,6.14857590668094e+15
1,Causal-v3,dt0.01,Stressed,0.119494913773371,0.452414313226471,0,0,202.466666666667,0.18551158564289,6.60074120008728e+15
2,Causal-v3,dt0.01,Stressed,0.117731306714178,0.450306996362383,0,0,202.833333333333,0.183089504770559,6.0058897573283e+15
3,Causal-v3,dt0.01,Stressed,0.118462088333442,0.450954935858287,0,0,202.7,0.184549750113585,6.06510886312216e+15
4,Causal-v3,dt0.01,Stressed,0.119310351508507,0.444388672722336,0,0,202.633333333333,0.186323489323035,5.56321731082443e+15
5,Causal-v3,dt0.01,Stressed,0.116124697615615,0.450237962604769,0,0,203.4,0.181610177192185,6.04923404358808e+15
6,Causal-v3,dt0.01,Stressed,0.116495205010423,0.454714514333308,0,0,203.333333333333,0.182561562925943,7.43288246277259e+15
7,Causal-v3,dt0.01,Stressed,0.11640128311531,0.449015846952393,0,0,203.4,0.181749659245797,6.24917942171736e+15
8,Causal-v3,dt0.01,Stressed,0.116293285650272,0.457373620334755,0,0,203.133333333333,0.182240799636529,6.21570474740133e+15
9,Causal-v3,dt0.01,Stressed,0.116122123023146,0.45456861022885,0,0,203.1,0.180766924125398,6.40656310326392e+15
10,Causal-v3,dt0.01,Stressed,0.119112920010169,0.448621641954568,0,0,202.966666666667,0.185801908223535,7.75185521845874e+15
