seed,method,dt,scenario,RMSE,MINSEP,SAFEFAIL,DIVERGED,DATARATE,TRUEAOI,TRACEHASH
1,P10,dt0.01,Moderate,0.100646133551785,0.478166649708628,0,0,100,0.155258973194003,6.63884160091006e+15
2,P10,dt0.01,Moderate,0.101242912055166,0.468789004726531,0,0,100,0.155013630168105,5.44216672980869e+15
3,P10,dt0.01,Moderate,0.102029580805396,0.459327564856103,0,0,100,0.156349386642435,6.40973405544958e+15
4,P10,dt0.01,Moderate,0.101756293801926,0.47297470263588,0,0,100,0.156054066333485,5.91304422929579e+15
5,P10,dt0.01,Moderate,0.100321172572053,0.471235206582321,0,0,100,0.154872785097683,6.671972215566e+15
6,P10,dt0.01,Moderate,0.0989831540830829,0.47703739434629,0,0,100,0.152605633802817,6.50893428681541e+15
7,P10,dt0.01,Moderate,0.100193708355868,0.471725627978515,0,0,100,0.1539913675602,6.15394177105829e+15
8,P10,dt0.01,Moderate,0.100753506575293,0.472796111994961,0,0,100,0.154159472966833,6.41189213746763e+15
9,P10,dt0.01,Moderate,0.0999075590924215,0.468638091706276,0,0,100,0.154041344843253,6.31058640982258e+15
10,P10,dt0.01,Moderate,0.101553127972595,0.4722781227645,0,0,100,0.156367560199909,6.93194730557842e+15
11,P10,dt0.01,Moderate,0.101877302204545,0.474538280326164,0,0,100,0.156749204906861,6.50772390779358e+15
12,P10,dt0.01,Moderate,0.100049678971117,0.470855425641905,0,0,100,0.153446160835984,6.19803067110814e+15
13,P10,dt0.01,Moderate,0.100016216667054,0.470355157508435,0,0,100,0.153409813721036,4.72854253624632e+15
14,P10,dt0.01,Moderate,0.101466207904438,0.474189157484164,0,0,100,0.156144934120854,6.17312528455909e+15
15,P10,dt0.01,Moderate,0.100873480879935,0.473991808508227,0,0,100,0.154931849159473,6.50583199509432e+15
16,P10,dt0.01,Moderate,0.100327530072869,0.467650552405128,0,0,100,0.154082235347569,5.41326038430853e+15
17,P10,dt0.01,Moderate,0.102202472888653,0.474704169522155,0,0,100,0.156971830985915,5.8408749848005e+15
18,P10,dt0.01,Moderate,0.100237249654958,0.477372530129333,0,0,100,0.154568378009995,6.81657400245682e+15
19,P10,dt0.01,Moderate,0.099586396507091,0.472463871457653,0,0,100,0.152582916855975,6.41334221594136e+15
20,P10,dt0.01,Moderate,0.101089130572123,0.476772914287924,0,0,100,0.15505906406179,5.93451380336683e+15
1,P20,dt0.01,Moderate,0.0781698413602719,0.500833572555025,0,0,200,0.117903225806452,6.63884160091006e+15
2,P20,dt0.01,Moderate,0.0780718458414182,0.500935045069374,0,0,200,0.117887323943662,5.44216672980869e+15
3,P20,dt0.01,Moderate,0.0779701580613463,0.501292152202958,0,0,200,0.117412539754657,6.40973405544958e+15
4,P20,dt0.01,Moderate,0.0786912112583516,0.501015441052659,0,0,200,0.118573375738301,5.91304422929579e+15
5,P20,dt0.01,Moderate,0.0777907746670451,0.501897968365229,0,0,200,0.117273966378919,6.671972215566e+15
6,P20,dt0.01,Moderate,0.077106947197301,0.5018181570736,0,0,200,0.115974557019537,6.50893428681541e+15
7,P20,dt0.01,Moderate,0.0779587047752877,0.501581707051052,0,0,200,0.117467060427079,6.15394177105829e+15
8,P20,dt0.01,Moderate,0.0781910915198488,0.502744885288867,0,0,200,0.118089504770559,6.41189213746763e+15
9,P20,dt0.01,Moderate,0.0776966522013072,0.50176583168796,0,0,200,0.117280781462971,6.31058640982258e+15
10,P20,dt0.01,Moderate,0.0783030181316298,0.499126192846114,0,0,200,0.117757837346661,6.93194730557842e+15
11,P20,dt0.01,Moderate,0.0783176837981293,0.50134974614919,0,0,200,0.118141753748296,6.50772390779358e+15
12,P20,dt0.01,Moderate,0.0777207575387566,0.501339043018742,0,0,200,0.117342117219446,6.19803067110814e+15
13,P20,dt0.01,Moderate,0.077643913767436,0.501556570979337,0,0,200,0.117035438437074,4.72854253624632e+15
14,P20,dt0.01,Moderate,0.0779225934756891,0.501746206388242,0,0,200,0.117289868241708,6.17312528455909e+15
15,P20,dt0.01,Moderate,0.0782062412408152,0.500931685056797,0,0,200,0.117392094502499,6.50583199509432e+15
16,P20,dt0.01,Moderate,0.0777049017837698,0.499428030862116,0,0,200,0.11694229895502,5.41326038430853e+15
17,P20,dt0.01,Moderate,0.0779932940204548,0.501878326561428,0,0,200,0.117601090413448,5.8408749848005e+15
18,P20,dt0.01,Moderate,0.0780577985519999,0.501554621531571,0,0,200,0.117975920036347,6.81657400245682e+15
19,P20,dt0.01,Moderate,0.0774286745783925,0.501383504961577,0,0,200,0.116506133575647,6.41334221594136e+15
20,P20,dt0.01,Moderate,0.0777228748198188,0.501494478793644,0,0,200,0.117133121308496,5.93451380336683e+15
1,Causal-v3,dt0.01,Moderate,0.0864869943139741,0.49144319946577,0,0,155.666666666667,0.132081781008632,6.63884160091006e+15
2,Causal-v3,dt0.01,Moderate,0.0868958679950637,0.489477972115418,0,0,155.766666666667,0.1325129486597,5.44216672980869e+15
3,Causal-v3,dt0.01,Moderate,0.0872175063056929,0.491803377178034,0,0,155.533333333333,0.133141299409359,6.40973405544958e+15
4,Causal-v3,dt0.01,Moderate,0.0871463421405477,0.490615945392613,0,0,155.8,0.13244525215811,5.91304422929579e+15
5,Causal-v3,dt0.01,Moderate,0.0867736255216362,0.490669692402728,0,0,155.8,0.132477510222626,6.671972215566e+15
6,Causal-v3,dt0.01,Moderate,0.0864787357996861,0.491218511493428,0,0,155.766666666667,0.131511131303953,6.50893428681541e+15
7,Causal-v3,dt0.01,Moderate,0.0864221248901748,0.487026259609922,0,0,155.533333333333,0.131343934575193,6.15394177105829e+15
8,Causal-v3,dt0.01,Moderate,0.0866535058302658,0.491134348778101,0,0,155.233333333333,0.131873693775556,6.41189213746763e+15
9,Causal-v3,dt0.01,Moderate,0.0865193143091099,0.492742145389329,0,0,155.233333333333,0.131642435256701,6.31058640982258e+15
10,Causal-v3,dt0.01,Moderate,0.0874726757791433,0.488760186132346,0,0,155.833333333333,0.132762835074966,6.93194730557842e+15
11,Causal-v3,dt0.01,Moderate,0.0859566018963474,0.492329430336187,0,0,155.133333333333,0.130839164016356,6.50772390779358e+15
12,Causal-v3,dt0.01,Moderate,0.0869789965924327,0.486865234247102,0,0,155.633333333333,0.132353475692867,6.19803067110814e+15
13,Causal-v3,dt0.01,Moderate,0.087364120265935,0.486844779605049,0,0,155.766666666667,0.13322762380736,4.72854253624632e+15
14,Causal-v3,dt0.01,Moderate,0.0868249400784593,0.490717363088907,0,0,155.6,0.132646524307133,6.17312528455909e+15
15,Causal-v3,dt0.01,Moderate,0.0878703448846765,0.492622323374533,0,0,155.8,0.133736029077692,6.50583199509432e+15
16,Causal-v3,dt0.01,Moderate,0.086904131155394,0.48393827508034,0,0,155.5,0.132222626079055,5.41326038430853e+15
17,Causal-v3,dt0.01,Moderate,0.086943301064233,0.491748009126255,0,0,155.533333333333,0.132208541572013,5.8408749848005e+15
18,Causal-v3,dt0.01,Moderate,0.0864315022182408,0.490902799870947,0,0,155.6,0.13148841435711,6.81657400245682e+15
19,Causal-v3,dt0.01,Moderate,0.0872480265588791,0.492453328605479,0,0,155.7,0.133218537028623,6.41334221594136e+15
20,Causal-v3,dt0.01,Moderate,0.0876270888373833,0.490155625802636,0,0,155.766666666667,0.133323034984098,5.93451380336683e+15
1,P10,dt0.02,Moderate,0.0975249998350758,0.481858578039432,0,0,100,0.155249772933697,6.63884160091006e+15
2,P10,dt0.02,Moderate,0.0981150840144619,0.472474359249278,0,0,100,0.155013623978202,5.44216672980869e+15
3,P10,dt0.02,Moderate,0.0989047654568811,0.463122784979659,0,0,100,0.156339691189828,6.40973405544958e+15
4,P10,dt0.02,Moderate,0.0986221079104417,0.476794275484436,0,0,100,0.156039963669392,5.91304422929579e+15
5,P10,dt0.02,Moderate,0.0971966209256949,0.475140887328262,0,0,100,0.154868301544051,6.671972215566e+15
6,P10,dt0.02,Moderate,0.0958616977306172,0.480954808093978,0,0,100,0.15260672116258,6.50893428681541e+15
7,P10,dt0.02,Moderate,0.0970660006464763,0.475551522764309,0,0,100,0.153978201634878,6.15394177105829e+15
8,P10,dt0.02,Moderate,0.0976123365362733,0.476617236494599,0,0,100,0.154159854677566,6.41189213746763e+15
9,P10,dt0.02,Moderate,0.0967800229120061,0.472442521659505,0,0,100,0.15402361489555,6.31058640982258e+15
10,P10,dt0.02,Moderate,0.0984352619888079,0.476070219802687,0,0,100,0.156366939146231,6.93194730557842e+15
11,P10,dt0.02,Moderate,0.0987509756787803,0.478405250504558,0,0,100,0.156739327883742,6.50772390779358e+15
12,P10,dt0.02,Moderate,0.096918425724565,0.474536228402877,0,0,100,0.153442325158947,6.19803067110814e+15
13,P10,dt0.02,Moderate,0.0968919169704035,0.474217312725263,0,0,100,0.153405994550409,4.72854253624632e+15
14,P10,dt0.02,Moderate,0.0983309540962178,0.478040035368646,0,0,100,0.156130790190736,6.17312528455909e+15
15,P10,dt0.02,Moderate,0.0977474343525038,0.477552005665758,0,0,100,0.154922797456858,6.50583199509432e+15
16,P10,dt0.02,Moderate,0.0972021307924454,0.471423969540598,0,0,100,0.154087193460491,5.41326038430853e+15
17,P10,dt0.02,Moderate,0.0990730400636478,0.47871085013178,0,0,100,0.156957311534968,5.8408749848005e+15
18,P10,dt0.02,Moderate,0.0971166292170531,0.481380011393376,0,0,100,0.154568574023615,6.81657400245682e+15
19,P10,dt0.02,Moderate,0.0964616860243474,0.476210392274622,0,0,100,0.152570390554042,6.41334221594136e+15
20,P10,dt0.02,Moderate,0.0979577826072933,0.480578471368322,0,0,100,0.155059037238874,5.93451380336683e+15
1,P20,dt0.02,Moderate,0.0750494019002641,0.506313950638779,0,0,200,0.117851044504996,6.63884160091006e+15
2,P20,dt0.02,Moderate,0.0755515659583893,0.501023869831783,0,0,200,0.118199818346957,5.44216672980869e+15
3,P20,dt0.02,Moderate,0.0761057710926438,0.503176960799663,0,0,200,0.119453224341508,6.40973405544958e+15
4,P20,dt0.02,Moderate,0.0754207001953083,0.503147058419733,0,0,200,0.118336058128974,5.91304422929579e+15
5,P20,dt0.02,Moderate,0.0751691020578172,0.50580766081589,0,0,200,0.118317892824705,6.671972215566e+15
6,P20,dt0.02,Moderate,0.0749526320476505,0.50545657463609,0,0,200,0.11786012715713,6.50893428681541e+15
7,P20,dt0.02,Moderate,0.0756712336980168,0.502607955449507,0,0,200,0.118630336058129,6.15394177105829e+15
8,P20,dt0.02,Moderate,0.0752682147672784,0.504233677024688,0,0,200,0.11772025431426,6.41189213746763e+15
9,P20,dt0.02,Moderate,0.0749277982071879,0.504650221779426,0,0,200,0.117547683923706,6.31058640982258e+15
10,P20,dt0.02,Moderate,0.0755861223631135,0.504700555921428,0,0,200,0.118401453224342,6.93194730557842e+15
11,P20,dt0.02,Moderate,0.0754143352689783,0.504502887635259,0,0,200,0.118030881017257,6.50772390779358e+15
12,P20,dt0.02,Moderate,0.0749464721347419,0.502954658795779,0,0,200,0.11758038147139,6.19803067110814e+15
13,P20,dt0.02,Moderate,0.0754147964054575,0.503919121473694,0,0,200,0.118426884650318,4.72854253624632e+15
14,P20,dt0.02,Moderate,0.0756015454662198,0.504272355488374,0,0,200,0.118937329700273,6.17312528455909e+15
15,P20,dt0.02,Moderate,0.0755451491593651,0.502940712207799,0,0,200,0.118138056312443,6.50583199509432e+15
16,P20,dt0.02,Moderate,0.0749731175407208,0.503648752295937,0,0,200,0.117413260672116,5.41326038430853e+15
17,P20,dt0.02,Moderate,0.0757476020748766,0.504433996719889,0,0,200,0.118762942779292,5.8408749848005e+15
18,P20,dt0.02,Moderate,0.0749058571882734,0.505921696047385,0,0,200,0.117683923705722,6.81657400245682e+15
19,P20,dt0.02,Moderate,0.0751146021057847,0.503340151502544,0,0,200,0.117340599455041,6.41334221594136e+15
20,P20,dt0.02,Moderate,0.0752655229160792,0.505410913308755,0,0,200,0.118018165304269,5.93451380336683e+15
1,Causal-v3,dt0.02,Moderate,0.0882873016006942,0.492377549881283,0,0,134.833333333333,0.140933696639419,6.63884160091006e+15
2,Causal-v3,dt0.02,Moderate,0.0895688395634796,0.488147598836981,0,0,135.2,0.141905540417802,5.44216672980869e+15
3,Causal-v3,dt0.02,Moderate,0.0896652391362615,0.491935205758122,0,0,134.4,0.14241961852861,6.40973405544958e+15
4,Causal-v3,dt0.02,Moderate,0.0895179081826797,0.486186157908314,0,0,134.533333333333,0.141562216167121,5.91304422929579e+15
5,Causal-v3,dt0.02,Moderate,0.0898884743129128,0.485929123046379,0,0,135.533333333333,0.142428701180745,6.671972215566e+15
6,Causal-v3,dt0.02,Moderate,0.089205514753846,0.487053466824768,0,0,134.966666666667,0.141847411444142,6.50893428681541e+15
7,Causal-v3,dt0.02,Moderate,0.089474639554387,0.486097198503817,0,0,134.433333333333,0.141489554950045,6.15394177105829e+15
8,Causal-v3,dt0.02,Moderate,0.0901334737409476,0.478156909201734,0,0,135.2,0.142732061762034,6.41189213746763e+15
9,Causal-v3,dt0.02,Moderate,0.0892390023923371,0.485798436006336,0,0,134.433333333333,0.141465940054496,6.31058640982258e+15
10,Causal-v3,dt0.02,Moderate,0.0894462685189032,0.487702518855362,0,0,134.266666666667,0.141950953678474,6.93194730557842e+15
11,Causal-v3,dt0.02,Moderate,0.0897200698768122,0.487965276327666,0,0,134.866666666667,0.141794732061762,6.50772390779358e+15
12,Causal-v3,dt0.02,Moderate,0.0894776056475946,0.483764704381418,0,0,134.866666666667,0.141658492279746,6.19803067110814e+15
13,Causal-v3,dt0.02,Moderate,0.0895775630392118,0.48528522976373,0,0,134.866666666667,0.142735694822888,4.72854253624632e+15
14,Causal-v3,dt0.02,Moderate,0.0889962020428995,0.491239413778057,0,0,134.933333333333,0.141255222524977,6.17312528455909e+15
15,Causal-v3,dt0.02,Moderate,0.0895645301115708,0.48744918986346,0,0,134.633333333333,0.141427792915531,6.50583199509432e+15
16,Causal-v3,dt0.02,Moderate,0.0886620446789478,0.490164866556948,0,0,133.5,0.140236148955495,5.41326038430853e+15
17,Causal-v3,dt0.02,Moderate,0.0899482257588173,0.486746667118508,0,0,134.966666666667,0.142673932788374,5.8408749848005e+15
18,Causal-v3,dt0.02,Moderate,0.0895074237733176,0.488163499593081,0,0,135.066666666667,0.141758401453224,6.81657400245682e+15
19,Causal-v3,dt0.02,Moderate,0.089566016272243,0.484319129397679,0,0,134.7,0.141102633969119,6.41334221594136e+15
20,Causal-v3,dt0.02,Moderate,0.0891919411142597,0.490186049161301,0,0,134.666666666667,0.141594913714805,5.93451380336683e+15
1,P10,dt0.04,Moderate,0.0911119132983122,0.489016062534633,0,0,100,0.154990925589837,6.63884160091006e+15
