seed,N,syncPeriodSec,guardFactor,maxOffsetSec,maxDriftPpm,safeGuardSec,guardTimeSec,dataAirtimeSec,slotDurationSec,frameDurationSec,transmissions,collisionFrames,temporalOverlapPairs,offeredAirtimeSec,busyTimeSec,offeredUtilization,channelUtilization,maxClockEquationResidual,collisionWitnessValid,guardAtOrAboveBound,clockDrawHash,configHash,realizationHash
16031002,5,Inf,1,0.00025,40,0.00146005840233609,0.00146005840233609,0.003072,0.00453205840233609,0.0226602920116805,2648,0,0,8.134656,8.13465599999991,0.677888,0.677887999999992,0,1,1,66608025,10332492,6229263093
16031002,5,Inf,1.25,0.00025,40,0.00146005840233609,0.00182507300292012,0.003072,0.00489707300292012,0.0244853650146006,2450,0,0,7.5264,7.52639999999992,0.6272,0.627199999999993,0,1,1,66608025,10013949,5617044823
16031002,10,0.5,0,0.00025,40,0.000540021600864035,0,0.003072,0.003072,0.03072,3879,3217,1923,11.916288,11.612679140275,0.993024,0.967723261689585,8.88178419700125e-16,1,0,124290932,130258842,8619237545
16031002,10,0.5,0.75,0.00025,40,0.000540021600864035,0.000405016200648026,0.003072,0.00347701620064803,0.0347701620064803,3423,84,42,10.515456,10.5135323301472,0.876288,0.876127694178934,8.88178419700125e-16,1,0,124290932,131068874,7537699374
16031002,10,0.5,1,0.00025,40,0.000540021600864035,0.000540021600864035,0.003072,0.00361202160086403,0.0361202160086403,3303,0,0,10.146816,10.1468159999999,0.845568,0.84556799999999,8.88178419700125e-16,1,1,124290932,130290313,7304516351
16031002,10,0.5,1.25,0.00025,40,0.000540021600864035,0.000675027001080043,0.003072,0.00374702700108004,0.0374702700108004,3183,0,0,9.778176,9.77817599999989,0.814848,0.814847999999991,8.88178419700125e-16,1,1,124290932,130560323,6985784287
16031002,10,Inf,0,0.00025,40,0.00146005840233609,0,0.003072,0.003072,0.03072,3905,3737,2248,11.99616,11.6506781141358,0.99968,0.97088984284465,4.44089209850063e-16,1,0,124290932,16540320,9519449961
16031002,10,Inf,0.75,0.00025,40,0.00146005840233609,0.00109504380175207,0.003072,0.00416704380175207,0.0416704380175207,2879,0,0,8.844288,8.8442879999999,0.737024,0.737023999999992,0,1,0,124290932,16633262,7276824299
16031002,10,Inf,1,0.00025,40,0.00146005840233609,0.00146005840233609,0.003072,0.00453205840233609,0.0453205840233609,2647,0,0,8.131584,8.13158399999991,0.677632,0.677631999999992,0,1,1,124290932,17363290,6510323356
16031002,10,Inf,1.25,0.00025,40,0.00146005840233609,0.00182507300292012,0.003072,0.00489707300292012,0.0489707300292012,2449,0,0,7.523328,7.52332799999992,0.626944,0.626943999999993,0,1,1,124290932,17044747,5986365171
16031003,5,0.5,0,0.00025,40,0.000540021600864035,0,0.003072,0.003072,0.01536,3878,3400,1950,11.913216,11.5550620655694,0.992768,0.962921838797453,8.88178419700125e-16,1,0,62719817,67993628,7877439607
16031003,5,0.5,0.75,0.00025,40,0.000540021600864035,0.000405016200648026,0.003072,0.00347701620064803,0.0173850810032401,3422,116,58,10.512384,10.5108122020718,0.876032,0.875901016839321,8.88178419700125e-16,1,0,62719817,68803660,7102900110
16031003,5,0.5,1,0.00025,40,0.000540021600864035,0.000540021600864035,0.003072,0.00361202160086403,0.0180601080043202,3302,0,0,10.143744,10.1437439999999,0.845312,0.84531199999999,8.88178419700125e-16,1,1,62719817,68025099,6815532318
16031003,5,0.5,1.25,0.00025,40,0.000540021600864035,0.000675027001080043,0.003072,0.00374702700108004,0.0187351350054002,3182,0,0,9.775104,9.77510399999989,0.814592,0.814591999999991,8.88178419700125e-16,1,1,62719817,68295109,6454277123
16031003,5,Inf,0,0.00025,40,0.00146005840233609,0,0.003072,0.003072,0.01536,3906,3668,2796,11.999232,11.6824630036401,0.999936,0.973538583636671,0,1,0,62719817,10242060,8898950986
16031003,5,Inf,0.75,0.00025,40,0.00146005840233609,0.00109504380175207,0.003072,0.00416704380175207,0.0208352190087603,2880,0,0,8.84736,8.8473599999999,0.73728,0.737279999999992,0,1,0,62719817,10335002,6788180335
16031003,5,Inf,1,0.00025,40,0.00146005840233609,0.00146005840233609,0.003072,0.00453205840233609,0.0226602920116805,2648,0,0,8.134656,8.13465599999991,0.677888,0.677887999999992,0,1,1,62719817,11065030,6207547000
16031003,5,Inf,1.25,0.00025,40,0.00146005840233609,0.00182507300292012,0.003072,0.00489707300292012,0.0244853650146006,2450,0,0,7.5264,7.52639999999992,0.6272,0.627199999999993,0,1,1,62719817,10746487,5612351966
16031003,10,0.5,0,0.00025,40,0.000540021600864035,0,0.003072,0.003072,0.03072,3874,3305,1990,11.900928,11.5703128960661,0.991744,0.964192741338843,8.88178419700125e-16,1,0,136592064,142537245,8618086202
16031003,10,0.5,0.75,0.00025,40,0.000540021600864035,0.000405016200648026,0.003072,0.00347701620064803,0.0347701620064803,3418,182,91,10.500096,10.4980628494666,0.875008,0.874838570788885,8.88178419700125e-16,1,0,136592064,143347277,7530386767
16031003,10,0.5,1,0.00025,40,0.000540021600864035,0.000540021600864035,0.003072,0.00361202160086403,0.0361202160086403,3298,0,0,10.131456,10.1314559999999,0.844288,0.84428799999999,8.88178419700125e-16,1,1,136592064,142568716,7284027641
16031003,10,0.5,1.25,0.00025,40,0.000540021600864035,0.000675027001080043,0.003072,0.00374702700108004,0.0374702700108004,3178,0,0,9.762816,9.76281599999989,0.813568,0.813567999999991,8.88178419700125e-16,1,1,136592064,142838726,6977288172
16031003,10,Inf,0,0.00025,40,0.00146005840233609,0,0.003072,0.003072,0.03072,3906,3286,2152,11.999232,11.6034035266172,0.999936,0.966950293884767,0,1,0,136592064,16801376,9524902160
