method,epsilonPosition_m,seed,formationRMSE_m,maxFormationError_m,txCount,ackCount,dataRatePerChannel_Hz,cost025PerChannel_Hz,broadcastRate_Hz,maxEvaluationAcceleration_mps2,traceHashExact,receiverCommandBudget_mps2,controlViolationRatio,controlMeanNormalizedRisk,controlMaxNormalizedRisk,controlNewInformationCount,controlRecoveryCount,controlRetryCount,controlUsefulInFlightSuppressedCount
P10,NaN,27020001,0.148386266239897,0.197927286281841,1190,0,9.91666666666667,9.91666666666667,59.5,0.300983627226424,18918578548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Causal-v3 frozen,NaN,27020001,0.11538710759821,0.150463387300848,2457,1480,20.475,23.5583333333333,123.25,0.101365428645878,18918578548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Control-aware,0.1,27020001,0.145686485929237,0.182680165219787,1894,1146,15.7833333333333,18.1708333333333,103.583333333333,0.266849405757869,18918578548,0.0999457652566438,0.998169717138103,6.186124117822,39.774024849701,1841,0,53,3379
Control-aware,0.2,27020001,0.165974226037316,0.215428085351729,1342,820,11.1833333333333,12.8916666666667,69.5,0.303470482917448,18918578548,0.199891530513288,0.996505823627288,3.32729918956326,20.5704449039538,639,0,703,4046
Control-aware,0.4,27020001,0.189071263980657,0.258095708962237,909,547,7.575,8.71458333333333,60.25,0.343622755613582,18918578548,0.399783061026575,0.735440931780366,1.85825734940493,10.6733982901701,243,0,666,3163
Control-aware,0.8,27020001,0.290186091937113,0.385142357072567,590,362,4.91666666666667,5.67083333333333,40,0.431524825780156,18918578548,0.79956612205315,0.480698835274542,1.11132028292447,7.6000258545172,84,0,506,2104
