seed,method,topology,N,scenario,RMSE,AOI,MINEVAL,NDATA,NACK,MISSION,VIOL,FORMFAIL,SAFEFAIL,numEdges,meanDegree,minDegree,lambda2,nChannels
2,P10,geometric,10,Moderate,0.0998323058004017,0.154643209730285,0.477682122063116,6900,0,30,0,0,0,14,2.8,1,0.925007400072462,23
3,P10,geometric,10,Moderate,0.100025339995272,0.154311495478419,0.474854001844179,6900,0,30,0,1,0,14,2.8,1,0.925007400072462,23
1,P20,geometric,10,Moderate,0.0764849099071643,0.118247837933894,0.504068820615584,13800,0,30,0,0,0,14,2.8,1,0.925007400072462,23
2,P20,geometric,10,Moderate,0.0758789860753031,0.117634166567942,0.505689991108183,13800,0,30,0,0,0,14,2.8,1,0.925007400072462,23
3,P20,geometric,10,Moderate,0.076194588693756,0.118039331832721,0.504966488008507,13800,0,30,0,0,0,14,2.8,1,0.925007400072462,23
1,State-event,geometric,10,Moderate,0.175440977774517,0.270903526438416,0.384685893142685,2928,0,30,0,1,0,14,2.8,1,0.925007400072462,23
2,State-event,geometric,10,Moderate,0.176005623585739,0.275498558622596,0.367530589412336,2924,0,30,0,1,0,14,2.8,1,0.925007400072462,23
3,State-event,geometric,10,Moderate,0.182023023038379,0.277598625755242,0.373606200405898,2927,0,30,0,1,0,14,2.8,1,0.925007400072462,23
1,Causal-v3,geometric,10,Moderate,0.0925751777753274,0.143165896615725,0.481905636246958,9173,7273,30,0,0,0,14,2.8,1,0.925007400072462,23
2,Causal-v3,geometric,10,Moderate,0.0917842869593354,0.142317655885953,0.485661677770737,9092,7288,30,0,0,0,14,2.8,1,0.925007400072462,23
3,Causal-v3,geometric,10,Moderate,0.0921247201256948,0.142497729336966,0.48581436511667,9102,7284,30,0,0,0,14,2.8,1,0.925007400072462,23
1,P10,ring2,20,Moderate,0.180134527560362,0.156323418104753,0.402304076594204,14400,0,30,0,1,0,28,2.8,2,0.498132719947257,48
2,P10,ring2,20,Moderate,0.17904397110599,0.155150242204057,0.403532523844607,14400,0,30,0,1,0,28,2.8,2,0.498132719947257,48
3,P10,ring2,20,Moderate,0.178115588782607,0.154991295791705,0.403467755430382,14400,0,30,0,1,0,28,2.8,2,0.498132719947257,48
1,P20,ring2,20,Moderate,0.137373084057296,0.118732591583409,0.450613283145412,28800,0,30,0,1,0,28,2.8,2,0.498132719947257,48
2,P20,ring2,20,Moderate,0.137050011674721,0.118575537390251,0.448995245856497,28800,0,30,0,1,0,28,2.8,2,0.498132719947257,48
3,P20,ring2,20,Moderate,0.13675588408951,0.118382152588556,0.447031078377484,28800,0,30,0,1,0,28,2.8,2,0.498132719947257,48
1,State-event,ring2,20,Moderate,0.312457153270655,0.280487057220708,0.2254050735023,5767,0,30,0,1,1,28,2.8,2,0.498132719947257,48
2,State-event,ring2,20,Moderate,0.309889480314881,0.276972449288526,0.264095190011272,5774,0,30,0,1,0,28,2.8,2,0.498132719947257,48
3,State-event,ring2,20,Moderate,0.308247543949099,0.275275507114744,0.267045678564998,5781,0,30,0,1,0,28,2.8,2,0.498132719947257,48
1,Causal-v3,ring2,20,Moderate,0.162786812270869,0.141004389948532,0.424120683133461,18968,15146,30,0,1,0,28,2.8,2,0.498132719947257,48
2,Causal-v3,ring2,20,Moderate,0.162530286959244,0.141165607023918,0.426150181683921,19037,15124,30,0,1,0,28,2.8,2,0.498132719947257,48
3,Causal-v3,ring2,20,Moderate,0.162357506837989,0.140852633969119,0.419029969687125,18956,15170,30,0,1,0,28,2.8,2,0.498132719947257,48
1,P10,sparse4,20,Moderate,0.257347891399741,0.155212597427286,0.333887154184391,25800,0,30,0,1,0,48,4.8,4,0.89697385380051,86
2,P10,sparse4,20,Moderate,0.256351055276765,0.154538791373593,0.342872310847864,25800,0,30,0,1,0,48,4.8,4,0.89697385380051,86
3,P10,sparse4,20,Moderate,0.258556292154911,0.15561709228397,0.340448312905769,25800,0,30,0,1,0,48,4.8,4,0.89697385380051,86
1,P20,sparse4,20,Moderate,0.195737813049175,0.118267748135944,0.40103742560882,51600,0,30,0,1,0,48,4.8,4,0.89697385380051,86
