scenario,component,armA,armB,metric,favorableDirection,meanA,meanB,differenceAminusB,ci95Lo,ci95Hi,nPairs,complete,favorableInterval
n5-moderate-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MAX_STARVATION_SEC,lower,0.259066666666667,0.274633333333333,-0.0155666666666663,-0.0316635594294073,0.000530226096074584,30,1,0
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,RMSE,lower,0.0467371308453776,0.0521905127296376,-0.00545338188425999,-0.0057423372502799,-0.00516442651824008,30,1,1
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,OFFERED_UTIL,lower,0.25,0.233111111111111,0.0168888888888886,0.0157234059718796,0.0180543718058976,30,1,0
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MEAN_TRUE_AOI,lower,0.0590882623917449,0.0689489589091578,-0.00986069651741294,-0.0104885097863387,-0.00923288324848715,30,1,1
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MEAN_NODE_GOODPUT_HZ,higher,11.9816666666667,11.2261111111111,0.755555555555547,0.702638472434354,0.808472638676739,30,1,1
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MIN_NODE_GOODPUT_HZ,higher,11.1444444444445,9.13055555555555,2.0138888888889,1.88543775871051,2.14234001906729,30,1,1
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MAX_STARVATION_SEC,lower,0.266666666666667,0.274633333333333,-0.00796666666666675,-0.0300181299816879,0.0140847966483544,30,1,0
n5-moderate-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,RMSE,lower,0.0467371308453776,0.0529343924544492,-0.00619726160907162,-0.00646156373895508,-0.00593295947918816,30,1,1
n5-moderate-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,OFFERED_UTIL,lower,0.25,0.228222222222222,0.0217777777777777,0.0210561898576403,0.0224993656979151,30,1,0
n5-moderate-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MEAN_TRUE_AOI,lower,0.0590882623917449,0.0701179288741477,-0.0110296664824028,-0.0115993466668005,-0.0104599862980051,30,1,1
n5-moderate-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MEAN_NODE_GOODPUT_HZ,higher,11.9816666666667,10.9383333333333,1.04333333333332,1.00891086822914,1.0777557984375,30,1,1
n5-moderate-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MIN_NODE_GOODPUT_HZ,higher,11.1444444444445,9.26944444444444,1.87500000000001,1.76184235766725,1.98815764233277,30,1,1
n5-moderate-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MAX_STARVATION_SEC,lower,0.266666666666667,0.259066666666667,0.00759999999999959,-0.00918584148951061,0.0243858414895098,30,1,0
n5-stressed-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,RMSE,lower,0.0616661698253702,0.0944109787840576,-0.0327448089586874,-0.0345839849888451,-0.0309056329285296,30,1,1
n5-stressed-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,OFFERED_UTIL,lower,0.283766666666667,0.337144444444444,-0.0533777777777771,-0.0580371189338022,-0.0487184366217519,30,1,1
n5-stressed-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MEAN_TRUE_AOI,lower,0.0851914501566242,0.140701308273447,-0.0555098581168232,-0.0586250434715657,-0.0523946727620807,30,1,1
n5-stressed-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MEAN_NODE_GOODPUT_HZ,higher,12.0716666666667,8.49444444444444,3.57722222222222,3.4664293561207,3.68801508832373,30,1,1
n5-stressed-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MIN_NODE_GOODPUT_HZ,higher,8.38333333333333,6.30833333333333,2.075,1.87048519858389,2.27951480141611,30,1,1
n5-stressed-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MAX_STARVATION_SEC,lower,0.405466666666666,0.651833333333334,-0.246366666666667,-0.305370987402914,-0.18736234593042,30,1,1
n5-stressed-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,RMSE,lower,0.0607455017004011,0.0616661698253702,-0.000920668124969133,-0.00162037015824895,-0.000220966091689319,30,1,1
n5-stressed-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,OFFERED_UTIL,lower,0.283433333333334,0.283766666666667,-0.000333333333333298,-0.00255797706688494,0.00189131040021835,30,1,0
n5-stressed-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_TRUE_AOI,lower,0.0838953381241938,0.0851914501566242,-0.00129611203243044,-0.00266994142845182,7.77173635909318e-05,30,1,0
n5-stressed-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_NODE_GOODPUT_HZ,higher,12.1,12.0716666666667,0.0283333333333434,-0.0598483715965926,0.116515038263279,30,1,0
n5-stressed-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MIN_NODE_GOODPUT_HZ,higher,8.10277777777778,8.38333333333333,-0.280555555555555,-0.477270193895931,-0.0838409172151791,30,1,0
n5-stressed-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MAX_STARVATION_SEC,lower,0.413733333333333,0.405466666666666,0.00826666666666677,-0.0242370428173386,0.0407703761506721,30,1,0
n5-stressed-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,RMSE,lower,0.0615186511227169,0.0616661698253702,-0.000147518702653391,-0.000843158958158814,0.000548121552852033,30,1,0
n5-stressed-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,OFFERED_UTIL,lower,0.2799,0.283766666666667,-0.00386666666666663,-0.00596058001680796,-0.00177275331652529,30,1,1
n5-stressed-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_TRUE_AOI,lower,0.0845719550396166,0.0851914501566242,-0.000619495117007567,-0.00181119185365077,0.000572201619635632,30,1,0
