arm,oldArm,nPairs,fastMeanRMSE,oldMeanRMSE,relativeRmseVsOld,rmseDelta,rmseCiLo,rmseCiHi,fastMeanCost,oldMeanCost,relativeCostVsOld,costDelta,costCiLo,costCiHi,relativeRmseVsStatic,physicalReacquisitionRate,periodicEpsilonDominates,mechanismRelief
fast-early-delivered,dynamic-early-delivered,60,0.0557417288509282,0.0570379324126579,-0.0227252901166173,-0.00129620356172966,-0.00158472931485973,-0.00105129912789105,0.274266399999997,0.264333599999998,0.03757675906506,0.00993279999999981,0.00965973333333315,0.0102101333333332,-4.90168836503324e-05,1,0,1
fast-late-delivered,dynamic-late-delivered,60,0.0566253514452559,0.060346474777474,-0.0616626463424698,-0.00372112333221815,-0.00425192028735814,-0.00322828354589994,0.274307111111109,0.264306044444442,0.0378389631144762,0.0100010666666664,0.00976213333333314,0.0102442666666664,0.0158022905679853,1,0,1
fast-early-response-blackout,dynamic-early-response-blackout,60,0.0640945598551024,0.0640945598551024,0,-2.31296463463574e-18,-9.0205620750794e-18,4.5102810375397e-18,0.294706577777776,0.294706577777776,-2.22044604925031e-16,5.27355936696949e-17,-1.38777878078145e-17,1.20274161001059e-16,0.149792434872642,0,1,1
