arm,nRuns,motionAuthorizationRate,reactivationRate,radialContractRate,maximumRadialRatio,maximumReliabilityBound,meanMissionRmse,minimumSeparation,safeFailures
closure-commit-blackout-emergency,50,1,0,1,0.958399571019774,0.000760320524288,0.147180305248073,1.01092176039655,0
closure-iid20-emergency,50,1,1,1,0.963931541671192,0.000760320524288,0.148255184155033,1.00961077574436,0
closure-prepare-blackout-emergency,50,0,0,1,0.958367650521289,0.000760320524288,0.156679012866071,1.02455122856494,0
closure-response-blackout-emergency,50,1,0,1,0.958413462290511,0.000760320524288,0.147512372277387,1.00944347103996,0
closure-response-blackout-no-emergency,50,1,0,0,6.93767129544493,0.000760320524288,0.376711775204388,0.748368593133159,0
