arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,reliabilityCertificateHash,transactionHorizonFeasible,transactionFailureUpperBound,completionProbabilityLowerBound,prepareFailureUpperBound,evidenceFailureUpperBound,responseFailureUpperBound,commitFailureUpperBound,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,maxCommandPairRadialContraction,maxLeaderPairRadialContraction,maxOtherPairRadialContraction,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
closure-iid20-emergency,closure,none,16094201,1352252,11235906,11235906,0,860405,610566,18781653755,52097321,657546748,139573278,139573278,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,0.991665776764635,1,0.991665776764635,1,13418,0.879714471274507,1,0.151043066876166,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,0.118787820213719,0.228083128655866,0.105990886356044,0.0838509320149654,0.202334328393137,0.0754153763327767,1,1,326,1,1,1,31,31,7,8,50,12,0,0,0,0,0,0,0,995,995,253,253,138,138,4788,0.153216,0.153216,1,1.11022302462516e-16,0,0,0.15120375600453,0.15417938500829,1.01239666604395,0,0,1.47455999999999,0.153216,0.155026285714285
closure-response-blackout-emergency,closure,response-blackout,16094201,1352252,11235906,11235906,0,860405,610566,18534257263,50190219,657169889,139573278,139573278,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,0.98205925269899,1,0.98205925269899,1,13418,0.885968291438556,1,0.163636660180535,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,0.118092037040173,0.225873628120768,0.103880904761217,0.0842480212556405,0.203772707030868,0.0628217830284077,1,1,326,1,1,1,115,115,28,29,184,46,0,0,0,0,0,0,0,993,993,255,255,304,304,12662,0.405183999999999,0.405184,1,1.11022302462516e-16,0,0,0.149760439591953,0.152655525705616,1.01495028158381,0,0,1.47455999999999,0.405183999999999,0.179023238095237
closure-response-blackout-no-emergency,closure,response-blackout,16094201,1352252,11235906,11235906,0,860405,610566,18534257263,50190219,431479020,139573278,139573278,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.10992947970751,0,7.10992947970751,0,13418,6.22872743584181,0,-0.101075853803628,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,0.473119057930236,0.868056051972824,0.782092242767826,0.230587946592571,0.435743272880104,0.685160017942599,0,0,326,0,0,1,115,0,0,0,0,0,0,0,0,0,0,0,0,809,809,209,209,304,304,12662,0.405183999999999,0.405184,1,1.11022302462516e-16,0,0,0.36404722292262,0.376735945302362,0.770987999310835,0,0,1.12127999999999,0.405183999999999,0.145377523809523
closure-prepare-blackout-emergency,closure,prepare-blackout,16094201,1352252,11235906,11235906,0,860405,610566,18758631994,49660120,657257250,139573278,139573278,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.981947404169136,1,0.981947404169136,1,14018,0.885940594829525,1,0.138808402260682,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,0.118598960101849,0.225847902958901,0.10394179640791,0.0857018884073495,0.203766336810791,0.0685349576661389,1,1,326,1,1,1,86,86,0,29,137,35,0,0,0,0,0,0,0,995,995,253,253,9,9,384,0.012288,0.012288,1,1.11022302462516e-16,0,0,0.146211968664659,0.160433946305734,1.06752430130899,0,0,1.47455999999999,0.012288,0.14160457142857
closure-commit-blackout-emergency,closure,commit-blackout,16094201,1352252,11235906,11235906,0,860405,610566,18713876504,52731072,657006247,139573278,139573278,1,1,3,1,4,1,1,48,56,1,1,1,22,1,0,1,3,0,1,4.51491969950798,0.514919699507979,1,0.981059124649809,1,0.981059124649809,1,13418,0.885949801319797,1,0.161955071615527,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,0.117646500427344,0.225643598669456,0.103825839517086,0.0838564345304733,0.203768454303553,0.0645033715934153,1,1,326,1,1,1,94,94,8,29,150,38,0,0,0,0,0,0,0,995,995,253,253,143,143,4928,0.157696,0.157696,1,1.11022302462516e-16,0,0,0.149369490846505,0.152242467725958,1.01351140804005,0,0,1.47455999999999,0.157696,0.155452952380951
closure-iid20-emergency,closure,none,16094202,1157587,15932985,15932985,0,2054731,610566,18747748322,52218503,656585851,139601778,139601778,1,1,3,1,4,1,1,48,56,1,1,1,23,1,1,4,0,0,0,4.72991587567503,0.729915875675026,1,0.862695219437274,1,0.862695219437274,1,13440,0.82135808769195,1,0.186337677823155,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,0.114976604184281,0.198419900470573,0.0852459283196514,0.0764798195198335,0.188912360169148,0.0529843893987947,1,1,326,1,1,1,30,30,6,8,42,18,0,0,0,0,0,0,0,993,993,255,255,133,133,4552,0.145664,0.145664,1,8.88178419700125e-16,0,0,0.147107684247591,0.15048442345804,1.03568424332805,0,0,1.47455999999999,0.145664,0.154307047619047
closure-response-blackout-emergency,closure,response-blackout,16094202,1157587,15932985,15932985,0,2054731,610566,18500351830,49781756,656576484,139601778,139601778,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,0.85959630956898,1,0.85959630956898,1,13440,0.820117522014196,1,0.1824816783868,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,0.11407852903412,0.197707151200865,0.0849773016541554,0.0760166350477014,0.188627030063265,0.0517752426183444,1,1,326,1,1,1,114,114,27,29,176,52,0,0,0,0,0,0,0,1002,1002,246,246,306,306,12842,0.410943999999999,0.410944,1,8.88178419700125e-16,0,0,0.14468096480515,0.147931911860253,1.03238912963654,0,0,1.47455999999999,0.410943999999999,0.179571809523808
closure-response-blackout-no-emergency,closure,response-blackout,16094202,1157587,15932985,15932985,0,2054731,610566,18500351830,49781756,432344229,139601778,139601778,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,7.1188920890528,0,7.1188920890528,0,13440,6.16668592608701,0,-0.0989039485864666,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,0.471784954750344,0.854522588404346,0.783078129795808,0.228322751943998,0.419293348352911,0.678335451869571,0,0,326,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,826,826,194,194,306,306,12842,0.410943999999999,0.410944,1,8.88178419700125e-16,0,0,0.352050225314366,0.364570665983586,0.760711096679648,0,0,1.12435199999999,0.410943999999999,0.146218666666666
closure-prepare-blackout-emergency,closure,prepare-blackout,16094202,1157587,15932985,15932985,0,2054731,610566,18728051302,49743697,656426993,139601778,139601778,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.861832593595502,1,0.861832593595502,1,14018,0.820259978346671,1,0.157362689053187,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,0.11526030315925,0.198221496526965,0.0850671235989831,0.0748635443912624,0.188659795019734,0.0516871373041203,1,1,326,1,1,1,85,85,0,29,131,39,0,0,0,0,0,0,0,1004,1004,244,244,10,10,408,0.013056,0.013056,1,4.44089209850063e-16,0,0,0.140654669980423,0.155151775897004,1.07475991675787,0,0,1.47455999999999,0.013056,0.141677714285713
closure-commit-blackout-emergency,closure,commit-blackout,16094202,1157587,15932985,15932985,0,2054731,610566,18671590394,51803681,656358247,139601778,139601778,1,1,3,1,4,1,1,48,56,1,1,1,23,1,0,1,3,0,1,4.72991587567503,0.729915875675026,1,0.860106835124735,1,0.860106835124735,1,13440,0.820105707548439,1,0.182085473791616,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,0.113522728385026,0.197824572078689,0.085016682191619,0.0758220988144531,0.188624312736141,0.0517358991876333,1,1,326,1,1,1,93,93,8,29,141,45,0,0,0,0,0,0,0,995,995,253,253,138,138,4692,0.150144,0.150144,1,8.88178419700125e-16,0,0,0.14570027631958,0.149005161563201,1.03321164710462,0,0,1.47455999999999,0.150144,0.154733714285713
