seed,method,mode,scenario,RMSE,MAXERR,MINSEP,SAFEFAIL,DIVERGED,ROLLPEAK,PITCHPEAK,THRUSTSAT,TORQUESAT,SATURATION,PERDRONEPEAKSAT,CONTROLEFFORT,DATARATE,ACKRATE,TRUEAOI,ESTAOI,HARDRATIO,ADAPTRATIO,REFRESHRATIO,TRACEHASH,ACKTRACEHASH
2,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,1.27656824774691e+15,121591522271195
3,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,1.45003943553276e+15,544790282182747
4,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,919000135712347,8.87332134921366e+15
5,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,1.71321765501001e+15,1.32720714833136e+15
6,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,1.0511403744207e+15,1.95916053258876e+15
7,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,2.42142589291734e+15,1.1694130222566e+15
8,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,2.17681925559292e+15,1.77122241898851e+15
9,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,3.52641823707388e+15,1.43725196717923e+15
10,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,1.42417264048688e+15,905496342827099
11,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,8.21844410526524e+15,8.86164039925052e+15
12,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,134636756429275,1.78538751722172e+15
13,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,2.52837766734396e+15,8.54957230128495e+15
14,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,2.33492398818352e+15,1.20828425750691e+15
15,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,7.7710254396783e+15,1.20278804859696e+15
16,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,1.1765613730968e+15,1.17139212757552e+15
17,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,1.31328043396169e+15,1.64473200496905e+15
18,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,2.61649036505712e+15,9.00016583612707e+15
19,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,2.80046145338505e+15,2.22266347574588e+15
20,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,8.79143271531017e+15,726588931220955
1,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,1.44984809215536e+15,558495175193307
2,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,1.27656824774691e+15,121591522271195
3,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,1.45003943553276e+15,544790282182747
4,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,919000135712347,8.87332134921366e+15
5,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,1.71321765501001e+15,1.32720714833136e+15
6,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,1.0511403744207e+15,1.95916053258876e+15
