key,value,ci_lo,ci_hi,n,units,source,note
exp09b.B0Nominal.clean.rmse_mean,0.0413792333665601,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09b.B0Nominal.clean.rmse_std,1.42383098656489e-17,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09b.B0Nominal.moderate.rmse_mean,0.0891996496438511,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09b.B0Nominal.moderate.rmse_std,0.000693978064429019,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09b.B0Nominal.stressed.rmse_mean,0.118931790886123,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09b.B0Nominal.stressed.rmse_std,0.000793173032902669,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09b.B7Combined.clean.rmse_mean,0.723833554923359,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09b.B7Combined.clean.rmse_std,0.0196154717588919,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09b.B7Combined.moderate.rmse_mean,0.730900463405041,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09b.B7Combined.moderate.rmse_std,0.0151736151818247,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09b.B7Combined.stressed.rmse_mean,0.75021102419674,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09b.B7Combined.stressed.rmse_std,0.0299671939881675,NaN,NaN,20,m,results/exp09b_physical_mismatch/2026-08-27_022038,""
exp09c.N0Noiseless.clean.rmse_mean,0.0413792333665601,NaN,NaN,20,m,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.N0Noiseless.clean.data_hz,84.4666666666667,NaN,NaN,20,Hz,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.N0Noiseless.moderate.rmse_mean,0.0894919021162754,NaN,NaN,20,m,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.N0Noiseless.moderate.data_hz,134.976666666667,NaN,NaN,20,Hz,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.N0Noiseless.stressed.rmse_mean,0.118735980621031,NaN,NaN,20,m,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.N0Noiseless.stressed.data_hz,182.91,NaN,NaN,20,Hz,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.C3Combined.clean.rmse_mean,0.028883526297791,NaN,NaN,20,m,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.C3Combined.clean.data_hz,197.263333333333,NaN,NaN,20,Hz,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.C3Combined.moderate.rmse_mean,0.0688067172430497,NaN,NaN,20,m,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.C3Combined.moderate.data_hz,227.63,NaN,NaN,20,Hz,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.C3Combined.stressed.rmse_mean,0.100993476374272,NaN,NaN,20,m,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.C3Combined.stressed.data_hz,249.153333333333,NaN,NaN,20,Hz,results/exp09c_synthetic_estimator/2026-08-27_025437,""
exp09c.clean.c3_over_noiseless_data_ratio,2.33539857932123,NaN,NaN,20,ratio,results/exp09c_synthetic_estimator/2026-08-27_025437,"pre-registered bound was < 2.0"
exp09d.dt0_01.stressed.data_hz,202.888333333333,NaN,NaN,20,Hz,results/exp09c_timestep_diagnostic/2026-08-27_030722,"DATA-rate dt invariance was rejected"
exp09d.dt0_02.stressed.data_hz,182.911666666667,NaN,NaN,20,Hz,results/exp09c_timestep_diagnostic/2026-08-27_030722,"DATA-rate dt invariance was rejected"
exp09d.dt0_04.stressed.data_hz,133.033333333333,NaN,NaN,20,Hz,results/exp09c_timestep_diagnostic/2026-08-27_030722,"DATA-rate dt invariance was rejected"
exp10.safety.link.moderate.P10.unsafe,9,NaN,NaN,49,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.moderate.P10.eligible,49,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.moderate.P20.unsafe,9,NaN,NaN,49,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.moderate.P20.eligible,49,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.moderate.State_event.unsafe,10,NaN,NaN,49,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.moderate.State_event.eligible,49,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.moderate.Causal_v3.unsafe,9,NaN,NaN,49,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.moderate.Causal_v3.eligible,49,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.stressed.P10.unsafe,9,NaN,NaN,49,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.stressed.P10.eligible,49,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.stressed.P20.unsafe,9,NaN,NaN,49,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.stressed.P20.eligible,49,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.stressed.State_event.unsafe,24,NaN,NaN,49,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.stressed.State_event.eligible,49,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.stressed.Causal_v3.unsafe,9,NaN,NaN,49,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.link.stressed.Causal_v3.eligible,49,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08B connected-seed denominator"
exp10.safety.node.moderate.P10.unsafe,9,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.moderate.P10.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.moderate.P20.unsafe,9,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.moderate.P20.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.moderate.State_event.unsafe,16,NaN,NaN,34,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.moderate.State_event.eligible,34,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.moderate.Causal_v3.unsafe,9,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.moderate.Causal_v3.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.stressed.P10.unsafe,11,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.stressed.P10.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.stressed.P20.unsafe,9,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.stressed.P20.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.stressed.State_event.unsafe,0,NaN,NaN,0,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.stressed.State_event.eligible,0,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.stressed.Causal_v3.unsafe,9,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.node.stressed.Causal_v3.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"EXP08C matched no-fault eligibility"
exp10.safety.n20ref.stressed.P10.unsafe,0,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.n20ref.stressed.P10.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.n20ref.stressed.P20.unsafe,0,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.n20ref.stressed.P20.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.n20ref.stressed.State_event.unsafe,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.n20ref.stressed.State_event.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.n20ref.stressed.Causal_v3.unsafe,0,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.n20ref.stressed.Causal_v3.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.scale.stressed.P10.unsafe,0,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.scale.stressed.P10.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.scale.stressed.P20.unsafe,0,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.scale.stressed.P20.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.scale.stressed.State_event.unsafe,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.scale.stressed.State_event.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.scale.stressed.Causal_v3.unsafe,0,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.scale.stressed.Causal_v3.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.nominal.stressed.P10.unsafe,0,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.nominal.stressed.P10.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.nominal.stressed.P20.unsafe,0,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.nominal.stressed.P20.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.nominal.stressed.State_event.unsafe,12,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.nominal.stressed.State_event.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.nominal.stressed.Causal_v3.unsafe,0,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
exp10.safety.nominal.stressed.Causal_v3.eligible,50,NaN,NaN,50,seeds,results/exp10b_unified_matrix/2026-08-27_095330,"all seeds"
