key,value,ci_lo,ci_hi,n,units,source,note
exp10.nominal.stressed.P10.rmse_mean,0.147653567367204,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P10.rmse_std,0.00202573728694418,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P10.data_hz,99.6666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P10.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P10.total_w025,99.6666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P20.rmse_mean,0.1121247761703,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P20.rmse_std,0.00067400181138289,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P20.data_hz,199.666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P20.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P20.total_w025,199.666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.State_event.rmse_mean,0.257606190687206,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.State_event.rmse_std,0.00852721997298155,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.State_event.data_hz,42.552,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.State_event.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.State_event.total_w025,42.552,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.Causal_v3.rmse_mean,0.118809092660972,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.Causal_v3.rmse_std,0.000842845483318617,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.Causal_v3.data_hz,182.939333333333,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
