arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,kernelVersionHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,reliabilityCertificateHash,transactionHorizonFeasible,transactionFailureUpperBound,completionProbabilityLowerBound,prepareFailureUpperBound,evidenceFailureUpperBound,responseFailureUpperBound,commitFailureUpperBound,kernelActualSubsetOld,kernelActualSubsetUnion,kernelFinalColoringProper,prematureActivationFrames,controlAttemptBoundRatio,controlByteBoundRatio,prepareAttempts,quietAttempts,claimAttempts,responseAttempts,commitAttempts,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,maxCommandPairRadialContraction,maxLeaderPairRadialContraction,maxOtherPairRadialContraction,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
periodic-iid20,periodic,none,16094301,1016107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.109282813491403,0.109845210845187,1.05603911522048,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094301,1016107,12532064,12532064,0,836423,610566,18696581453,52377292,46949,656777625,139615078,139615078,1,1,3,1,4,1,1,48,56,1,1,1,23,1,1,4,0,0,0,4.72991587567503,0.729915875675026,1,0.941134887548008,1,0.941134887548008,1,13440,0.844490126636561,1,0.166255144899372,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.413173652694611,0.356840414659074,3,4,20,20,1,0.133327717672512,0.216461024136042,0.100529909434672,0.0753115898645875,0.194232729126409,0.0624026679619321,1,1,326,1,1,1,34,34,7,9,49,19,0,0,0,0,0,0,0,989,989,259,259,138,138,4888,0.156416,0.156416,1,8.88178419700125e-16,0,0,0.149927552341837,0.151484850456888,1.02256722909349,0,0,1.47455999999999,0.156416,0.155331047619047
closure-response-blackout-emergency,closure,response-blackout,16094301,1016107,12532064,12532064,0,836423,610566,18449184961,50562142,46949,656758431,139615078,139615078,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,0.931697210521246,1,0.931697210521246,1,13440,0.845068406185964,1,0.166255144899372,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.932106876916338,3,4,60,148,0,0.129082470104463,0.214290358419887,0.10061591749814,0.0774210970811935,0.194365733422772,0.0624026679619321,1,1,326,1,1,1,114,114,27,29,176,52,0,0,0,0,0,0,0,990,990,258,258,305,305,12768,0.408575999999999,0.408576,1,8.88178419700125e-16,0,0,0.149846122281145,0.151398649953417,1.02285312157914,0,0,1.47455999999999,0.408575999999999,0.179346285714285
closure-response-blackout-no-emergency,closure,response-blackout,16094301,1016107,12532064,12532064,0,836423,610566,18449184961,50562142,46949,433258929,139615078,139615078,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,7.35333276796844,0,7.35333276796844,0,13440,6.39157938975295,0,-0.107762315603919,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.932106876916338,3,4,60,148,0,0.48744818136147,0.885499022759527,0.808866604476528,0.225984235578181,0.418854354580571,0.703073732872825,0,0,326,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,814,814,206,206,305,305,12768,0.408575999999999,0.408576,1,8.88178419700125e-16,0,0,0.34793315901344,0.359442567863065,0.76406655007557,0,0,1.12435199999999,0.408575999999999,0.145993142857142
closure-prepare-blackout-emergency,closure,prepare-blackout,16094301,1016107,12532064,12532064,0,836423,610566,18670616340,49743697,46949,657494361,139615078,139615078,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.933063655346712,1,0.933063655346712,1,14018,0.845160457327566,1,0.146169302834368,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.029940119760479,0.0297853701270258,7,3,0,0,0,0.132816449651286,0.214604640729744,0.0960257637690554,0.0781572035797267,0.19438690518534,0.0622951569068748,1,1,326,1,1,1,85,85,0,29,127,43,0,0,0,0,0,0,0,987,987,261,261,10,10,408,0.013056,0.013056,1,4.44089209850063e-16,0,0,0.146099517930838,0.15890945168669,1.05500177039726,0,0,1.47455999999999,0.013056,0.141677714285713
closure-commit-blackout-emergency,closure,commit-blackout,16094301,1016107,12532064,12532064,0,836423,610566,18620028322,51957199,46949,657665820,139615078,139615078,1,1,3,1,4,1,1,48,56,1,1,1,23,1,0,1,3,0,1,4.72991587567503,0.729915875675026,1,0.933341695703135,1,0.931542571946675,1,13440,0.845067106761436,1,0.166255144899372,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.42814371257485,0.367060884800701,3,4,20,20,6,0.130424878952779,0.214668590011721,0.100541541305865,0.0764347499250051,0.19436543455513,0.0624026679619321,1,1,326,1,1,1,94,94,9,29,145,43,0,0,0,0,0,0,0,991,991,257,257,143,143,5028,0.160896,0.160896,1,8.88178419700125e-16,0,0,0.14938497580955,0.150907068018418,1.0221334285744,0,0,1.47455999999999,0.160896,0.155757714285713
periodic-iid20,periodic,none,16094302,1173975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.109013361560172,0.109557330588321,1.06422652172088,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094302,1173975,14810000,14810000,0,2044134,610566,18731466267,51841555,46949,656214119,139596078,139596078,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,1.06340753064597,0,1.06340753064597,0,13418,0.909218920822575,1,0.181235505408947,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.398203592814371,0.344283837056505,2,4,20,16,1,0.14089422919548,0.244583732048574,0.107349312427055,0.0691728676336645,0.209120351789192,0.0605712106994423,1,1,326,1,1,1,32,32,8,8,50,14,0,0,0,0,0,0,0,1000,1000,248,248,133,133,4716,0.150912,0.150912,1,8.88178419700125e-16,0,0,0.151221168810084,0.152667506591752,1.01730098750236,0,0,1.47455999999999,0.150912,0.154806857142856
closure-response-blackout-emergency,closure,response-blackout,16094302,1173975,14810000,14810000,0,2044134,610566,18484069775,50534636,46949,656196834,139596078,139596078,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,1.05533768854599,0,1.05533768854599,0,13418,0.90595801205734,1,0.181235505408947,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.931230836618484,2,4,60,149,0,0.140390765865843,0.242727668365578,0.105172177555993,0.0688955309537227,0.208370342773188,0.0588465575571828,1,1,326,1,1,1,116,116,29,29,191,41,0,0,0,0,0,0,0,999,999,249,249,305,305,12756,0.408191999999999,0.408192,1,8.88178419700125e-16,0,0,0.150949636728195,0.152378456372737,1.01906896775271,0,0,1.47455999999999,0.408191999999999,0.179309714285713
closure-response-blackout-no-emergency,closure,response-blackout,16094302,1173975,14810000,14810000,0,2044134,610566,18484069775,50534636,46949,429932932,139596078,139596078,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.40777706115874,0,7.40777706115874,0,13418,6.56430053635905,0,-0.105720462979448,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.931230836618484,2,4,60,149,0,0.497933344557031,0.879396008107208,0.814855476727462,0.225293276215202,0.448191356913815,0.722073058999495,0,0,326,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,808,808,208,208,305,305,12756,0.408191999999999,0.408192,1,8.88178419700125e-16,0,0,0.375314411277031,0.387838310126999,0.777301606123166,0,0,1.11820799999999,0.408191999999999,0.145371428571428
closure-prepare-blackout-emergency,closure,prepare-blackout,16094302,1173975,14810000,14810000,0,2044134,610566,18706321676,49752327,46949,656133631,139596078,139596078,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.05492008301343,0,1.05492008301343,0,14018,0.90581464630482,1,0.142828839648612,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.029940119760479,0.0297853701270258,7,3,0,0,0,0.140653121164318,0.242631619093088,0.105116919433713,0.0806646509163111,0.208337368650109,0.0589309910473743,1,1,326,1,1,1,87,87,0,29,144,30,0,0,0,0,0,0,0,1000,1000,248,248,10,10,408,0.013056,0.013056,1,0,0,0,0.14862771290883,0.161366827285717,1.05377388362338,0,0,1.47455999999999,0.013056,0.141677714285713
closure-commit-blackout-emergency,closure,commit-blackout,16094302,1173975,14810000,14810000,0,2044134,610566,18661644644,52475306,46949,656591162,139596078,139596078,1,1,3,1,4,1,1,48,56,1,1,1,22,1,0,1,3,0,1,4.51491969950798,0.514919699507979,1,1.05538944766185,0,1.05538944766185,0,13418,0.905983436420616,1,0.181235505408947,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.413173652694611,0.354504307198131,2,4,20,16,6,0.139847010298017,0.242739572962226,0.105189466270965,0.0692298524275401,0.208376190376742,0.058898119054406,1,1,326,1,1,1,95,95,8,29,154,36,0,0,0,0,0,0,0,997,997,251,251,138,138,4856,0.155392,0.155392,1,8.88178419700125e-16,0,0,0.150861282960562,0.152283992455085,1.01795295806171,0,0,1.47455999999999,0.155392,0.155233523809523
periodic-iid20,periodic,none,16094303,738699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.113592297776973,0.114320960393279,1.05687200755865,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094303,738699,14803024,14803024,0,1338356,610566,18713637451,51885897,46949,656548129,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,0.974872274996737,1,0.974872274996737,1,13418,0.94159426812291,1,0.176203812831514,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.380239520958084,0.303109943057381,2,4,12,18,1,0.126858302664288,0.22422062324925,0.102851795751999,0.0905603631700993,0.216566681668269,0.0558422068443618,1,1,326,1,1,1,24,24,6,6,46,2,0,0,0,0,0,0,0,999,999,249,249,127,127,4152,0.132864,0.132864,1,8.88178419700125e-16,0,0,0.144179488156141,0.146227581352607,1.01958772410069,0,0,1.47455999999999,0.132864,0.153087999999999
closure-response-blackout-emergency,closure,response-blackout,16094303,738699,14803024,14803024,0,1338356,610566,18466240959,50667946,46949,656493792,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,0.951994152336168,1,0.951994152336168,1,13418,0.939602602507494,1,0.173616184544142,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.916167664670659,0.933858957512046,2,4,60,150,0,0.128994676728476,0.218958655037319,0.100500855432312,0.0904620184984615,0.216108598576724,0.0610388952372849,1,1,326,1,1,1,116,116,29,29,191,41,0,0,0,0,0,0,0,1005,1005,243,243,306,306,12792,0.409343999999999,0.409344,1,8.88178419700125e-16,0,0,0.142519478394618,0.144465295891451,1.03324338008855,0,0,1.47455999999999,0.409343999999999,0.179419428571427
closure-response-blackout-no-emergency,closure,response-blackout,16094303,738699,14803024,14803024,0,1338356,610566,18466240959,50667946,46949,429278637,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.12623147726244,0,7.12623147726244,0,13418,6.27180753119932,0,-0.102813177132003,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.916167664670659,0.933858957512046,2,4,60,150,0,0.464801088759862,0.873302493067687,0.783885462498869,0.248800515773776,0.43490206374925,0.689898828431925,0,0,326,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,814,814,202,202,306,306,12792,0.409343999999999,0.409344,1,8.88178419700125e-16,0,0,0.367294702794024,0.379935579871187,0.76764310847317,0,0,1.11820799999999,0.409343999999999,0.145481142857142
closure-prepare-blackout-emergency,closure,prepare-blackout,16094303,738699,14803024,14803024,0,1338356,610566,18688613097,49752327,46949,655920698,139580878,139580878,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.95242388935525,1,0.95242388935525,1,14018,0.939553154777004,1,0.147700979542572,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.029940119760479,0.0297853701270258,7,3,0,0,0,0.124911570327969,0.219057494551708,0.10052812209636,0.092314055729569,0.216097225598711,0.0610538537497372,1,1,326,1,1,1,87,87,0,29,148,26,0,0,0,0,0,0,0,1003,1003,245,245,10,10,408,0.013056,0.013056,1,1.11022302462516e-16,0,0,0.142045476341943,0.156231720086622,1.05995990258923,0,0,1.47455999999999,0.013056,0.141677714285713
closure-commit-blackout-emergency,closure,commit-blackout,16094303,738699,14803024,14803024,0,1338356,610566,18638697443,52530181,46949,656548825,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,1,0,1,3,0,1,4.51491969950798,0.514919699507979,1,0.952176998995379,1,0.952176998995379,1,13418,0.939597505141011,1,0.17480049001273,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.395209580838323,0.313330413199007,2,4,12,18,6,0.130975705435798,0.219000709768937,0.100587329204136,0.0904140207798618,0.216107426182433,0.060990900115792,1,1,326,1,1,1,93,93,6,29,151,35,0,0,0,0,0,0,0,997,997,251,251,132,132,4292,0.137344,0.137344,1,8.88178419700125e-16,0,0,0.143683420700285,0.145700927525121,1.03670170277077,0,0,1.47455999999999,0.137344,0.153514666666666
periodic-iid20,periodic,none,16094304,1102997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.111371743761529,0.111880849663077,1.06276441137911,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094304,1102997,14861344,14861344,0,1445595,610566,18722738653,51801831,46949,656111339,139584678,139584678,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,0.979012731388253,1,0.979012731388253,1,13418,0.822142460864554,1,0.185262427289488,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.38622754491018,0.32267484304278,2,3,16,17,1,0.158264652697439,0.220184423538426,0.107691400452708,0.0549454130626681,0.189092765998848,0.0589257336285969,1,1,326,1,1,1,27,27,6,7,45,9,0,0,0,0,0,0,0,995,995,253,253,129,129,4420,0.14144,0.14144,1,8.88178419700125e-16,0,0,0.151969127758249,0.154616821104847,1.03472381864413,0,0,1.47455999999999,0.14144,0.153904761904761
closure-response-blackout-emergency,closure,response-blackout,16094304,1102997,14861344,14861344,0,1445595,610566,18475342161,50381179,46949,656855302,139584678,139584678,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,0.967590540128485,1,0.967590540128485,1,13418,0.82186331067918,1,0.185262427289488,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.907185628742515,0.928310702292306,2,3,60,148,0,0.157990696468453,0.218292739167547,0.106434959414133,0.0510678371065161,0.189028561456211,0.0592663169809284,1,1,326,1,1,1,115,115,28,29,184,46,0,0,0,0,0,0,0,996,996,252,252,303,303,12716,0.406911999999999,0.406912,1,8.88178419700125e-16,0,0,0.150138386232953,0.152676666286858,1.03593093245162,0,0,1.47455999999999,0.406911999999999,0.179187809523808
closure-response-blackout-no-emergency,closure,response-blackout,16094304,1102997,14861344,14861344,0,1445595,610566,18475342161,50381179,46949,430347479,139584678,139584678,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.08464815095266,0,7.08464815095266,0,13418,6.131807058363,0,-0.0968684160787744,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.907185628742515,0.928310702292306,2,3,60,148,0,0.493882167606795,0.866069374682995,0.779311296604793,0.184449913896021,0.431764472010011,0.67449877641993,0,0,326,0,0,1,115,0,0,0,0,0,0,0,0,0,0,0,0,812,812,206,206,303,303,12716,0.406911999999999,0.406912,1,8.88178419700125e-16,0,0,0.373073931157905,0.385989507933126,0.775696086568596,0,0,1.12127999999999,0.406911999999999,0.145542095238095
closure-prepare-blackout-emergency,closure,prepare-blackout,16094304,1102997,14861344,14861344,0,1445595,610566,18699641540,49660120,46949,656383283,139584678,139584678,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.967302157109955,1,0.967302157109955,1,14018,0.821833607656256,1,0.153309962594825,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.0269461077844311,0.0280332895313184,7,2,0,0,0,0.158070739095587,0.218230726797889,0.106403237282095,0.0721405157201076,0.189021729760939,0.0593748490388637,1,1,326,1,1,1,86,86,0,29,138,34,0,0,0,0,0,0,0,997,997,251,251,9,9,384,0.012288,0.012288,1,4.44089209850063e-16,0,0,0.148027540572141,0.162125957471911,1.05446285431944,0,0,1.47455999999999,0.012288,0.14160457142857
closure-commit-blackout-emergency,closure,commit-blackout,16094304,1102997,14861344,14861344,0,1445595,610566,18654599582,52440850,46949,656544482,139584678,139584678,1,1,3,1,4,1,1,48,56,1,1,1,22,1,0,1,3,0,1,4.51491969950798,0.514919699507979,1,0.967973994141023,1,0.967973994141023,1,13418,0.82189596669102,1,0.185262427289488,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.401197604790419,0.332895313184406,2,3,16,17,6,0.158335218375091,0.218331840780145,0.106477139355512,0.0526840569773375,0.189036072338935,0.0592334428361156,1,1,326,1,1,1,93,93,7,29,154,32,0,0,0,0,0,0,0,1000,1000,248,248,134,134,4560,0.14592,0.14592,1,8.88178419700125e-16,0,0,0.149648471702655,0.152157546509968,1.03520546427899,0,0,1.47455999999999,0.14592,0.154331428571428
periodic-iid20,periodic,none,16094305,1174897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.109647469501593,0.109930355592873,1.05429718846298,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094305,1174897,15743904,15743904,0,753461,610566,18779679714,52321750,46949,657021650,139635978,139635978,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,1.13398312408522,0,1.13398312408522,0,13418,0.827628512914894,1,0.190716823643303,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.440119760479042,0.395678201197255,2,3,28,23,1,0.170232203356021,0.218992479610301,0.124738143649374,0.0511653619864303,0.190354557970426,0.0688114570397804,1,1,326,1,1,1,38,38,9,10,56,20,0,0,0,0,0,0,0,967,967,281,281,147,147,5420,0.17344,0.17344,1,1.11022302462516e-16,0,0,0.150346321033563,0.152693839893269,1.02708264621939,0,0,1.47455999999999,0.17344,0.15695238095238
closure-response-blackout-emergency,closure,response-blackout,16094305,1174897,15743904,15743904,0,753461,610566,18532283222,50305045,46949,656450894,139635978,139635978,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,1.18550047367463,0,1.18550047367463,0,13418,0.824063025323292,1,0.190716823643303,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.907185628742515,0.926850635129216,2,3,60,148,0,0.164088260951399,0.225943583211696,0.130405052104209,0.0652318220735375,0.189534495824357,0.0746034928347803,1,1,326,1,1,1,114,114,28,29,173,55,0,0,0,0,0,0,0,971,971,277,277,303,303,12696,0.406271999999999,0.406272,1,1.11022302462516e-16,0,0,0.14962580207215,0.151929924755727,1.02822098879363,0,0,1.47455999999999,0.406271999999999,0.179126857142856
closure-response-blackout-no-emergency,closure,response-blackout,16094305,1174897,15743904,15743904,0,753461,610566,18532283222,50305045,46949,432103259,139635978,139635978,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.08907960769429,0,7.08907960769429,0,13418,6.15656025374494,0,-0.101512334981939,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.907185628742515,0.926850635129216,2,3,60,148,0,0.490551448736234,0.85072605540436,0.779798756846372,0.185313219166834,0.424306244728065,0.677221627911943,0,0,326,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,798,798,222,222,303,303,12696,0.406271999999999,0.406272,1,1.11022302462516e-16,0,0,0.357548892276523,0.369706706277628,0.769872604427615,0,0,1.12435199999999,0.406271999999999,0.145773714285714
closure-prepare-blackout-emergency,closure,prepare-blackout,16094305,1174897,15743904,15743904,0,753461,610566,18754418837,49660120,46949,656222067,139635978,139635978,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.18556407034872,0,1.18556407034872,0,14018,0.824179790294641,1,0.146255634857386,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.0269461077844311,0.0280332895313184,7,2,0,0,0,0.171990472610535,0.225876247139245,0.130412047738359,0.0826315058361149,0.189561351767767,0.0740201366944744,1,1,326,1,1,1,86,86,0,29,129,43,0,0,0,0,0,0,0,972,972,276,276,9,9,384,0.012288,0.012288,1,1.11022302462516e-16,0,0,0.145481350429664,0.159800070924453,1.03868351815892,0,0,1.47455999999999,0.012288,0.14160457142857
