arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,kernelVersionHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,reliabilityCertificateHash,transactionHorizonFeasible,transactionFailureUpperBound,completionProbabilityLowerBound,prepareFailureUpperBound,evidenceFailureUpperBound,responseFailureUpperBound,commitFailureUpperBound,kernelActualSubsetOld,kernelActualSubsetUnion,kernelFinalColoringProper,prematureActivationFrames,controlAttemptBoundRatio,controlByteBoundRatio,prepareAttempts,quietAttempts,claimAttempts,responseAttempts,commitAttempts,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,maxCommandPairRadialContraction,maxLeaderPairRadialContraction,maxOtherPairRadialContraction,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
closure-response-blackout-no-emergency,closure,response-blackout,16094327,1378370,14180899,14180899,0,1378996,610566,18365132949,50626737,46949,430045850,139599878,139599878,1,1,3,1,4,1,1,48,56,1,1,1,21,0,0,0,4,0,0,4.29992352334093,0.299923523340933,1,7.22330230496071,0,7.22330230496071,0,13396,6.32358830511281,0,-0.120309969178186,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.910179640718563,0.932982917214192,1,3,60,150,0,0.474053334875562,0.871725929937455,0.794563253545678,0.240041959159198,0.418453382707354,0.695594713562409,0,0,326,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,806,806,210,210,304,304,12780,0.408959999999999,0.40896,1,4.44089209850063e-16,0,0,0.367766531599689,0.380079658437955,0.778010750059431,0,0,1.11820799999999,0.408959999999999,0.145444571428571
closure-prepare-blackout-emergency,closure,prepare-blackout,16094327,1378370,14180899,14180899,0,1378996,610566,18587160139,49664386,46949,657445970,139599878,139599878,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.00217830554687,0,1.00217830554687,0,14018,0.833845562003711,1,0.162077772229918,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.0269461077844311,0.0280332895313184,7,2,0,0,0,0.117787508298468,0.22498617809316,0.110239613610156,0.0833759225222006,0.191784479260854,0.0493177723479052,1,1,326,1,1,1,87,87,0,29,147,27,0,0,0,0,0,0,0,998,998,250,250,9,9,384,0.012288,0.012288,1,4.44089209850063e-16,0,0,0.141530086174127,0.155683784840516,1.06200355736281,0,0,1.47455999999999,0.012288,0.14160457142857
closure-commit-blackout-emergency,closure,commit-blackout,16094327,1378370,14180899,14180899,0,1378996,610566,18534640509,52464825,46949,657072780,139599878,139599878,1,1,3,1,4,1,1,48,56,1,1,1,21,1,0,1,3,0,1,4.29992352334093,0.299923523340933,1,1.01182855586637,0,1.01182855586637,0,13396,0.833714771334861,1,0.158851499750962,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.37125748502994,0.289823331873266,1,3,8,16,6,0.117591618681039,0.226066998180039,0.1113011411453,0.0931693718118078,0.191754397407018,0.0491009772778015,1,1,326,1,1,1,91,91,4,29,155,27,0,0,0,0,0,0,0,996,996,252,252,124,124,3970,0.12704,0.12704,1,4.44089209850063e-16,0,0,0.14575441324775,0.147200955516886,1.03977246563615,0,0,1.47455999999999,0.12704,0.152533333333332
periodic-iid20,periodic,none,16094328,596420,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10743092481278,0.107969100356347,1.06098426966973,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094328,596420,13029607,13029607,0,1639541,610566,18691648972,51894797,46949,657132623,139603678,139603678,1,1,3,1,4,1,1,48,56,1,1,1,23,1,1,4,0,0,0,4.72991587567503,0.729915875675026,1,0.902208458041134,1,0.902208458041134,1,13440,0.849652951030531,1,0.187569227358234,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.377245508982036,0.305008030369397,3,5,12,14,2,0.115624047005924,0.207507945349461,0.0908930055357411,0.0772601916989726,0.195420178737022,0.0561932387552579,1,1,326,1,1,1,30,30,7,8,45,15,0,0,0,0,0,0,0,1002,1002,246,246,126,126,4178,0.133696,0.133696,1,0,0,0,0.144975927570723,0.148009290999007,1.03255793670039,0,0,1.47455999999999,0.133696,0.153167238095237
closure-response-blackout-emergency,closure,response-blackout,16094328,596420,13029607,13029607,0,1639541,610566,18444252480,50500374,46949,656994390,139603678,139603678,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,0.884359141075977,1,0.884359141075977,1,13440,0.846667388440197,1,0.188403984895085,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.910179640718563,0.930792816469558,3,5,60,146,0,0.111471892408525,0.203402602447475,0.0875330860157857,0.0792561204350326,0.194733499341245,0.0579074644449571,1,1,326,1,1,1,116,116,29,29,186,46,0,0,0,0,0,0,0,1004,1004,244,244,304,304,12750,0.407999999999999,0.408,1,8.88178419700125e-16,0,0,0.144338409225283,0.147337917255241,1.03746623108364,0,0,1.47455999999999,0.407999999999999,0.179291428571427
closure-response-blackout-no-emergency,closure,response-blackout,16094328,596420,13029607,13029607,0,1639541,610566,18444252480,50500374,46949,430546512,139603678,139603678,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,7.16483813498208,0,7.16483813498208,0,13440,6.24261099666181,0,-0.0994119932747999,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.910179640718563,0.930792816469558,3,5,60,146,0,0.478827431839956,0.865611417915141,0.788132194848029,0.227083801831589,0.415536602392998,0.686687209632799,0,0,326,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,818,818,198,198,304,304,12750,0.407999999999999,0.408,1,8.88178419700125e-16,0,0,0.358198659920074,0.370876222722737,0.762836247149823,0,0,1.11820799999999,0.407999999999999,0.145353142857142
closure-prepare-blackout-emergency,closure,prepare-blackout,16094328,596420,13029607,13029607,0,1639541,610566,18669869298,49664386,46949,656986141,139603678,139603678,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.8851212666906,1,0.8851212666906,1,14018,0.846791248581595,1,0.153107166456231,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.0269461077844311,0.0280332895313184,7,2,0,0,0,0.116233869361886,0.203577891338838,0.0876834465066745,0.0774890684119094,0.194761987173767,0.0577327167621384,1,1,326,1,1,1,87,87,0,29,135,39,0,0,0,0,0,0,0,1001,1001,247,247,9,9,384,0.012288,0.012288,1,0,0,0,0.142135635054521,0.156010351315411,1.06094557517681,0,0,1.47455999999999,0.012288,0.14160457142857
closure-commit-blackout-emergency,closure,commit-blackout,16094328,596420,13029607,13029607,0,1639541,610566,18620913717,52428370,46949,657251087,139603678,139603678,1,1,3,1,4,1,1,48,56,1,1,1,23,1,0,1,3,0,1,4.72991587567503,0.729915875675026,1,0.884140663216377,1,0.884140663216377,1,13440,0.846647977507914,1,0.18714374174573,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.389221556886228,0.313184406482698,3,5,12,14,6,0.110114989978912,0.203352352539767,0.0875067719217172,0.0798942483406271,0.19472903482682,0.0579947490910981,1,1,326,1,1,1,94,94,7,29,152,36,0,0,0,0,0,0,0,1007,1007,241,241,130,130,4290,0.13728,0.13728,1,0,0,0,0.143929102638957,0.146905604049024,1.03556282424827,0,0,1.47455999999999,0.13728,0.15350857142857
periodic-iid20,periodic,none,16094329,919320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.114284447468519,0.114869783815449,1.06042130173443,0,0,2.70335999999998,0,0.257462857142855
