seed,scenario,scenarioLabel,N,candidateOrdinal,decisionTime,node,nEntries,entryHash,pendingAge,localBusy,forced,queueDepth,preNetworkHash,preContextHash,physicalAdmitted,eligible,stratum,priority,selectionRank
16019025,n10-ring2,N10 ring2,10,36,8.053,2,2,1504645,0.100000000000001,0.477215351300697,0,0,711214415,2761626162,1,1,b2-a2-e2-f0,1642646,17
16019013,n10-ring2,N10 ring2,10,46,8.204,5,2,3180964,0.0999999999999996,0.49743021540665,0,0,657060800,2769367569,1,1,b2-a2-e2-f0,1642650,18
16019008,n10-ring2,N10 ring2,10,50,8.248,6,3,3054634,0.0999999999999996,0.569233695447203,0,0,721258969,2767641415,1,1,b3-a2-e2-f0,1642651,19
16019036,n10-ring2,N10 ring2,10,30,8.116,10,1,1674279,0.0999999999999996,0.476546276218746,0,0,697851665,2770129928,1,1,b2-a2-e1-f0,1642655,20
16019016,n20-ring2,N20 ring2,20,1,8.879,8,3,2067125,0.119999999999999,0.740094338021508,0,0,1489823348,12138004554,1,1,b3-a2-e2-f0,1642484,1
16019034,n20-ring2,N20 ring2,20,2,9.536,17,2,3077662,0.0999999999999996,0.747189131529706,0,0,1643594437,12150439280,1,1,b3-a2-e2-f0,1642542,2
16019054,n20-ring2,N20 ring2,20,1,8.753,2,2,1707285,0.0999999999999996,0.740867904734336,0,0,1586724408,12136187251,1,1,b3-a2-e2-f0,1642598,3
16019060,n20-ring2,N20 ring2,20,3,9.732,2,2,3187662,0.119999999999999,0.746244236879859,0,0,1604413389,12143751857,1,1,b3-a2-e2-f0,1642624,4
16019008,n5-aloha,N5 ALOHA,5,155,8.011,4,1,2356553,0.0200000000000005,0.49239635862579,0,0,390507320,631796975,1,1,b2-a1-e1-f0,1643081,1
16019014,n5-aloha,N5 ALOHA,5,156,8.035,5,2,2162315,0.0199999999999996,0.377242713317681,0,0,349294790,627305752,1,1,b2-a1-e2-f0,1643103,2
16019021,n5-aloha,N5 ALOHA,5,151,8.025,3,1,1847862,0.0199999999999996,0.446965554716137,0,0,336714066,629433084,1,1,b2-a1-e1-f0,1643104,3
16019016,n5-aloha,N5 ALOHA,5,158,8.004,3,1,1847853,0.0199999999999996,0.42234640415077,0,0,347151193,633279746,1,1,b2-a1-e1-f0,1643117,4
16019029,n5-aloha,N5 ALOHA,5,150,8.017,3,2,1957443,0.0199999999999996,0.436205509910104,0,0,348739868,627620816,1,1,b2-a1-e2-f0,1643124,5
16019009,n5-aloha,N5 ALOHA,5,166,8.001,4,1,2356652,0.0199999999999996,0.37539726376236,0,0,357987032,626930249,1,1,b2-a1-e1-f0,1643128,6
16019017,n5-aloha,N5 ALOHA,5,160,8.037,2,2,1468231,0.0200000000000014,0.308560693302291,0,0,344395041,631376032,1,1,b2-a1-e2-f0,1643128,7
16019023,n5-aloha,N5 ALOHA,5,156,8.05,2,2,1807789,0.0200000000000014,0.504425645795834,0,0,394532157,625451369,1,1,b3-a1-e2-f0,1643130,8
16019020,n5-aloha,N5 ALOHA,5,166,8.033,4,1,1612284,0.0199999999999996,0.447389455255523,0,0,335368813,626164542,1,1,b2-a1-e1-f0,1643161,9
16019012,n5-aloha,N5 ALOHA,5,175,8.194,3,1,1736487,0.0200000000000014,0.509227919429965,0,0,380298138,630522711,1,1,b3-a1-e1-f0,1643173,10
16019027,n5-aloha,N5 ALOHA,5,167,8.054,5,2,2933414,0.0199999999999996,0.424333735822073,0,0,368029918,625829456,1,1,b2-a1-e2-f0,1643186,11
16019003,n5-aloha,N5 ALOHA,5,186,8.041,4,2,2162015,0.0199999999999996,0.387704594887619,0,0,364896632,625170319,1,1,b2-a1-e2-f0,1643190,12
16019022,n5-aloha,N5 ALOHA,5,172,8.04,5,2,1468184,0.0200000000000014,0.361195207415004,0,0,353772910,627512187,1,1,b2-a1-e2-f0,1643191,13
16019037,n5-aloha,N5 ALOHA,5,161,8.035,2,1,1612443,0.0199999999999996,0.429069361868179,0,0,340259367,624557223,1,1,b2-a1-e1-f0,1643192,14
16019007,n5-aloha,N5 ALOHA,5,184,8.053,4,3,1972456,0.0200000000000014,0.397404560980732,0,0,355039206,629822340,1,1,b2-a1-e2-f0,1643194,15
16019054,n5-aloha,N5 ALOHA,5,150,8.046,2,1,1612433,0.0199999999999996,0.391170070186492,0,0,345761347,626278113,1,1,b2-a1-e1-f0,1643199,16
16019005,n5-aloha,N5 ALOHA,5,187,8.034,4,2,2162212,0.0200000000000014,0.317756457445343,0,0,338022095,631408611,1,1,b2-a1-e2-f0,1643200,17
16019026,n5-aloha,N5 ALOHA,5,174,8.004,5,1,1847808,0.0199999999999996,0.42948981170536,0,0,418871630,629985772,1,1,b2-a1-e1-f0,1643211,18
16019047,n5-aloha,N5 ALOHA,5,196,8.735,4,1,1630800,0.0199999999999996,0.249590871923682,0,0,337360019,633990084,1,1,b1-a1-e1-f0,1643362,19
16019025,n5-aloha,N5 ALOHA,5,237,8.967,2,2,2172967,0.0199999999999996,0.240098638886031,0,0,402530157,624421814,1,1,b1-a1-e2-f0,1643460,20
