seed,scenario,scenarioLabel,N,candidateCount,admittedCandidateCount,eligibleCandidateCount,ACK_STANDALONE,ACK_ENTRIES_DELIVERED,ADAPTIVE_ACK_PERMITTED,DIVERGED,INVARIANT_VIOLATIONS,MAX_QUEUE,MAX_HISTORY,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CONFIG_HASH
16019012,n5-aloha,N5 ALOHA,5,304,304,104,304,346,304,0,0,2,32,666773976451,21203572104,153304574
16019013,n5-csma,N5 CSMA,5,72,72,24,72,743,72,0,0,2,32,666658895029,21208172082,152862068
16019013,n10-ring2,N10 ring2,10,87,87,33,87,1617,87,0,0,2,32,2586114696405,84913366348,161813344
16019013,n20-ring2,N20 ring2,20,1,1,0,1,1958,1,0,0,2,32,10202027070426,339887055079,187625208
16019013,n5-aloha,N5 ALOHA,5,340,340,119,340,428,340,0,0,2,32,666658895029,21208172082,153304576
16019014,n5-csma,N5 CSMA,5,59,59,26,59,750,59,0,0,2,32,666251768613,21188447081,152862070
16019014,n10-ring2,N10 ring2,10,86,86,38,86,1677,86,0,0,2,32,2585204956251,84909987510,161813346
16019014,n20-ring2,N20 ring2,20,2,2,0,2,1823,2,0,0,2,32,10198476117477,339857965635,187625210
16019014,n5-aloha,N5 ALOHA,5,290,290,115,290,348,290,0,0,2,32,666251768613,21188447081,153304578
16019015,n5-csma,N5 CSMA,5,60,60,24,60,743,60,0,0,2,32,666944971990,21198650171,152862072
16019015,n10-ring2,N10 ring2,10,83,83,28,83,1636,83,0,0,2,32,2585853144572,84904586090,161813348
16019015,n20-ring2,N20 ring2,20,2,2,0,2,1851,2,0,0,2,32,10200372868531,339827843292,187625212
16019015,n5-aloha,N5 ALOHA,5,318,318,101,318,405,318,0,0,2,32,666944971990,21198650171,153304580
16019016,n5-csma,N5 CSMA,5,72,72,26,72,760,72,0,0,2,32,667120575406,21196507142,152862074
16019016,n10-ring2,N10 ring2,10,89,89,31,89,1666,89,0,0,2,32,2585539809949,84909858958,161813350
16019016,n20-ring2,N20 ring2,20,2,2,2,2,1776,2,0,0,2,32,10197988420940,339939897007,187625214
16019016,n5-aloha,N5 ALOHA,5,273,273,97,272,348,273,0,0,2,32,667120575406,21196507142,153304582
16019017,n5-csma,N5 CSMA,5,63,63,20,63,749,63,0,0,2,32,667414963560,21201322020,152862076
16019017,n10-ring2,N10 ring2,10,74,74,25,74,1635,74,0,0,2,32,2587379755458,84929970123,161813352
16019017,n20-ring2,N20 ring2,20,0,0,0,0,1937,0,0,0,1,32,10201687960775,339861130519,187625216
16019017,n5-aloha,N5 ALOHA,5,310,310,119,310,452,310,0,0,2,32,667414963560,21201322020,153304584
16019018,n5-csma,N5 CSMA,5,63,63,23,63,743,63,0,0,2,32,667553177609,21193542290,152862078
16019018,n10-ring2,N10 ring2,10,92,92,37,92,1684,92,0,0,2,32,2587110544110,84919714842,161813354
16019018,n20-ring2,N20 ring2,20,0,0,0,0,1884,0,0,0,1,32,10200825006556,339947389433,187625218
16019018,n5-aloha,N5 ALOHA,5,362,362,104,362,472,362,0,0,2,32,667553177609,21193542290,153304586
16019019,n5-csma,N5 CSMA,5,61,61,25,61,732,61,0,0,2,32,666606759807,21199514245,152862080
16019019,n10-ring2,N10 ring2,10,89,89,39,89,1684,89,0,0,2,32,2585731572593,84885282966,161813356
16019019,n20-ring2,N20 ring2,20,3,3,0,3,1829,3,0,0,2,32,10200489127543,339952873645,187625220
16019019,n5-aloha,N5 ALOHA,5,319,319,108,319,404,319,0,0,2,32,666606759807,21199514245,153304588
16019020,n5-csma,N5 CSMA,5,63,63,25,63,729,63,0,0,2,32,667316981612,21208607534,152862082
16019020,n10-ring2,N10 ring2,10,94,94,36,94,1681,94,0,0,2,32,2585976667961,84893426531,161813358
16019020,n20-ring2,N20 ring2,20,1,1,0,1,1955,1,0,0,2,32,10201981995491,339903301234,187625222
16019020,n5-aloha,N5 ALOHA,5,294,294,101,294,340,294,0,0,2,32,667316981612,21208607534,153304590
16019021,n5-csma,N5 CSMA,5,68,68,22,68,744,68,0,0,2,32,667569780031,21203323409,152862084
16019021,n10-ring2,N10 ring2,10,76,76,40,76,1637,76,0,0,2,32,2587355805744,84959724289,161813360
16019021,n20-ring2,N20 ring2,20,0,0,0,0,1983,0,0,0,1,32,10202078751693,339840211397,187625224
16019021,n5-aloha,N5 ALOHA,5,276,276,102,276,322,276,0,0,2,32,667569780031,21203323409,153304592
16019022,n5-csma,N5 CSMA,5,56,56,20,56,742,56,0,0,2,32,666681134096,21200409140,152862086
16019022,n10-ring2,N10 ring2,10,83,83,43,83,1685,83,0,0,2,32,2585663001855,84914925245,161813362
