seed,scenario,scenarioLabel,N,candidateOrdinal,selectionRank,decisionTime,windowEnd,realizedHorizon,node,nEntries,entryHash,pendingAge,localBusy,forced,queueDepth,preNetworkHash,preContextHash,actualTargetReached,shadowTargetReached,actualTargetAdmitted,shadowTargetAdmitted,suppressedEntries,actualConfirmedEntries,shadowConfirmedEntries,positiveLeadEntries,actualCensoredEntries,shadowCensoredEntries,meanLeadSeconds,maxLeadSeconds,ackAirtimeCost,dataAirtimeSaved,netAirtimeBenefit,accountingResidual,dataAttemptsSaved,collisionsSaved,trueAoIIntegralBenefit,estimatedAoIIntegralBenefit,controlLossIntegralBenefit,minimumSeparationBenefit,actualInvariantViolations,shadowInvariantViolations,actualDiverged,shadowDiverged,TRACE_HASH_EXACT,CHANNEL_STATE_HASH
16019005,n5-csma,N5 CSMA,5,43,13,8.089,8.84,0.750999999999999,3,2,2907426,0.100000000000001,0.220848327190942,0,0,370833314,633350094,1,1,1,0,2,2,2,2,0,0,0.0119999999999987,0.0119999999999987,0.002,0,-0.00199999999999978,2.22044604925031e-16,0,0,0,0,0,0,0,0,0,0,666823558258,21198788005
16019015,n5-csma,N5 CSMA,5,36,14,8.026,8.78,0.754,2,2,1467638,0.0999999999999996,0.229384798280213,0,0,351082676,623184366,1,1,1,0,2,2,2,2,0,0,0.0299999999999994,0.0299999999999994,0.002,0,-0.00199999999999978,2.22044604925031e-16,0,0,0,0.000444444444444475,0,0,0,0,0,0,666944971990,21198650171
16019022,n5-csma,N5 CSMA,5,32,15,8.051,8.82,0.769,3,2,2059141,0.0999999999999996,0.228437116030731,0,0,365368686,623036227,1,1,1,0,2,2,2,2,0,0,0.00200000000000067,0.00200000000000067,0.002,0,-0.00200000000000022,-2.22044604925031e-16,0,0,0,0,0,0,0,0,0,0,666681134096,21200409140
16019018,n5-csma,N5 CSMA,5,36,16,8.259,9.02,0.760999999999999,2,2,3104627,0.0999999999999996,0.225491974655292,0,0,354034817,629827982,1,1,1,0,2,2,2,2,0,0,0.00200000000000067,0.00200000000000067,0.002,0,-0.00199999999999978,2.22044604925031e-16,0,0,0,0,0,0,0,0,0,0,667553177609,21193542290
16019025,n5-csma,N5 CSMA,5,31,17,8.035,8.8,0.765000000000001,2,2,1781832,0.0999999999999996,0.2076989803212,0,0,349113982,624227420,1,1,1,0,2,2,2,2,0,0,0.0389999999999997,0.0389999999999997,0.004,-0.00800000000000001,-0.012,0,-2,-5,-0.00595555555555551,-0.00451111111111102,-4.88248770530688e-05,-0.000396193303144998,0,0,0,0,667011710251,21199508067
16019007,n5-csma,N5 CSMA,5,45,18,9.448,10.2,0.751999999999999,5,1,2400156,0.0999999999999996,0.266899966068463,0,0,353810321,630627402,1,1,1,0,1,1,1,1,0,0,0.016,0.016,0.001,0,-0.00100000000000033,-3.33066907387547e-16,0,0,0,8.8888888888887e-05,0,0,0,0,0,0,666091942711,21189536048
16019023,n5-csma,N5 CSMA,5,33,19,8.19,8.94,0.75,5,2,2856528,0.0999999999999996,0.201917896006108,0,0,385289629,628273111,1,1,1,0,2,2,2,2,0,0,0.0359999999999996,0.0359999999999996,0,0.016,0.016,0,4,2,-0.00371111111111111,0.000666666666666611,-1.83473665658037e-05,0,0,0,0,0,666831379887,21199201132
16019020,n5-csma,N5 CSMA,5,36,20,8.024,8.78,0.755999999999998,3,2,1781757,0.100000000000001,0.223529926001182,0,0,343225129,631637144,1,1,1,0,2,2,2,2,0,0,0.011000000000001,0.011000000000001,0.002,0,-0.00199999999999978,2.22044604925031e-16,0,0,0,0.000333333333333356,0,0,0,0,0,0,667316981612,21208607534
16019004,n10-ring2,N10 ring2,10,38,1,8.213,8.98,0.766999999999999,3,2,2148284,0.100000000000001,0.589262796307657,0,0,645027095,2773433965,1,1,1,0,2,2,2,2,0,0,0.0440000000000005,0.0440000000000005,0.00600000000000001,-0.0319999999999965,-0.0379999999999967,-2.22044604925031e-16,-8,-12,0.00133333333333335,0.00154285714285716,1.58342673652451e-05,-0.000903237593152029,0,0,0,0,2585298786921,84892389817
16019007,n10-ring2,N10 ring2,10,36,2,8.015,8.78,0.764999999999999,10,1,1785675,0.100000000000001,0.515428129801957,0,0,657004352,2768322025,1,1,1,0,1,1,1,1,0,0,0.572000000000001,0.572000000000001,0.00700000000000001,0.0119999999999987,0.00499999999999901,3.33066907387547e-16,3,2,-0.000247619047618998,0.00994285714285718,1.84172485899922e-05,5.77556911297572e-05,0,0,0,0,2584914653572,84888765285
16019002,n10-ring2,N10 ring2,10,42,3,8.016,8.78,0.763999999999999,6,2,2511836,0.0999999999999996,0.526921343045964,0,0,617150565,2766450767,1,1,1,0,2,2,2,2,0,0,0.0250000000000004,0.0250000000000004,0.00600000000000001,0.0679999999999925,0.0619999999999923,-2.22044604925031e-16,17,14,-0.00173333333333329,-0.00112380952380946,-2.27060580573274e-05,-0.000204293178692749,0,0,0,0,2586548801643,84945518008
16019001,n10-ring2,N10 ring2,10,44,4,8.031,8.8,0.769,2,2,2059425,0.100000000000001,0.549513870352486,0,0,644955323,2759076544,1,1,1,0,2,2,2,1,0,0,0.00900000000000034,0.0180000000000007,0.00800000000000001,0.0479999999999947,0.0399999999999947,0,12,8,0.00279999999999993,0.0121523809523809,-1.02517623248588e-05,0.000443961838819784,0,0,0,0,2585427056988,84898756690
16019005,n10-ring2,N10 ring2,10,42,5,8.153,8.92,0.766999999999999,9,2,2224501,0.0999999999999996,0.544126383868791,0,0,599846360,2767402079,1,1,1,0,2,2,2,2,0,0,0.0439999999999987,0.0439999999999987,0.002,0.103999999999989,0.101999999999989,2.22044604925031e-16,26,25,0.00309523809523812,0.0094761904761905,-5.03763125679637e-06,0.000621471161404652,0,0,0,0,2584606878530,84918292785
16019006,n10-ring2,N10 ring2,10,42,6,8.222,8.98,0.758000000000001,7,2,1947080,0.0999999999999996,0.478125766838742,0,0,649850792,2774403961,1,1,1,0,2,2,2,1,0,0,0.0289999999999999,0.0579999999999998,0.004,-0.0319999999999965,-0.0359999999999969,-4.44089209850063e-16,-8,-8,-0.00359047619047617,-0.00587619047619043,-6.89509296866014e-06,-0.000611472958793158,0,0,0,0,2585381080501,84920366092
16019003,n10-ring2,N10 ring2,10,45,7,8.018,8.78,0.761999999999999,10,1,2356510,0.100000000000001,0.473506146276875,0,0,600123566,2765423505,1,1,1,0,1,1,1,0,0,0,0,0,-0.002,-0.0479999999999947,-0.0459999999999949,-2.22044604925031e-16,-12,-16,-0.000552380952381011,-0.0123714285714286,-8.20047098211732e-05,0.000460588168151199,0,0,0,0,2586710982391,84928897242
16019011,n10-ring2,N10 ring2,10,39,8,8.173,8.94,0.766999999999999,10,2,1947371,0.0999999999999996,0.567660074727583,0,0,639716901,2762152365,1,1,1,0,2,2,2,2,0,0,0.00200000000000067,0.00200000000000067,0.004,0.035999999999996,0.0319999999999965,4.44089209850063e-16,9,14,0.00379047619047615,0.00420952380952371,9.93913612957749e-06,0.000356880615908772,0,0,0,0,2585698620737,84927468942
16019021,n10-ring2,N10 ring2,10,34,9,8.059,8.82,0.760999999999999,5,2,1843932,0.100000000000001,0.48652373500532,0,0,620502316,2764131851,1,1,1,0,2,2,2,1,0,0,0.000999999999999446,0.00199999999999889,0.002,0.00399999999999956,0.00199999999999978,2.22044604925031e-16,1,2,-0.00358095238095247,-0.00264761904761907,-2.04459316207448e-06,0.000597676203228592,0,0,0,0,2587355805744,84959724289
16019023,n10-ring2,N10 ring2,10,33,10,8.058,8.82,0.762,4,2,3158922,0.0999999999999996,0.526037855123065,0,0,635854655,2769731079,1,1,1,0,2,2,2,2,0,0,0.00200000000000067,0.00200000000000067,0.002,0,-0.00199999999999978,2.22044604925031e-16,0,0,-0.000400000000000005,0,-1.05766932266727e-05,-6.48229109007081e-05,0,0,0,0,2586848316471,84900576019
16019014,n10-ring2,N10 ring2,10,41,11,8.057,8.82,0.763,8,3,3012610,0.100000000000001,0.529542303693811,0,0,674488578,2775322101,1,1,1,0,3,3,3,3,0,0,0.00200000000000067,0.00200000000000067,0.002,0,-0.00199999999999978,2.22044604925031e-16,0,0,-0.000514285714285729,-0.000714285714285712,-1.60397978823663e-05,4.18225431312313e-05,0,0,0,0,2585204956251,84909987510
16019010,n10-ring2,N10 ring2,10,45,12,8.096,8.86,0.763999999999999,8,3,3227898,0.0999999999999996,0.484992488878724,0,0,657792403,2767308965,1,1,1,0,3,3,3,2,0,0,0.00133333333333378,0.00200000000000067,0.00800000000000001,-0.0599999999999934,-0.0679999999999934,0,-15,-18,-0.00426666666666666,-0.0091523809523809,-4.61270129716345e-05,-0.00125266663832913,0,0,0,0,2587931123285,84911411227
16019022,n10-ring2,N10 ring2,10,36,13,8.016,8.78,0.763999999999999,7,2,2789169,0.0999999999999996,0.461050249055324,0,0,618591263,2772002259,1,1,1,0,2,2,2,0,0,0,0,0,0.00800000000000001,0.0479999999999947,0.0399999999999947,0,12,9,0.000885714285714212,0.011142857142857,-2.31689964573629e-06,-0.000276116168420715,0,0,0,0,2585663001855,84914925245
16019017,n10-ring2,N10 ring2,10,40,14,8.214,8.98,0.766,2,2,2641415,0.0999999999999996,0.564505726574291,0,0,686879533,2773584269,1,1,1,0,2,2,2,2,0,0,0.00199999999999889,0.00199999999999889,-0.00800000000000001,-0.0199999999999978,-0.0119999999999978,0,-5,0,-0.000285714285714288,-0.00308571428571435,-1.99441932623613e-05,-0.00165032876847204,0,0,0,0,2587379755458,84929970123
16019019,n10-ring2,N10 ring2,10,39,15,8.026,8.78,0.754,10,2,2239005,0.0999999999999996,0.495830810842369,0,0,643311920,2763627554,1,1,1,0,2,2,2,2,0,0,0.0520000000000014,0.0520000000000014,0.003,-0.00799999999999912,-0.0109999999999992,-1.11022302462516e-16,-2,3,-0.00130476190476184,-0.000238095238095189,-2.18292740916722e-05,-0.000797974177756178,0,0,0,0,2585731572593,84885282966
16019009,n10-ring2,N10 ring2,10,47,16,8.186,8.94,0.754,6,3,3053724,0.0999999999999996,0.521773032040985,0,0,647836226,2770952082,1,1,1,0,3,3,3,3,0,0,0.0279999999999987,0.0279999999999987,0.002,-0.0719999999999921,-0.0739999999999919,2.22044604925031e-16,-18,-20,-0.00248571428571425,-0.00611428571428565,-5.67653643980533e-05,5.57078826042279e-05,0,0,0,0,2586063000402,84940172502
16019025,n10-ring2,N10 ring2,10,36,17,8.053,8.82,0.766999999999999,2,2,1504645,0.100000000000001,0.477215351300697,0,0,711214415,2761626162,1,1,1,0,2,2,2,2,0,0,0.0489999999999995,0.0489999999999995,0.004,0.0439999999999952,0.0399999999999947,-4.44089209850063e-16,11,11,0.000504761904762019,0.011457142857143,1.06015032015344e-05,0.00186927448518104,0,0,0,0,2585358544715,84930331648
16019013,n10-ring2,N10 ring2,10,46,18,8.204,8.96,0.756,5,2,3180964,0.0999999999999996,0.49743021540665,0,0,657060800,2769367569,1,1,1,0,2,2,2,2,0,0,0.0240000000000009,0.0240000000000009,0.002,0,-0.00199999999999978,2.22044604925031e-16,0,0,0,0.000123809523809532,0,0,0,0,0,0,2586114696405,84913366348
16019008,n10-ring2,N10 ring2,10,50,19,8.248,9,0.752000000000001,6,3,3054634,0.0999999999999996,0.569233695447203,0,0,721258969,2767641415,1,1,1,0,3,3,3,3,0,0,0.00200000000000067,0.00200000000000067,0.004,0.00399999999999956,-8.88178419700125e-16,-4.44089209850063e-16,1,2,-0.000666666666666646,-0.00415238095238096,-8.49155434096761e-06,-1.4073437766271e-05,0,0,0,0,2586984181687,84905279436
16019036,n10-ring2,N10 ring2,10,30,20,8.116,8.88,0.763999999999999,10,1,1674279,0.0999999999999996,0.476546276218746,0,0,697851665,2770129928,1,1,1,0,1,1,1,0,0,0,0,0,0.001,0.00399999999999956,0.00300000000000011,5.55111512312578e-16,1,0,0,0,0,0,0,0,0,0,2588186460317,84887834097
