N,condition,conditionLabel,scope,n,finalResolvedRate,finalPhysicallyValidRate,finalAgreementRate,finalConvergedRate,medianResolutionFrame,medianRecoveryFrame,meanFinalDataSlots,meanConflictFrameFraction,meanFalseResolvedNodeFrames,meanOfferedUtilization,meanChannelUtilization
5,beacon-loss,Beacon loss 0.05,boundary,100,0.48,0.48,1,0.18,7.5,NaN,6.64,0.06479,8.39,0.498670480452566,0.452424026090036
5,churn-rejoin,State-loss and rejoin,boundary,100,1,1,1,1,6,3,5,0.00211,0.76,0.48396130940868,0.475366643926864
5,native,Native hex safety graph,source-native,100,1,1,1,1,6,NaN,5,0.00211,0.76,0.484060418311403,0.47538303375043
5,restricted-management,Local-only management,boundary,100,0.6,0.31,0,0,6,NaN,13.82,0.35922,793.78,0.365996551819922,0.307812457834591
10,beacon-loss,Beacon loss 0.05,boundary,100,0.32,0.32,1,0,19,NaN,20.38,0.0655,14.09,0.615032535234042,0.408097488833833
10,churn-rejoin,State-loss and rejoin,boundary,100,1,1,1,1,11,2,8.01,0.00668,2.2,0.957775003628871,0.630555837578651
10,native,Native hex safety graph,source-native,100,1,1,1,1,11,NaN,8.16,0.00668,2.2,0.947764583552354,0.633714090682008
10,restricted-management,Local-only management,boundary,100,0.59,0.47,0,0,12,NaN,21.1,0.25624,435.71,0.533626320510732,0.363752574015777
