cell,contrast,armA,armB,metric,meanA,meanB,relativePct,difference,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n5-csma,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,ACK_ATTEMPTED,60.4166666666667,63.5,-4.85564304461943,-3.08333333333333,-7.68469840565804,1.51803173899137,12,0,1
n5-csma,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,RMSE,0.0577549828686518,0.0578436934180928,-0.153362526144072,-8.87105494410164e-05,-0.000671622511720002,0.000494201412837969,12,0,1
n5-csma,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,MEAN_TRUE_AOI,0.078952459922609,0.0783692647871751,0.744163081046761,0.000583195135433934,-0.000376008960911191,0.00154239923177906,12,0,1
n5-csma,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,OFFERED_UTIL,0.289715277777778,0.286777777777778,1.02431228206125,0.00293750000000018,-0.00189722801764247,0.00777222801764282,12,0,1
n5-csma,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,CHANNEL_UTIL,0.270020833333311,0.269118055555533,0.335457900033626,0.000902777777777831,-0.00202707426771251,0.00383262982326817,12,0,1
n5-csma,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,COLLISION_FRAMES,171.083333333333,158,8.28059071729959,13.0833333333333,-1.85051681718469,28.0171834838514,12,0,1
n5-csma,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,DATA_ATTEMPTED,702.333333333333,691.666666666667,1.54216867469881,10.6666666666667,-2.82607394742163,24.159407280755,12,0,1
n5-csma,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,ACK_ATTEMPTED,516.166666666667,525.5,-1.77608626704726,-9.33333333333333,-26.4943751478055,7.82770848113883,12,0,1
n5-aloha,selected_vs_access,a1-g0-s1,a0-g0-s1,RMSE,0.0834881425479703,0.0804981789501368,3.71432451867711,0.00298996359783351,-0.0055591639929007,0.0115390911885677,12,0,1
n5-aloha,selected_vs_access,a1-g0-s1,a0-g0-s1,MEAN_TRUE_AOI,0.11979454578957,0.112371475953565,6.60583103764918,0.00742306983600511,-0.00703600336902101,0.0218821430410312,12,0,1
n5-aloha,selected_vs_access,a1-g0-s1,a0-g0-s1,OFFERED_UTIL,0.7724444444444,0.764604166666623,1.02540348582683,0.00784027777777691,-0.013897662829559,0.0295782183851128,12,0,1
n5-aloha,selected_vs_access,a1-g0-s1,a0-g0-s1,CHANNEL_UTIL,0.493715277777798,0.491284722222242,0.494734610219895,0.00243055555555608,-0.00632979222490567,0.0111909033360178,12,0,1
n5-aloha,selected_vs_access,a1-g0-s1,a0-g0-s1,COLLISION_FRAMES,1894.5,1867.25,1.45936537689115,27.25,-49.3928938380734,103.892893838073,12,0,1
n5-aloha,selected_vs_access,a1-g0-s1,a0-g0-s1,DATA_ATTEMPTED,2220.5,2193.91666666667,1.21168382269154,26.5833333333333,-43.2828890200234,96.44955568669,12,0,1
n5-aloha,selected_vs_access,a1-g0-s1,a0-g0-s1,ACK_ATTEMPTED,305.916666666667,317.5,-3.64829396325459,-11.5833333333333,-32.2738325352394,9.10716586857268,12,0,1
n5-aloha,selected_vs_full,a1-g0-s1,a1-g1-s1,RMSE,0.0834881425479703,0.0772025827193697,8.14164449840814,0.00628555982860057,-0.00190425012829745,0.0144753697854986,12,0,1
n5-aloha,selected_vs_full,a1-g0-s1,a1-g1-s1,MEAN_TRUE_AOI,0.11979454578957,0.112831214298876,6.17145843370055,0.00696333149069471,-0.00837549067178807,0.0223021536531775,12,0,1
n5-aloha,selected_vs_full,a1-g0-s1,a1-g1-s1,OFFERED_UTIL,0.7724444444444,0.750027777777736,2.98877819340011,0.0224166666666644,0.000439423249742079,0.0443939100835868,12,0,0
n5-aloha,selected_vs_full,a1-g0-s1,a1-g1-s1,CHANNEL_UTIL,0.493715277777798,0.481951388888905,2.44088701891968,0.0117638888888924,0.00332744871822908,0.0202003290595558,12,0,0
n5-aloha,selected_vs_full,a1-g0-s1,a1-g1-s1,COLLISION_FRAMES,1894.5,1823.25,3.90785684903332,71.25,-9.23594260899512,151.735942608995,12,0,1
n5-aloha,selected_vs_full,a1-g0-s1,a1-g1-s1,DATA_ATTEMPTED,2220.5,2154.25,3.07531623534873,66.25,-4.33149775493065,136.831497754931,12,0,1
n5-aloha,selected_vs_full,a1-g0-s1,a1-g1-s1,ACK_ATTEMPTED,305.916666666667,306.666666666667,-0.244565217391304,-0.75,-17.6910555782659,16.1910555782659,12,0,1
n5-aloha,selected_vs_frozen,a1-g0-s1,a0-g0-s0,RMSE,0.0834881425479703,0.0804981789501368,3.71432451867711,0.00298996359783351,-0.0055591639929007,0.0115390911885677,12,0,1
n5-aloha,selected_vs_frozen,a1-g0-s1,a0-g0-s0,MEAN_TRUE_AOI,0.11979454578957,0.112371475953565,6.60583103764918,0.00742306983600511,-0.00703600336902101,0.0218821430410312,12,0,1
n5-aloha,selected_vs_frozen,a1-g0-s1,a0-g0-s0,OFFERED_UTIL,0.7724444444444,0.764604166666623,1.02540348582683,0.00784027777777691,-0.013897662829559,0.0295782183851128,12,0,1
n5-aloha,selected_vs_frozen,a1-g0-s1,a0-g0-s0,CHANNEL_UTIL,0.493715277777798,0.491284722222242,0.494734610219895,0.00243055555555608,-0.00632979222490567,0.0111909033360178,12,0,1
n5-aloha,selected_vs_frozen,a1-g0-s1,a0-g0-s0,COLLISION_FRAMES,1894.5,1867.25,1.45936537689115,27.25,-49.3928938380734,103.892893838073,12,0,1
n5-aloha,selected_vs_frozen,a1-g0-s1,a0-g0-s0,DATA_ATTEMPTED,2220.5,2193.91666666667,1.21168382269154,26.5833333333333,-43.2828890200234,96.44955568669,12,0,1
