scenario,scenarioLabel,arm,methodLabel,factorAdaptiveAck,factorLoadGuard,factorAccessScaling,n,meanRMSE,safeFailures,divergences,meanTrueAoI,meanOfferedUtil,meanChannelUtil,meanCollisions,meanDataAttempts,meanAckAttempts,meanGuardBlocked,meanAdaptiveAck,actualPAccess
n10-ring2,N10 ring2,a0-g0-s0,A0 G0 S0,0,0,0,12,0.0916883963519926,0,0,0.0825996999131326,0.954736111111053,0.707972222222269,1683.83333333333,2561.91666666667,919.166666666667,0,0,0.2
n10-ring2,N10 ring2,a0-g0-s1,A0 G0 S1,0,0,1,12,0.0970011271916921,0,0,0.0877552712627338,0.728104166666633,0.621298611111165,867.75,1911.91666666667,829,0,0,0.1
n10-ring2,N10 ring2,a0-g1-s0,A0 G1 S0,0,1,0,12,0.0934198245349646,0,0,0.0847567716970701,0.886326388888839,0.678215277777841,1500.83333333333,2339.58333333333,974.333333333333,432.416666666667,0,0.2
n10-ring2,N10 ring2,a0-g1-s1,A0 G1 S1,0,1,1,12,0.0984770377981842,0,0,0.0889958935481322,0.730465277777744,0.619208333333388,885.5,1912.83333333333,829.25,536.25,0,0.1
n10-ring2,N10 ring2,a1-g0-s0,A1 G0 S0,1,0,0,12,0.085824962319081,0,0,0.0761885019347705,0.81598611111106,0.613611111111168,1097.25,2400.83333333333,96.1666666666667,0,96.25,0.2
n10-ring2,N10 ring2,a1-g0-s1,A1 G0 S1,1,0,1,12,0.0903058428733434,0,0,0.0814925373134327,0.634340277777746,0.550569444444479,492.75,1861.58333333333,84.25,0,84.4166666666667,0.1
n10-ring2,N10 ring2,a1-g1-s0,A1 G1 S0,1,1,0,12,0.0862907534789613,0,0,0.0767780146884623,0.777777777777731,0.598687500000051,985.75,2286,96.9166666666667,267.25,96.9166666666667,0.2
n10-ring2,N10 ring2,a1-g1-s1,A1 G1 S1,1,1,1,12,0.0908628057924786,0,0,0.0816891731817104,0.652249999999966,0.55984722222226,536.583333333333,1919.16666666667,76.6666666666667,285.25,76.6666666666667,0.1
n20-ring2,N20 ring2,a0-g0-s0,A0 G0 S0,0,0,0,12,0.509067156587321,12,0,0.535016403489796,2.84721527777802,0.977756944444338,8141.25,8501.75,146.583333333333,0,0,0.2
n20-ring2,N20 ring2,a0-g0-s1,A0 G0 S1,0,0,1,12,0.206185068331483,0,0,0.165090669839211,1.15468055555547,0.82001388888887,1983.25,3371.08333333333,301.583333333333,0,0,0.05
n20-ring2,N20 ring2,a0-g1-s0,A0 G1 S0,0,1,0,12,0.417247988055964,12,0,0.381999603432115,1.98936805555564,0.806277777777767,5418.5,5753,759.916666666667,5012.08333333333,0,0.2
n20-ring2,N20 ring2,a0-g1-s1,A0 G1 S1,0,1,1,12,0.258436150094106,9,0,0.207556781310838,1.09149305555548,0.791979166666663,1845.25,3124.58333333333,452.916666666667,6040.66666666667,0,0.05
n20-ring2,N20 ring2,a1-g0-s0,A1 G0 S0,1,0,0,12,0.490293686238896,12,0,0.502622755786285,2.85665972222245,0.977611111111005,8055.91666666667,8569.83333333333,0.416666666666667,0,0.416666666666667,0.2
n20-ring2,N20 ring2,a1-g0-s1,A1 G0 S1,1,0,1,12,0.198578935999754,0,0,0.158466544091139,1.1465763888888,0.812673611111096,1794.5,3439.33333333333,0.916666666666667,0,0.916666666666667,0.05
n20-ring2,N20 ring2,a1-g1-s0,A1 G1 S0,1,1,0,12,0.402407084594925,12,0,0.363582089552239,2.15329861111128,0.803048611111102,5713.33333333333,6459.66666666667,0.666666666666667,4580.41666666667,0.666666666666667,0.2
n20-ring2,N20 ring2,a1-g1-s1,A1 G1 S1,1,1,1,12,0.24316593312336,6,0,0.195598276732282,1.10390277777769,0.790388888888886,1687.58333333333,3311.16666666667,1.16666666666667,5570.75,1.33333333333333,0.05
n5-aloha,N5 ALOHA,a0-g0-s0,A0 G0 S0,0,0,0,12,0.0804981789501368,0,0,0.112371475953565,0.764604166666623,0.491284722222242,1867.25,2193.91666666667,317.5,0,0,0.2
n5-aloha,N5 ALOHA,a0-g0-s1,A0 G0 S1,0,0,1,12,0.0804981789501368,0,0,0.112371475953565,0.764604166666623,0.491284722222242,1867.25,2193.91666666667,317.5,0,0,0.2
n5-aloha,N5 ALOHA,a0-g1-s0,A0 G1 S0,0,1,0,12,0.077408450240371,0,0,0.108703703703704,0.74611111111107,0.478236111111127,1812.75,2137.91666666667,323.666666666667,77.9166666666667,0,0.2
n5-aloha,N5 ALOHA,a0-g1-s1,A0 G1 S1,0,1,1,12,0.077408450240371,0,0,0.108703703703704,0.74611111111107,0.478236111111127,1812.75,2137.91666666667,323.666666666667,77.9166666666667,0,0.2
n5-aloha,N5 ALOHA,a1-g0-s0,A1 G0 S0,1,0,0,12,0.0834881425479703,0,0,0.11979454578957,0.7724444444444,0.493715277777798,1894.5,2220.5,305.916666666667,0,306.333333333333,0.2
n5-aloha,N5 ALOHA,a1-g0-s1,A1 G0 S1,1,0,1,12,0.0834881425479703,0,0,0.11979454578957,0.7724444444444,0.493715277777798,1894.5,2220.5,305.916666666667,0,306.333333333333,0.2
n5-aloha,N5 ALOHA,a1-g1-s0,A1 G1 S0,1,1,0,12,0.0772025827193697,0,0,0.112831214298876,0.750027777777736,0.481951388888905,1823.25,2154.25,306.666666666667,77.1666666666667,306.75,0.2
n5-aloha,N5 ALOHA,a1-g1-s1,A1 G1 S1,1,1,1,12,0.0772025827193697,0,0,0.112831214298876,0.750027777777736,0.481951388888905,1823.25,2154.25,306.666666666667,77.1666666666667,306.75,0.2
n5-csma,N5 CSMA,a0-g0-s0,A0 G0 S0,0,0,0,12,0.0578436934180928,0,0,0.0783692647871751,0.286777777777778,0.269118055555533,158,691.666666666667,525.5,0,0,0.2
n5-csma,N5 CSMA,a0-g0-s1,A0 G0 S1,0,0,1,12,0.0578436934180928,0,0,0.0783692647871751,0.286777777777778,0.269118055555533,158,691.666666666667,525.5,0,0,0.2
n5-csma,N5 CSMA,a0-g1-s0,A0 G1 S0,0,1,0,12,0.0577549828686518,0,0,0.078952459922609,0.289715277777778,0.270020833333311,171.083333333333,702.333333333333,516.166666666667,20.0833333333333,0,0.2
n5-csma,N5 CSMA,a0-g1-s1,A0 G1 S1,0,1,1,12,0.0577549828686518,0,0,0.078952459922609,0.289715277777778,0.270020833333311,171.083333333333,702.333333333333,516.166666666667,20.0833333333333,0,0.2
n5-csma,N5 CSMA,a1-g0-s0,A1 G0 S0,1,0,0,12,0.0542049014651689,0,0,0.0724350469872857,0.278819444444445,0.25954861111109,115.166666666667,805.666666666667,63.5,0,63.5,0.2
n5-csma,N5 CSMA,a1-g0-s1,A1 G0 S1,1,0,1,12,0.0542049014651689,0,0,0.0724350469872857,0.278819444444445,0.25954861111109,115.166666666667,805.666666666667,63.5,0,63.5,0.2
n5-csma,N5 CSMA,a1-g1-s0,A1 G1 S0,1,1,0,12,0.0543070428001644,0,0,0.0727142067440574,0.281645833333334,0.260743055555535,125.75,815.916666666667,60.4166666666667,13.5,60.4166666666667,0.2
n5-csma,N5 CSMA,a1-g1-s1,A1 G1 S1,1,1,1,12,0.0543070428001644,0,0,0.0727142067440574,0.281645833333334,0.260743055555535,125.75,815.916666666667,60.4166666666667,13.5,60.4166666666667,0.2
