candidate,reference,nPairs,relativeRmse,rmseDelta,rmseCiLo,rmseCiHi,relativeCost,costDelta,costCiLo,costCiHi
migration-zero,periodic-zero,20,-0.0258770644069449,-0.00163370723105828,-0.00166967882317332,-0.00159509152911918,-0.0480208333333326,-0.012293333333333,-0.012293333333333,-0.012293333333333
migration-iid20,periodic-iid20,20,0.0176740322771924,0.00145913931185121,0.000350265843430346,0.00259140812864204,-0.0489114583333327,-0.012521333333333,-0.0125973399999997,-0.0124447999999997
migration-iid20-revoke-blackout,migration-iid20,20,0,0,0,0,0,0,0,0
migration-iid20-response-blackout,migration-iid20,20,1.11563044046,0.0937324919121449,0.0927168290238396,0.0947958046124312,0.0252211008219758,0.00614080000000009,0.00587651333333342,0.00641093333333341
