seed,arm,kind,condition,dataLoss,controlLoss,traceHash,geometryHash,selectorHash,scheduleHash,kernelTraceHash,kernelStateHash,interferenceEventHash,RMSE,MINSEP,SAFEFAIL,DIVERGED,TOTAL_COST,DATA_AIRTIME,MANAGEMENT_AIRTIME,DATA_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,BACKGROUND_COLLISION_FRAMES,graphAdmissible,graphLocalOnly,graphAddedEdges,graphRemovedEdges,oldSlot,newSlot,eventFrame,eligibleFrame,reacquired,firstReacquiredFrame,finalSuppressed,controlAttempts,controlBytes,controlAirtime,expectedControlAttempts,expectedControlAirtime,expectedDataSuccess,expectedDataErasure,expectedDataCollision,observedDataSuccess,observedDataErasure,observedDataCollision,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,suppressionHash,reacquisitionHash,revokeBlackout,responseBlackout,geometryCoupledToPlant
16086002,migration-iid20-revoke-blackout,migration,iid20,0.2,0.2,906735,2363678,564740,1181091882,19294924441,149528450,509155,0.0824851870667556,0.505790831914122,0,0,0.243509333333331,2.74943999999998,0.172672,895,1849,481,0,0,1,1,1,0,7,9,47,50,1,52,0,192,5396,0.172672,192,0.172672,1849,481,0,1849,481,0,0,0,0,1,0,0,0,29545,29348,1,0,0
16086002,migration-iid20-response-blackout,migration,iid20,0.2,0.2,906735,2363678,564740,1124148925,19096690216,179393130,509155,0.176405627130245,0.171126132218601,1,0,0.249919999999998,2.62963199999998,0.369408,856,1780,472,0,0,1,1,1,0,7,9,47,50,0,NaN,1,389,11544,0.369408,389,0.369408,1780,472,0,1780,472,0,0,0,0,1,0,0,0,32353,29295,0,1,0
16086003,periodic-zero,periodic,zero,0,0,1293288,2363678,564740,NaN,NaN,NaN,509155,0.063169103159124,0.528715505880197,0,0,0.255999999999998,3.07199999999997,0,1000,2600,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086003,migration-zero,migration,zero,0,0,1293288,2363678,564740,3413116334,1830117768,149454640,509155,0.0615006464952756,0.531329705818156,0,0,0.243706666666665,2.75558399999997,0.168896,897,2334,0,0,0,1,1,1,0,7,9,47,50,1,50,0,188,5278,0.168896,188,0.168896,2334,0,0,2334,0,0,0,0,0,1,0,0,0,29442,29346,0,0,0
16086003,periodic-iid20,periodic,iid20,0.2,0,1293288,2363678,564740,NaN,NaN,NaN,509155,0.0834988922426895,0.511035406072887,0,0,0.255999999999998,3.07199999999997,0,1000,2096,504,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086003,migration-iid20,migration,iid20,0.2,0.2,1293288,2363678,564740,1181865357,19368933366,149498080,509155,0.0852578314068005,0.501030781803799,0,0,0.243509333333331,2.74943999999998,0.172672,895,1851,479,0,0,1,1,1,0,7,9,47,50,1,52,0,192,5396,0.172672,192,0.172672,1851,479,0,1851,479,0,0,0,0,1,0,0,0,29545,29348,0,0,0
16086003,migration-iid20-revoke-blackout,migration,iid20,0.2,0.2,1293288,2363678,564740,1181894367,19364340249,149498080,509155,0.0852578314068005,0.501030781803799,0,0,0.243509333333331,2.74943999999998,0.172672,895,1851,479,0,0,1,1,1,0,7,9,47,50,1,52,0,192,5396,0.172672,192,0.172672,1851,479,0,1851,479,0,0,0,0,1,0,0,0,29545,29348,1,0,0
16086003,migration-iid20-response-blackout,migration,iid20,0.2,0.2,1293288,2363678,564740,1124588578,19157814493,178138333,509155,0.176648952197714,0.165121138245898,1,0,0.249434666666665,2.62963199999998,0.363584,856,1784,468,0,0,1,1,1,0,7,9,47,50,0,NaN,1,382,11362,0.363584,382,0.363584,1784,468,0,1784,468,0,0,0,0,1,0,0,0,32353,29295,0,1,0
16086004,periodic-zero,periodic,zero,0,0,824793,2363678,564740,NaN,NaN,NaN,509155,0.0630515619532958,0.528884242740072,0,0,0.255999999999998,3.07199999999997,0,1000,2600,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086004,migration-zero,migration,zero,0,0,824793,2363678,564740,3436742372,1830117768,149454640,509155,0.0615174890351575,0.531051779355275,0,0,0.243706666666665,2.75558399999997,0.168896,897,2334,0,0,0,1,1,1,0,7,9,47,50,1,50,0,188,5278,0.168896,188,0.168896,2334,0,0,2334,0,0,0,0,0,1,0,0,0,29442,29346,0,0,0
