cell,arm,N,rho,epsilon,n,meanAoII,meanMaxAoII,meanAttemptRate,meanSuccessRate,meanCollisionRate,meanFeedbackRate,meanPhaseDivergence
n10-rho20-eps05,delta-private-delayed,10,0.2,0.05,30,6832.657426,6878.40516666667,0.297063492063492,0.0837904761904762,0.0872349206349207,1.75412698412698,0.847188888888889
n10-rho20-eps05,delta-public,10,0.2,0.05,30,10730.3233333333,10781.4666666667,0.00428730158730159,0.0029984126984127,0.000501587301587302,0.00366666666666667,0
n10-rho20-eps05,max-age-first,10,0.2,0.05,30,0.0041465,0.0378183333333333,0.20888253968254,0.1986,0,0,0
n10-rho20-eps05,round-robin,10,0.2,0.05,30,0.416069666666667,3.289245,0.190033333333333,0.180388888888889,0,0,0
n10-rho20-eps05,zero-wait,10,0.2,0.05,30,2.4064845,15.8121483333333,0.205052380952381,0.16134126984127,0.0171730158730159,0,0
n10-rho20-eps20,delta-private-delayed,10,0.2,0.2,30,9998.65151833333,10063.4826183333,0.0548730158730159,0.0130349206349206,0.015852380952381,0.320539682539683,0.828371428571429
n10-rho20-eps20,delta-public,10,0.2,0.2,30,10814.15,10856.6333333333,0.0034047619047619,0.00206984126984127,0.000371428571428572,0.00295396825396825,0
n10-rho20-eps20,max-age-first,10,0.2,0.2,30,0.013154,0.114556666666667,0.247092063492064,0.19747619047619,0,0,0
n10-rho20-eps20,round-robin,10,0.2,0.2,30,0.855006833333333,6.457665,0.217812698412698,0.174204761904762,0,0,0
n10-rho20-eps20,zero-wait,10,0.2,0.2,30,3.54641216666667,21.8659066666667,0.240914285714286,0.154006349206349,0.0234111111111111,0,0
n10-rho50-eps05,delta-private-delayed,10,0.5,0.05,30,4412.63850616667,4452.52483833333,0.720015873015873,0.143934920634921,0.226812698412698,3.78330158730159,0.849030158730159
n10-rho50-eps05,delta-public,10,0.5,0.05,30,10809.04,10831.5,0.0051984126984127,0.00323333333333333,0.000798412698412699,0.0041968253968254,0
n10-rho50-eps05,max-age-first,10,0.5,0.05,30,0.0338951666666667,0.2602,0.512561904761905,0.486944444444444,0,0,0
n10-rho50-eps05,round-robin,10,0.5,0.05,30,0.957636666666667,5.84283166666667,0.413001587301587,0.392244444444444,0,0,0
n10-rho50-eps05,zero-wait,10,0.5,0.05,30,6.897147,31.9906483333333,0.458385714285714,0.284806349206349,0.0741460317460318,0,0
n10-rho50-eps20,delta-private-delayed,10,0.5,0.2,30,9142.0278865,9184.96574333333,0.126515873015873,0.0265460317460318,0.0382063492063492,0.714380952380952,0.838747619047619
n10-rho50-eps20,delta-public,10,0.5,0.2,30,10868.6833333333,10891.7666666667,0.00272857142857143,0.00186190476190476,0.000179365079365079,0.00252698412698413,0
n10-rho50-eps20,max-age-first,10,0.5,0.2,30,0.0919608333333333,0.618868333333333,0.593373015873016,0.474663492063492,0,0,0
n10-rho50-eps20,round-robin,10,0.5,0.2,30,1.85685283333333,10.7717666666667,0.455057142857143,0.364065079365079,0,0,0
n10-rho50-eps20,zero-wait,10,0.5,0.2,30,9.86807,42.8991666666667,0.514593650793651,0.255373015873016,0.0907047619047619,0,0
n20-rho20-eps05,delta-private-delayed,20,0.2,0.05,30,3119.62147191667,3219.04210833333,0.846095238095238,0.206869841269841,0.25621746031746,9.48034920634921,0.859426984126984
n20-rho20-eps05,delta-public,20,0.2,0.05,30,10678.8433333333,10773.5,0.0046952380952381,0.00319047619047619,0.000623809523809523,0.00397142857142857,0
