scenario,reference,family,periodicReference,nPairs,referenceMeanRMSE,elcsMeanRMSE,referenceMeanCost,elcsMeanCost,rmseDelta,rmseCiLo,rmseCiHi,costDelta,costCiLo,costCiHi,dominates,confidenceSupported
n5-6dof-zero-loss,periodic-static-p5,periodic-static,1,30,0.0647069429140297,0.0301119656782675,0.0767999999999997,0.350788266666666,0.0345949772357622,0.0345603143064967,0.0346272022390834,-0.273988266666666,-0.274133333333333,-0.273851733333332,0,0
n5-6dof-zero-loss,periodic-static-p8p33333,periodic-static,1,30,0.0458327726860719,0.0301119656782675,0.127999999999999,0.350788266666666,0.0157208070078045,0.0157075111573041,0.0157348824151036,-0.222788266666666,-0.222933333333333,-0.222651733333333,0,0
n5-6dof-zero-loss,periodic-static-p10,periodic-static,1,30,0.041129350290581,0.0301119656782675,0.153599999999999,0.350788266666666,0.0110173846123135,0.0109960738442695,0.011037878658582,-0.197188266666667,-0.197333333333333,-0.197051733333333,0,0
n5-6dof-zero-loss,periodic-static-p12p5,periodic-static,1,30,0.0364739718738646,0.0301119656782675,0.191999999999998,0.350788266666666,0.00636200619559716,0.00634668336863678,0.0063776840164976,-0.158788266666667,-0.158933333333334,-0.158643200000001,0,0
n5-6dof-zero-loss,periodic-static-p15,periodic-static,1,30,0.0337100054632107,0.0301119656782675,0.230399999999998,0.350788266666666,0.00359803978494323,0.00357970150096316,0.00361478576759929,-0.120388266666668,-0.120533333333334,-0.120251733333334,0,0
n5-6dof-zero-loss,periodic-static-p17p5,periodic-static,1,30,0.0312768681817252,0.0301119656782675,0.268799999999997,0.350788266666666,0.00116490250345769,0.00113708315888513,0.0011917455008971,-0.0819882666666681,-0.0821333333333348,-0.0818517333333348,0,0
n5-6dof-zero-loss,periodic-static-p20,periodic-static,1,30,0.030156620094988,0.0301119656782675,0.307199999999997,0.350788266666666,4.46544167205386e-05,3.21465332496392e-05,5.66426821647345e-05,-0.0435882666666685,-0.0437333333333352,-0.0434517333333352,0,0
n5-6dof-zero-loss,periodic-static-p25,periodic-static,1,30,0.0276194647976299,0.0301119656782675,0.384000000000003,0.350788266666666,-0.00249250088063762,-0.00250239946096094,-0.00248193575249997,0.0332117333333379,0.0330666666666712,0.0333568000000045,0,0
n5-6dof-zero-loss,dstr-native-mission-affine,prior-art-dstr,0,30,0.0280939636352969,0.0301119656782675,0.384529066666663,0.350788266666666,-0.00201800204297053,-0.00202603060838944,-0.00200934155139568,0.0337407999999979,0.0310527999999979,0.0363434666666645,0,0
n10-ring2-zero-loss,periodic-static-p5,periodic-static,1,30,0.0926460266183416,0.0508632272032115,0.153599999999999,0.376951466666665,0.0417827994151301,0.0417526777313426,0.0418118206780566,-0.223351466666666,-0.223658666666666,-0.223044266666666,0,0
n10-ring2-zero-loss,periodic-static-p8p33333,periodic-static,1,30,0.0631249524403173,0.0508632272032115,0.255999999999998,0.376951466666665,0.0122617252371058,0.0122371160446002,0.0122847546449343,-0.120951466666667,-0.121258666666667,-0.120644266666667,0,0
n10-ring2-zero-loss,periodic-static-p10,periodic-static,1,30,0.0564734163039416,0.0508632272032115,0.307199999999997,0.376951466666665,0.00561018910073016,0.00559072171818029,0.00562878397566495,-0.0697514666666677,-0.070067200000001,-0.0694613333333343,0,0
n10-ring2-zero-loss,periodic-static-p12p5,periodic-static,1,30,0.0501368467565799,0.0508632272032115,0.384000000000003,0.376951466666665,-0.000726380446631625,-0.000749204273393891,-0.000702358421070766,0.00704853333333872,0.00674133333333872,0.00734720000000539,0,0
n10-ring2-zero-loss,periodic-static-p15,periodic-static,1,30,0.0468284069329386,0.0508632272032115,0.460800000000013,0.376951466666665,-0.00403482027027286,-0.004055908623004,-0.00401457921530738,0.0838485333333489,0.0835328000000156,0.0841472000000156,0,0
n10-ring2-zero-loss,periodic-static-p17p5,periodic-static,1,30,0.0435578025691421,0.0508632272032115,0.528426666666689,0.376951466666665,-0.00730542463406938,-0.00732571934325148,-0.00728414128629036,0.151475200000025,0.151082666666691,0.151859200000025,0,0
n10-ring2-zero-loss,periodic-static-p20,periodic-static,1,30,0.0418996325080291,0.0508632272032115,0.578210133333362,0.376951466666665,-0.00896359469518239,-0.00898035375433115,-0.00894732334793277,0.201258666666698,0.200874666666698,0.201634133333364,0,0
n10-ring2-zero-loss,periodic-static-p25,periodic-static,1,30,0.0380726287909854,0.0508632272032115,0.677691733333372,0.376951466666665,-0.0127905984122261,-0.0128089440857166,-0.0127724814080329,0.300740266666708,0.300424320000041,0.301056000000041,0,0
n10-ring2-zero-loss,dstr-native-mission-affine,prior-art-dstr,0,30,0.0360798834991086,0.0508632272032115,0.757606400000019,0.376951466666665,-0.0147833437041029,-0.0152476995417413,-0.0143092986565493,0.380654933333354,0.365448533333353,0.396083626666689,0,0
