communicationBudget,formationErrorA,formationErrorB,errorDifferenceAminusB,relativeAdvantageO1,meaningfulO1Advantage,scenarioId,costModel
1.24818181818182,0.340232223048194,0.399029181409083,-0.0587969583608893,0.147350021252232,1,S2,C0
1.34474545454546,0.327553612408719,0.385503709802652,-0.057950097393933,0.150323060246551,1,S2,C0
1.44130909090909,0.314875001769245,0.371978238196222,-0.0571032364269767,0.153512304117248,1,S2,C0
1.53787272727273,0.302196391129771,0.358452766589792,-0.0562563754600204,0.15694222699193,1,S2,C0
1.63443636363637,0.289517780490297,0.344927294983361,-0.055409514493064,0.160641141767969,1,S2,C0
1.731,0.276839169850823,0.331401823376931,-0.0545626535261077,0.164641983469261,1,S2,C0
1.82756363636364,0.264160559211349,0.3178763517705,-0.0537157925591514,0.168983292591495,1,S2,C0
1.92412727272728,0.251481948571875,0.30435088016407,-0.0528689315921951,0.173710460648888,1,S2,C0
2.02069090909091,0.248008991031152,0.292492296153222,-0.0444833051220702,0.15208368120153,1,S2,C0
2.11725454545455,0.245132149358692,0.286746121576792,-0.0416139722180992,0.145124795373927,1,S2,C0
2.21381818181818,0.242255307686233,0.280999947000361,-0.0387446393141282,0.13788130470387,1,S2,C0
2.31038181818182,0.239378466013773,0.27525377242393,-0.0358753064101572,0.130335385031178,1,S2,C0
2.40694545454546,0.236501624341314,0.2695075978475,-0.0330059735061862,0.122467692079177,1,S2,C0
2.50350909090909,0.233624782668854,0.263830634882208,-0.0302058522133545,0.114489555872995,1,S2,C0
2.60007272727273,0.230747940996394,0.259989034744949,-0.029241093748555,0.112470488523644,1,S2,C0
2.69663636363637,0.227871099323935,0.25614743460769,-0.0282763352837556,0.110390858792176,1,S2,C0
2.7932,0.224994257651475,0.252305834470431,-0.0273115768189562,0.108247900316221,1,S2,C0
2.88976363636364,0.222117415979015,0.248464234333172,-0.0263468183541568,0.106038675646281,1,S2,C0
2.98632727272728,0.219240574306556,0.244622634195913,-0.0253820598893574,0.103760062811806,1,S2,C0
3.08289090909091,0.216363732634096,0.240781034058654,-0.024417301424558,0.101408740601263,1,S2,C0
3.17945454545455,0.213486890961636,0.236939433921395,-0.0234525429597586,0.0989811724102413,1,S2,C0
3.27601818181818,0.210610049289177,0.233097833784136,-0.0224877844949592,0.096473588492394,1,S2,C0
3.37258181818182,0.207733207616717,0.230129175081203,-0.0223959674644856,0.0973191141739549,1,S2,C0
3.46914545454546,0.204856365944257,0.228557992161233,-0.0237016262169753,0.103700710672394,1,S2,C0
3.56570909090909,0.201979524271798,0.226986809241263,-0.025007284969465,0.110170652880912,1,S2,C0
3.66227272727273,0.199102682599338,0.225415626321293,-0.0263129437219547,0.11673078815064,1,S2,C0
3.75883636363637,0.196225840926878,0.223844443401323,-0.0276186024744444,0.123383015699559,1,S2,C0
3.8554,0.193348999254419,0.222273260481353,-0.0289242612269342,0.130129288445655,1,S2,C0
3.95196363636364,0.190979590946198,0.220702077561383,-0.029722486615185,0.134672436904988,1,S2,C0
4.04852727272728,0.190333691821315,0.219130894641413,-0.0287972028200985,0.131415530736651,1,S2,C0
4.14509090909091,0.189687792696431,0.217559711721443,-0.027871919025012,0.128111582813174,1,S2,C0
4.24165454545455,0.189041893571548,0.215988528801473,-0.0269466352299254,0.124759566535562,1,S2,C0
4.33821818181818,0.188395994446664,0.214417345881503,-0.0260213514348389,0.121358425214439,1,S2,C0
4.43478181818182,0.187750095321781,0.212846162961533,-0.0250960676397523,0.117907070959451,1,S2,C0
4.53134545454546,0.187104196196898,0.211274980041563,-0.0241707838446658,0.114404383519103,1,S2,C0
4.62790909090909,0.186458297072014,0.209703797121593,-0.0232455000495792,0.110849209068449,1,S2,C0
4.72447272727273,0.185812397947131,0.208132614201623,-0.0223202162544927,0.107240358941874,1,S2,C0
4.82103636363637,0.185166498822247,0.206561431281653,-0.0213949324594061,0.103576608308031,1,S2,C0
4.9176,0.184520599697364,0.204990248361684,-0.0204696486643196,0.0998566947838564,1,S2,C0
5.01416363636364,0.183874700572481,0.203523855942497,-0.0196491553700169,0.0965447282777919,1,S2,C0
5.11072727272728,0.183228801447597,0.202667104793597,-0.0194383033459995,0.0959124736389565,1,S2,C0
5.20729090909091,0.182582902322714,0.201810353644696,-0.0192274513219821,0.0952748507434541,1,S2,C0
5.30385454545455,0.18193700319783,0.200953602495795,-0.0190165992979647,0.0946317909297625,1,S2,C0
5.40041818181819,0.181291104072947,0.200096851346894,-0.0188057472739473,0.0939832243604126,1,S2,C0
5.49698181818182,0.180645204948064,0.199240100197993,-0.0185948952499299,0.093329079996704,1,S2,C0
5.59354545454546,0.17999930582318,0.198383349049093,-0.0183840432259125,0.092669285572768,1,S2,C0
5.6901090909091,0.179353406698297,0.197526597900192,-0.0181731912018951,0.0920037675689518,1,S2,C0
5.78667272727273,0.178707507573413,0.196669846751291,-0.0179623391778777,0.0913324511845117,1,S2,C0
5.88323636363637,0.17806160844853,0.19581309560239,-0.0177514871538603,0.0906552603095848,1,S2,C0
5.9798,0.177415709323647,0.194956344453489,-0.0175406351298429,0.0899721174964251,1,S2,C0
6.07636363636364,0.176769810198763,0.194099593304589,-0.0173297831058255,0.0892829439298769,1,S2,C0
6.17292727272728,0.17612391107388,0.193242842155688,-0.0171189310818081,0.0885876593970608,1,S2,C0
6.26949090909091,0.175478011948996,0.192511242182677,-0.0170332302336809,0.0884791456361692,1,S2,C0
6.36605454545455,0.174832112824113,0.192157273102728,-0.0173251602786146,0.0901613558460132,1,S2,C0
6.46261818181819,0.17418621369923,0.191803304022778,-0.0176170903235482,0.0918497750250227,1,S2,C0
6.55918181818182,0.173540314574346,0.191449334942828,-0.0179090203684817,0.0935444376123316,1,S2,C0
6.65574545454546,0.172894415449463,0.191095365862878,-0.0182009504134154,0.0952453783022429,1,S2,C0
6.7523090909091,0.172248516324579,0.190741396782928,-0.0184928804583489,0.0969526320465955,1,S2,C0
6.84887272727273,0.171602617199696,0.190387427702979,-0.0187848105032825,0.0986662340571589,1,S2,C0
6.94543636363637,0.170956718074813,0.190033458623029,-0.0190767405482162,0.100386219808054,1,S2,C0
7.04200000000001,0.170310818949929,0.189679489543079,-0.0193686705931497,0.102112625038201,1,S2,C0
7.13856363636364,0.169664919825046,0.189325520463129,-0.0196606006380833,0.103845485753793,1,S2,C0
7.23512727272728,0.169019020700162,0.188971551383179,-0.0199525306830169,0.105584838230803,1,S2,C0
7.33169090909091,0.168373121575279,0.18861758230323,-0.0202444607279506,0.107330719017513,1,S2,C0
7.42825454545455,0.167755400974742,0.18826361322328,-0.0205082122485373,0.108933489044506,1,S2,C0
7.52481818181819,0.167601791793299,0.18790964414333,-0.0203078523500312,0.108072432591811,1,S2,C0
7.62138181818182,0.167448182611855,0.18755567506338,-0.020107492451525,0.107208126039002,1,S2,C0
7.71794545454546,0.167294573430412,0.18720170598343,-0.0199071325530188,0.106340550949791,1,S2,C0
7.81450909090909,0.167140964248968,0.186847736903481,-0.0197067726545126,0.105469688748184,1,S2,C0
7.91107272727273,0.166987355067524,0.186493767823531,-0.0195064127560065,0.104595520717156,1,S2,C0
8.00763636363637,0.166833745886081,0.186139798743581,-0.0193060528575003,0.10371802799731,1,S2,C0
8.1042,0.166680136704637,0.185785829663631,-0.0191056929589942,0.102837191585523,1,S2,C0
8.20076363636364,0.166526527523193,0.185431860583681,-0.018905333060488,0.101952992333572,1,S2,C0
8.29732727272728,0.16637291834175,0.185077891503732,-0.0187049731619819,0.101065410946746,1,S2,C0
8.39389090909091,0.166219309160306,0.184723922423782,-0.0185046132634757,0.100174427982444,1,S2,C0
8.49045454545455,0.166065699978862,0.184369953343832,-0.0183042533649695,0.0992800238487552,1,S2,C0
8.58701818181819,0.165912090797419,0.184015984263882,-0.0181038934664633,0.0983821788030219,1,S2,C0
8.68358181818182,0.165758481615975,0.183662015183932,-0.0179035335679572,0.0974808729503882,1,S2,C0
8.78014545454546,0.165604872434532,0.183308046103983,-0.017703173669451,0.0965760862423288,1,S2,C0
8.8767090909091,0.165451263253088,0.182954077024033,-0.0175028137709448,0.0956677984751642,1,S2,C0
8.97327272727273,0.165297654071644,0.182600107944083,-0.0173024538724387,0.0947559892885562,1,S2,C0
9.06983636363637,0.165144044890201,0.182246138864133,-0.0171020939739325,0.0938406381639853,1,S2,C0
9.1664,0.164990435708757,0.181892169784183,-0.0169017340754264,0.0929217244232141,1,S2,C0
9.26296363636364,0.164836826527313,0.181538200704234,-0.0167013741769202,0.0919992272267284,1,S2,C0
9.35952727272728,0.16468321734587,0.181184231624284,-0.016501014278414,0.0910731255721615,1,S2,C0
9.45609090909091,0.164529608164426,0.180830262544334,-0.0163006543799078,0.0901433982927023,1,S2,C0
9.55265454545455,0.164375998982982,0.180476293464384,-0.0161002944814017,0.0892100240554806,1,S2,C0
9.64921818181819,0.164222389801539,0.180122324384434,-0.0158999345828955,0.088272981359936,1,S2,C0
9.74578181818182,0.164068780620095,0.179768355304485,-0.0156995746843893,0.0873322485361677,1,S2,C0
9.84234545454546,0.163915171438652,0.179414386224535,-0.0154992147858832,0.0863878037432636,1,S2,C0
9.9389090909091,0.163761562257208,0.179060417144585,-0.015298854887377,0.0854396249676094,1,S2,C0
10.0354727272727,0.163607953075764,0.178776307878829,-0.0151683548030651,0.0848454416753356,1,S2,C0
10.1320363636364,0.163454343894321,0.178612510748231,-0.0151581668539107,0.084866210045484,1,S2,C0
10.2286,0.163300734712877,0.178448713617633,-0.0151479789047563,0.0848870165419866,1,S2,C0
10.3251636363636,0.163147125531433,0.178284916487035,-0.0151377909556019,0.084907861269928,1,S2,C0
10.4217272727273,0.16299351634999,0.178121119356437,-0.0151276030064475,0.0849287443347789,1,S2,C0
10.5182909090909,0.162839907168546,0.177957322225839,-0.0151174150572931,0.0849496658423985,1,S2,C0
10.6148545454546,0.162686297987103,0.177793525095241,-0.0151072271081387,0.0849706258990365,1,S2,C0
10.7114181818182,0.162532688805659,0.177629727964643,-0.0150970391589844,0.0849916246113342,1,S2,C0
10.8079818181818,0.162379079624215,0.177465930834045,-0.0150868512098299,0.0850126620863258,1,S2,C0
10.9045454545455,0.162225470442772,0.177302133703447,-0.0150766632606756,0.0850337384314424,1,S2,C0
1.24818181818182,0.64599911621216,0.584599805122672,0.0613993110894876,-0.105027936293279,0,S3,C0
1.36030909090909,0.616794192867908,0.557292510213512,0.0595016826543957,-0.106769212870992,0,S3,C0
1.47243636363637,0.587589269523656,0.529985215304352,0.0576040542193038,-0.108689926729793,0,S3,C0
1.58456363636364,0.558384346179404,0.502677920395192,0.0557064257842118,-0.110819320929029,0,S3,C0
1.69669090909091,0.529179422835152,0.475370625486032,0.0538087973491198,-0.11319335790701,0,S3,C0
1.80881818181818,0.4999744994909,0.448063330576872,0.051911168914028,-0.115856767049411,0,S3,C0
1.92094545454546,0.470769576146648,0.420756035667712,0.0500135404789361,-0.118865889587461,0,S3,C0
2.03307272727273,0.444046278277918,0.398649131567325,0.0453971467105935,-0.113877450408861,0,S3,C0
2.1452,0.432452614205866,0.388972848267673,0.0434797659381931,-0.111780979396979,0,S3,C0
2.25732727272728,0.420858950133815,0.379296564968022,0.0415623851657927,-0.10957754170354,0,S3,C0
2.36945454545455,0.409265286061763,0.36962028166837,0.0396450043933924,-0.107258736491529,0,S3,C0
2.48158181818182,0.397671621989711,0.359943998368719,0.037727623620992,-0.104815259573642,0,S3,C0
2.59370909090909,0.386077957917659,0.351535853260332,0.0345421046573274,-0.0982605453667539,0,S3,C0
2.70583636363637,0.374484293845607,0.343376956112315,0.0311073377332921,-0.0905923859465897,0,S3,C0
2.81796363636364,0.362890629773556,0.335218058964299,0.0276725708092569,-0.0825509547270664,0,S3,C0
2.93009090909091,0.351296965701504,0.327059161816282,0.0242378038852216,-0.0741083165217571,0,S3,C0
3.04221818181819,0.339703301629452,0.318900264668266,0.0208030369611863,-0.065233677315466,0,S3,C0
3.15434545454546,0.3281096375574,0.310741367520249,0.0173682700371511,-0.0558930089538828,0,S3,C0
