costModel,scenarioId,periodicFrontierPoints,oracleFrontierPoints,budgetMeanDifference,budgetMedianDifference,budgetFractionFavoringO1,budgetMaximumAdvantage,budgetMaximumDisadvantage,budgetCrossings,budgetLongestMeaningfulRun,performanceMeanDifference,performanceMedianDifference,performanceFractionFavoringO1,performanceMaximumAdvantage,performanceMaximumDisadvantage,performanceCrossings,performanceLongestMeaningfulRun,convincing,marginalOrNarrow,classification
C0,S2,11,8,-0.023809948079625,-0.0193686705931497,1,0.0587969583608893,0,0,101,-1.70876416311768,-0.503021657929496,1,41.135566242141,0,0,101,1,0,CONVINCING
C0,S3,11,10,0.00165518357935558,-0.00799969538807566,0.792079207920792,0.0119810606453929,0.0613993110894876,1,63,-0.00144959543842901,0.211187421213578,0.316831683168317,2.16862809543031,0.442893175668887,1,13,0,1,MARGINAL_OR_NARROW
C0,S4,11,12,0.0259489313611113,0.026692831794352,0,0,0.0699459601471487,0,0,0.713457926091722,0.344197462244389,0,0,11.927456855351,0,0,0,0,NO_HEADROOM
C0,S5,11,9,-0.00430944139950667,-0.00858557919565411,0.821782178217822,0.0234830952691933,0.100341091373011,2,62,-0.246837057149892,-0.0768471958404868,0.524752475247525,1.49798281390523,0.315980629089399,2,46,1,0,CONVINCING
C0,S6,11,9,-0.0145951492334868,-0.0108709993641833,1,0.054620419482017,0,0,98,-0.569591074326541,-0.401520774162469,1,1.91279624818646,0,0,101,1,0,CONVINCING
C1,S2,11,8,-0.0131403770982119,-0.0123086890495884,1,0.0316340704704975,0,0,101,-1.25004764903134,-0.218237470591251,1,39.3681127671424,0,0,54,1,0,CONVINCING
C1,S3,11,10,0.0136871099395479,-0.000442926642436919,0.554455445544555,0.0044951414931125,0.0910876358082113,2,8,0.367896694280443,0.377145908179432,0.108910891089109,0.847095405296116,0.666807758909539,2,2,0,0,NO_HEADROOM
C1,S4,11,12,0.0381654901586483,0.0352598946695195,0,0,0.143208661526993,0,0,1.39050217315569,0.79041455498667,0,0,15.60836594626,0,0,0,0,NO_HEADROOM
C1,S5,11,10,0.00881894548717169,0.00132735496412595,0.237623762376238,0.00338133489715736,0.137155782499087,2,0,0.261002551669626,0.288743178582084,0.108910891089109,0.462470942370189,2.44877448862524,2,2,0,0,NO_HEADROOM
C1,S6,11,9,-0.000340215646789455,0.000756715266374886,0.425742574257426,0.0196073944601465,0.00971348643729469,8,10,-0.014972077247148,-0.0326439031159209,0.633663366336634,0.485181123347868,1.52578671758391,8,11,0,0,NO_HEADROOM
C2,S2,11,8,-0.0131403770982119,-0.0123086890495884,1,0.0316340704704975,0,0,101,-1.25004764903134,-0.218237470591251,1,39.3681127671424,0,0,54,1,0,CONVINCING
C2,S3,11,10,0.0136871099395479,-0.000442926642436919,0.554455445544555,0.0044951414931125,0.0910876358082113,2,8,0.367896694280443,0.377145908179432,0.108910891089109,0.847095405296116,0.666807758909539,2,2,0,0,NO_HEADROOM
C2,S4,11,12,0.0381486708755464,0.0352445040698427,0,0,0.143208661526993,0,0,1.38945631504172,0.79041455498667,0,0,15.5581386735328,0,0,0,0,NO_HEADROOM
C2,S5,11,10,0.00881894548717169,0.00132735496412595,0.237623762376238,0.00338133489715736,0.137155782499087,2,0,0.261002551669626,0.288743178582084,0.108910891089109,0.462470942370189,2.44877448862524,2,2,0,0,NO_HEADROOM
C2,S6,11,9,-0.000340215646789455,0.000756715266374886,0.425742574257426,0.0196073944601465,0.00971348643729469,8,10,-0.014972077247148,-0.0326439031159209,0.633663366336634,0.485181123347868,1.52578671758391,8,11,0,0,NO_HEADROOM
