seed,N,conditionIndex,BASE_TRACE_HASH_EXACT,DYNAMIC_BASE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,SCHEDULE_STATE_HASH,WITNESS_HASH_EXACT,CONFLICT_EDGES,MAX_WITNESS_LOAD,REVOKE_FRAME,REACQUIRE_ELIGIBLE_FRAME,CAPTURED_FENCE_FRAME,FIRST_REACQUIRED_FRAME,PRE_EVENT_ACTIVE,EVENT_FRAME_SUPPRESSED,UNSAFE_WINDOW_SUPPRESSED,SUPPRESSION_HASH_EXACT,REACQUIRED_HASH_EXACT,OUTSIDE_SENDER_EDGE_CERTIFIED,OUTSIDE_PAIR_SAME_COLOR,SELF_REVOCATIONS,REACQUISITIONS,FINAL_SUPPRESSED,FINAL_REVOKE_VERSION,SCHEDULED_COLLISION_FRAMES,FALSE_VALID_EDGE_FRAMES,FALLBACK_COLLISION_FRAMES,WITHIN_SUPERGRAPH_EDGE_FRAMES,OUTSIDE_SUPERGRAPH_EDGE_FRAMES,EDGE_REMOVAL_STIMULATED,CLAIM_ATTEMPTS,CERTIFICATE_ATTEMPTS,REVOKE_ATTEMPTS,CONTROL_ATTEMPTS,CLAIM_BYTES,CERTIFICATE_BYTES,REVOKE_BYTES,CONTROL_BYTES,REVOKE_RECIPIENT_ATTEMPTS,REVOKE_RECIPIENT_SUCCESS,REVOKE_RECIPIENT_ERASURE,REVOKE_RECIPIENT_COLLISION,REVOKE_WITNESS_CLEARS,REVOKE_ACCEPTED_CLEARS,RETRY_CLAIM_ATTEMPTS,CONTROL_ATTEMPT_BOUND_RATIO,CONTROL_BYTE_BOUND_RATIO,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS,CLAIM_PACKET_BYTES,CERTIFICATE_HEADER_BYTES,CERTIFICATE_ENTRY_BYTES,REVOKE_PACKET_BYTES,MAX_RESPONSE_PACKET_BYTES,PACKET_MTU_VIOLATIONS,condition
16080002,10,3,19762282306,3976469669,3800008753,24557468,17294356,576479,4,3,26,34,35,36,1,1,1,18200,17922,0,1,1,1,0,2,0,0,0,20,7,1,69,20,1,90,1932,730,24,2686,1,1,0,0,2,1,3,0.0584415584415584,0.0648166023166023,138,131,7,0,0,0,28,16,10,24,46,0,joint-control-revoke-iid5
16080002,10,4,19762282306,3976469669,3976026000,23786338,17336455,576479,4,3,26,34,35,NaN,1,1,1,20090,17885,0,1,1,0,1,2,0,0,0,20,7,1,100,52,1,153,2800,1882,24,4706,1,1,0,0,2,1,36,0.0993506493506494,0.113561776061776,297,260,37,0,0,0,28,16,10,24,46,0,reacquire-response-blackout
16080003,5,1,5323265253,988432054,988432054,23374230,4462168,39554,4,3,24,32,35,36,1,1,1,18251,17922,0,1,1,1,0,2,0,0,0,18,7,1,35,17,1,53,980,622,24,1626,1,1,0,0,2,1,0,0.0630952380952381,0.0699655765920826,122,122,0,0,0,0,28,16,10,24,46,0,zero-delivered
16080003,5,2,5323265253,988432054,985325638,23374230,4462168,39554,4,3,24,32,35,36,1,1,1,18251,17922,0,1,1,1,0,2,0,0,0,18,7,1,35,17,1,53,980,622,24,1626,1,0,1,0,0,1,0,0.0630952380952381,0.0699655765920826,122,121,1,0,0,0,28,16,10,24,46,0,revoke-blackout
16080003,5,3,5323265253,988432054,942326517,24145360,4463053,39554,4,3,24,32,36,37,1,1,1,18288,17923,0,1,1,1,0,2,0,0,0,18,7,1,37,19,1,57,1036,684,24,1744,1,1,0,0,2,1,1,0.0678571428571429,0.0750430292598967,131,125,6,0,0,0,28,16,10,24,46,0,joint-control-revoke-iid5
16080003,5,4,5323265253,988432054,988161088,23374230,4481556,39554,4,3,24,32,35,NaN,1,1,1,20141,17885,0,1,1,0,1,2,0,0,0,18,7,1,70,52,1,123,1960,1882,24,3866,1,1,0,0,2,1,38,0.146428571428571,0.166351118760757,297,258,39,0,0,0,28,16,10,24,46,0,reacquire-response-blackout
16080003,10,1,19887258594,3912021523,3912021523,23786338,17297798,576479,4,3,24,32,35,36,1,1,1,18251,17922,0,1,1,1,0,2,0,0,0,18,7,1,65,17,1,83,1820,622,24,2466,1,1,0,0,2,1,0,0.0538961038961039,0.059507722007722,122,122,0,0,0,0,28,16,10,24,46,0,zero-delivered
16080003,10,2,19887258594,3912021523,3905823340,23786338,17297798,576479,4,3,24,32,35,36,1,1,1,18251,17922,0,1,1,1,0,2,0,0,0,18,7,1,65,17,1,83,1820,622,24,2466,1,0,1,0,0,1,0,0.0538961038961039,0.059507722007722,122,121,1,0,0,0,28,16,10,24,46,0,revoke-blackout
16080003,10,3,19887258594,3912021523,3747011172,24557468,17297554,576479,4,3,24,32,35,36,1,1,1,18251,17922,0,1,1,1,0,2,0,0,0,18,7,1,67,21,1,89,1876,726,24,2626,1,1,0,0,2,1,4,0.0577922077922078,0.0633687258687259,138,127,11,0,0,0,28,16,10,24,46,0,joint-control-revoke-iid5
16080003,10,4,19887258594,3912021523,3912697923,23786338,17339351,576479,4,3,24,32,35,NaN,1,1,1,20141,17885,0,1,1,0,1,2,0,0,0,18,7,1,100,52,1,153,2800,1882,24,4706,1,1,0,0,2,1,38,0.0993506493506494,0.113561776061776,297,258,39,0,0,0,28,16,10,24,46,0,reacquire-response-blackout
