seed,cell,rmseAdaptiveMinusPiggyCsma,rmseAdaptiveMinusPiggyAloha,rmseInteraction,offered_utilAdaptiveMinusPiggyCsma,offered_utilAdaptiveMinusPiggyAloha,offered_utilInteraction
16023001,n5-moderate-bg0,-0.0013851715438744,-0.0191074760887285,-0.0177223045448541,-0.01125,-0.015083333333329,-0.00383333333332903
16023002,n5-moderate-bg0,-0.000892135526916096,-0.00857961492026679,-0.0076874793933507,0.01675,-0.029416666666661,-0.046166666666661
16023003,n5-moderate-bg0,0.00100567691611751,-0.0049242617195084,-0.0059299386356259,0.01525,-0.00391666666666302,-0.019166666666663
16023004,n5-moderate-bg0,0.0003402190518371,0.0062927233680778,0.0059525043162407,0.000416666666667009,-0.0735833333333209,-0.0739999999999879
16023005,n5-moderate-bg0,0.000774788439166098,-0.00888386278329879,-0.00965865122246489,0.00525000000000003,-0.0379166666666589,-0.043166666666659
16023006,n5-moderate-bg0,0.000996691850800896,-0.0046755147241738,-0.00567220657497469,0.01725,-0.055333333333324,-0.072583333333324
16023007,n5-moderate-bg0,0.000337627251370896,-0.007131545852986,-0.0074691731043569,0.00741666666666702,-0.105749999999985,-0.113166666666652
16023008,n5-moderate-bg0,0.000257023531876399,-0.0035523005775402,-0.0038093241094166,0.00474999999999998,0.015750000000002,0.0110000000000021
16023009,n5-moderate-bg0,0.0014979585907551,0.0174054975530745,0.0159075389623194,0.00433333333333302,-0.00558333333333005,-0.00991666666666308
16023010,n5-moderate-bg0,-0.0017064304363211,-0.00326874810766001,-0.00156231767133891,-0.00825000000000004,-0.015999999999995,-0.00774999999999498
16023011,n5-moderate-bg0,0.000876584902201202,-0.011654002345733,-0.0125305872479342,0.00416666666666604,-0.00841666666666208,-0.0125833333333281
16023012,n5-moderate-bg0,0.000448961159465001,-0.0016723202802143,-0.0021212814396793,0.016083333333333,-0.0156666666666621,-0.0317499999999951
16023013,n5-moderate-bg0,0.0011271084633235,0.0094176885118865,0.008290580048563,0.00674999999999998,0.012166666666669,0.00541666666666901
16023014,n5-moderate-bg0,0.0017723848579746,-0.0124430182220406,-0.0142154030800152,0.012416666666667,-0.0539166666666571,-0.066333333333324
16023015,n5-moderate-bg0,0.000117348376629398,-0.0155948732017094,-0.0157122215783388,0.009083333333334,-0.038333333333325,-0.047416666666659
16023016,n5-moderate-bg0,-0.000358887775808503,-0.0190174965557549,-0.0186586087799464,-0.00491666666666596,-0.090749999999986,-0.08583333333332
16023017,n5-moderate-bg0,0.00139767669071111,-0.0196848587773904,-0.0210825354681015,0.00925000000000004,-0.02016666666666,-0.02941666666666
16023018,n5-moderate-bg0,0.0013659007417052,0.0138760747849373,0.0125101740432321,0.000166666666666981,-0.015583333333329,-0.0157499999999959
16023019,n5-moderate-bg0,0.0001262587220578,-0.0205870779670728,-0.0207133366891306,0.00408333333333399,0.00358333333333705,-0.000499999999996947
16023020,n5-moderate-bg0,0.000634809730123198,-0.0087745057095911,-0.00940931543971429,0.011583333333334,-0.0499999999999909,-0.0615833333333249
16023021,n5-moderate-bg0,-0.0010555898108692,-0.00891130593060159,-0.00785571611973239,0.018,-0.020499999999994,-0.038499999999994
16023022,n5-moderate-bg0,0.0006545638864855,-0.00826054376512479,-0.00891510765161029,0.00491666666666601,-0.00233333333332897,-0.00724999999999498
16023023,n5-moderate-bg0,0.000135997341322795,-0.0377632172133686,-0.0378992145546914,-0.000666666666666982,-0.0985833333333189,-0.0979166666666519
16023024,n5-moderate-bg0,-0.001433030858659,0.00938581802850709,0.0108188488871661,-0.00291666666666596,0.0642499999999959,0.0671666666666619
16023025,n5-moderate-bg0,0.000865481394398501,-0.0172367648048376,-0.0181022461992361,0.008083333333334,-0.00849999999999507,-0.0165833333333291
16023026,n5-moderate-bg0,-0.0015606455154204,0.0229188917027993,0.0244795372182197,0.00533333333333302,0.077833333333328,0.072499999999995
16023027,n5-moderate-bg0,0.000944749520394902,-0.0048932109503487,-0.0058379604707436,0.010333333333333,-0.027249999999994,-0.037583333333327
16023028,n5-moderate-bg0,-0.000520229799878806,-0.0188291556139728,-0.018308925814094,-0.00316666666666698,-0.081333333333321,-0.0781666666666541
16023029,n5-moderate-bg0,0.000397705669071498,-0.0125197164560006,-0.0129174221250721,0.00341666666666701,-0.033499999999993,-0.03691666666666
16023030,n5-moderate-bg0,0.0014952979470136,0.00176522527787171,0.000269927330858108,-0.014333333333334,-8.33333333299935e-05,0.014250000000004
16023031,n5-moderate-bg0,0.0016913971079991,0.00559964703422031,0.00390824992622121,0.00691666666666602,-0.0298333333333261,-0.0367499999999921
16023032,n5-moderate-bg0,0.00125916607803159,-0.0214430776734191,-0.0227022437514507,0.012416666666667,-0.086416666666653,-0.0988333333333201
16023033,n5-moderate-bg0,0.00196640580419041,0.00453558353569629,0.00256917773150588,0.00783333333333297,0.017500000000001,0.00966666666666799
16023034,n5-moderate-bg0,0.000314777802936796,-0.0218546322334911,-0.0221694100364279,0.010916666666667,-0.040416666666658,-0.051333333333325
16023035,n5-moderate-bg0,-0.000928684688847596,-0.0058808760896481,-0.00495219140080051,0.00483333333333302,-0.0267499999999929,-0.031583333333326
16023036,n5-moderate-bg0,0.000216330628959101,-0.0163479103449725,-0.0165642409739316,0,-0.0236666666666611,-0.0236666666666611
16023037,n5-moderate-bg0,0.00147560382334819,-0.00222709024356151,-0.0037026940669097,-0.00850000000000001,-0.047249999999991,-0.038749999999991
16023038,n5-moderate-bg0,0.000348196268944702,-0.0127386589881415,-0.0130868552570862,0.00083333333333302,-0.102999999999985,-0.103833333333318
16023039,n5-moderate-bg0,-0.000631817539781705,0.00677397044963179,0.0074057879894135,-0.00408333333333299,-0.0166666666666609,-0.012583333333328
16023040,n5-moderate-bg0,-0.0010087299783305,-0.0136675750003569,-0.0126588450220264,-0.00133333333333302,-0.11616666666665,-0.114833333333317
16023041,n5-moderate-bg0,0.0015298789522896,0.0073709298410546,0.005841050888765,0.01325,-0.0331666666666589,-0.0464166666666589
16023042,n5-moderate-bg0,0.000447778490150902,-0.0059750860941549,-0.0064228645843058,-0.005083333333333,-0.0529999999999911,-0.0479166666666581
16023043,n5-moderate-bg0,0.000850729355886003,0.00195746715318611,0.0011067377973001,0.000166666666666981,0.097666666666659,0.097499999999992
16023044,n5-moderate-bg0,0.000510936669443005,0.0134821780963559,0.0129712414269129,0.0205,0.0842499999999941,0.063749999999994
