scenario,scenarioLabel,arm,methodLabel,macType,route,coreFlag,channelRegime,contextModifier,n,nEligible,meanRMSE,meanOfferedUtil,meanTrueAoI,meanChannelUtil,meanCollisions,meanDataAttempts,meanAckAttempts,meanStandaloneAcks,safeFailures,divergences
n5-moderate-hidden,N5 Moderate hidden-terminal,csma-adaptive,CSMA adaptive,csma,adaptive,0,moderate,hidden-terminal,100,100,0.0600976033677897,0.507525833333315,0.0834504145936981,0.391114166666655,893.62,1500.01,47.55,47.58,0,0
n5-moderate-hidden,N5 Moderate hidden-terminal,csma-piggyback,CSMA piggyback-only,csma,piggyback,0,moderate,hidden-terminal,100,100,0.0603711056513844,0.501263333333315,0.0828894416804864,0.385556666666653,881.86,1503.79,0,0,0,0
n5-moderate-reverse,N5 Moderate reverse-asymmetric,aloha-adaptive,ALOHA adaptive,aloha,adaptive,0,moderate,reverse-asymmetric,100,100,0.0823252105086673,0.82344999999995,0.120857490326147,0.524150833333362,2038.64,2375.03,299.4,299.56,0,0
n5-moderate-reverse,N5 Moderate reverse-asymmetric,aloha-piggyback,ALOHA piggyback-only,aloha,piggyback,0,moderate,reverse-asymmetric,100,100,0.0888206551389198,0.803673333333282,0.133169043670536,0.498844166666688,1959.87,2411.02,0,0,0,0
n5-moderate-reverse,N5 Moderate reverse-asymmetric,csma-adaptive,CSMA adaptive,csma,adaptive,0,moderate,reverse-asymmetric,100,100,0.053509622413683,0.289781666666667,0.0712225538971807,0.268222499999978,129.94,838.68,63.46,63.49,0,0
n5-moderate-reverse,N5 Moderate reverse-asymmetric,csma-piggyback,CSMA piggyback-only,csma,piggyback,0,moderate,reverse-asymmetric,100,100,0.0537584514283211,0.276613333333334,0.071686124930901,0.25526999999998,124.06,829.84,0,0,0,0
n5-stressed-bg0,N5 Stressed bg0,aloha-adaptive,ALOHA adaptive,aloha,adaptive,1,stressed,nominal,100,100,0.105602625510112,0.872730833333277,0.158595688225539,0.549905000000037,2174.04,2548.29,228.05,228.14,0,0
n5-stressed-bg0,N5 Stressed bg0,aloha-piggyback,ALOHA piggyback-only,aloha,piggyback,1,stressed,nominal,100,100,0.115667728785381,0.87990999999994,0.174562962962963,0.541753333333368,2179.68,2639.73,0,0,8,0
n5-stressed-bg0,N5 Stressed bg0,csma-adaptive,CSMA adaptive,csma,adaptive,1,stressed,nominal,100,100,0.0625796992206434,0.343615833333333,0.0868884466556107,0.314644999999973,171.5,1011.4,41.31,41.31,0,0
n5-stressed-bg0,N5 Stressed bg0,csma-piggyback,CSMA piggyback-only,csma,piggyback,1,stressed,nominal,100,100,0.0623148325308472,0.341829999999999,0.0862182421227197,0.31136166666664,176.99,1025.49,0,0,0,0
n5-stressed-bg30,N5 Stressed bg0.30,aloha-adaptive,ALOHA adaptive,aloha,adaptive,1,stressed,nominal,100,100,0.340760624375261,1.10830583333325,0.564188944168049,0.779933333333339,3205.71,3316.74,30.64,30.64,100,0
n5-stressed-bg30,N5 Stressed bg0.30,aloha-piggyback,ALOHA piggyback-only,aloha,piggyback,1,stressed,nominal,100,100,0.339748376048804,1.10707666666658,0.557672968490879,0.780515833333339,3189.22,3321.23,0,0,100,0
n5-stressed-bg30,N5 Stressed bg0.30,csma-adaptive,CSMA adaptive,csma,adaptive,1,stressed,nominal,100,100,0.111234604978752,0.759657499999953,0.164589496959646,0.772053333333342,1789.89,2276.87,4.8,4.81,0,0
n5-stressed-bg30,N5 Stressed bg0.30,csma-piggyback,CSMA piggyback-only,csma,piggyback,1,stressed,nominal,100,100,0.110918155062226,0.756943333333287,0.163768380320619,0.770548333333343,1781.61,2270.83,0,0,0,0
