cell,metric,orientedCsmaEffect,adaptiveMinusPiggyAloha,interaction,metricSupported
n5-moderate-bg0,RMSE,-0.000317345771052297,-0.0085393278210266,-0.0088566735920789,1
n5-moderate-bg0,OFFERED_UTIL,-0.00568749999999999,-0.0361408333333258,-0.0418283333333258,1
n5-moderate-bg30,RMSE,-0.000408280274428737,0.000437957274598232,2.96770001694938e-05,0
n5-moderate-bg30,OFFERED_UTIL,-0.000834166666666665,0.000628333333333195,-0.000205833333333469,0
n5-stressed-bg0,RMSE,-0.000264866689796272,-0.0100651032752697,-0.010329969965066,0
n5-stressed-bg0,OFFERED_UTIL,-0.00178583333333378,-0.00717916666666326,-0.00896499999999704,0
n5-stressed-bg30,RMSE,-0.000316449916525875,0.00101224832645679,0.000695798409930917,0
n5-stressed-bg30,OFFERED_UTIL,-0.00271416666666646,0.00122916666666669,-0.00148499999999977,0
n10-moderate-bg0,RMSE,-0.00125269308943577,0.00223264714214734,0.000979954052711573,0
n10-moderate-bg0,OFFERED_UTIL,-0.0168474999999997,-0.000714166666666796,-0.0175616666666665,0
n10-moderate-bg30,RMSE,0.000435983579024409,0.00519757029821102,0.00563355387723543,0
n10-moderate-bg30,OFFERED_UTIL,-4.24999999999032e-05,-0.00350416666666869,-0.0035466666666686,0
n10-stressed-bg0,RMSE,-0.000593773397514169,-0.00118626528863601,-0.00178003868615018,0
n10-stressed-bg0,OFFERED_UTIL,-0.00432500000000026,0.0038133333333351,-0.000511666666665164,0
n10-stressed-bg30,RMSE,0.000201516207372469,0.00146763717377926,0.00166915338115173,0
n10-stressed-bg30,OFFERED_UTIL,2.58333333332073e-05,-0.000158333333333396,-0.000132500000000189,0
