stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,route,factorMacAloha,factorAdaptive,coreFlag,channelRegime,contextModifier,basePAccess
holdout,16023074,n5-stressed-bg0,N5 Stressed bg0,EXP17 operating envelope,aloha-adaptive,3,0,mac-aware-broadcast,ALOHA adaptive,adaptive,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.117701654217335,0.449097800174897,0,0,9.88157148181691,13.2398286609622,0,1.03636974584556,0.167363184079602,0.580000000000001,0.800000000000001,0.92,0.490281923714759,0.322918739635158,1066,2614,393,225,231,4761,636,4125,1040,231,809,0,0,0,2253,0.793589292004227,0,38,1587,6,2,32,32,0,0,0,0,225,752,8,0.568666666666709,225,13,0,0.498200131999333,0.599904144769727,0,0,0,0,0,0.895083333333274,10.4559999999993,0.285,0.192512000000003,0,0,2.14819999999986,32.75,53,19.25,0.0101916167664672,0.0260000000000003,0.0356493506493508,0.0575000000000002,0.921615896410777,5046,288,0.285176377328577,0.263888888888889,0.289421763039493,0.30619896683886,2.6804614,0,665921564300,21789669779,110997405,0,134739384,adaptive,1,1,1,stressed,nominal,0.2
holdout,16023074,n5-stressed-bg0,N5 Stressed bg0,EXP17 operating envelope,aloha-piggyback,4,0,causal-broadcast,ALOHA piggyback-only,piggyback,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.164572592417367,0.392065510363865,1,0,9.54618828759694,12.9575370687705,0,1.03636303004772,0.239148700939746,0.720000000000001,1.04,1.2,0.713477059148701,0.474328358208955,1115,2823,327,0,161,5177,505,4669,1081,161,920,1,3,0,2434,0.862203329791002,0,53,1761,7,1,32,32,0,0,0,0,0,1081,8,0.549416666666704,0,0,0,0.458438524881952,0.531396929062892,0,0,0,0,0,0.940999999999933,11.2919999999992,0,0.276736000000002,0,0,2.25839999999984,27.25,42.0833333333333,13.4166666666667,0.0103684024087851,0.0250000000000004,0.052385093167702,0.104000000000001,0.955960842161727,5510,0,0.288021778584392,0,0.289421763039493,0.30619896683886,2.4669035,0,665921564300,21789669779,110997405,0,105092099,piggyback,1,0,1,stressed,nominal,0.2
holdout,16023074,n5-stressed-bg30,N5 Stressed bg0.30,EXP17 operating envelope,csma-adaptive,1,0.3,mac-aware-broadcast,CSMA adaptive,adaptive,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0998085092209594,0.466035957746508,0,0,9.95042511592284,13.2133584989116,0,1.03645628300514,0.152316196793809,0.399999999999999,0.540000000000001,0.84,0.470845771144279,0.31852957435047,1128,2238,419,4,219,4093,669,3424,1360,219,1141,0,0,0,1753,0.781891168599465,0,249,1363,32,2,32,32,0,0,0,0,4,1353,202,0.765750000000011,4,2,0,0.757122628460169,0.829442782010955,0,0,0,0,0,0.746583333333288,8.95199999999946,0.007,0.346368,3.57899999999964,1435,1.79179999999989,34.9166666666667,55.75,18.25,0.0188755575379127,0.0470000000000001,0.0601415525114157,0.1231,0.954888363112235,4580,7,0.274454148471616,0,0.289421763039493,0.30619896683886,2.5677849,0,665921564300,21789669779,110997405,0,134953731,adaptive,0,1,1,stressed,nominal,0.2
holdout,16023074,n5-stressed-bg30,N5 Stressed bg0.30,EXP17 operating envelope,csma-piggyback,2,0.3,causal-broadcast,CSMA piggyback-only,piggyback,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0986213574153183,0.467463823415615,0,0,9.95042511592284,13.2133584989116,0,1.03645914421755,0.148778330569375,0.380000000000001,0.539999999999999,0.84,0.472714206744057,0.323935876174682,1127,2235,422,0,225,4096,673,3423,1383,225,1158,0,0,0,1745,0.78076062639821,0,251,1362,32,1,32,32,0,0,0,0,0,1383,208,0.765166666666678,0,0,0,0.75539386919532,0.829486722140651,0,0,0,0,0,0.744999999999955,8.93999999999946,0,0.354048,3.57899999999964,1432,1.78799999999989,35.1666666666667,56.0833333333333,18.75,0.0187436241610739,0.0469999999999997,0.0630266666666668,0.1398,0.957595311071678,4589,0,0.273915885813903,0,0.289421763039493,0.30619896683886,2.5038577,0,665921564300,21789669779,110997405,0,105306340,piggyback,0,0,1,stressed,nominal,0.2
holdout,16023074,n5-stressed-bg30,N5 Stressed bg0.30,EXP17 operating envelope,aloha-adaptive,3,0.3,mac-aware-broadcast,ALOHA adaptive,adaptive,5,ring2,6dof,aloha,0.2,0.2,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.300065180829436,0.240255443521173,1,0,9.95836863739159,13.972200041265,0,1.03671117327729,0.499369817578773,1.4,1.7584,1.98,3.38187949143173,2.88250967385296,1177,3304,118,40,22,5976,189,5787,438,22,416,0,0,0,3187,0.95305023923445,0,64,2192,7,2,32,32,0,0,0,0,40,397,4,0.775250000000009,40,31,0,0.73372013041589,0.818910344771047,0,0,0,0,0,1.10474999999992,13.215999999999,0.041,0.101632000000001,3.57899999999964,2558,2.6513999999998,9.83333333333333,15.75,1.83333333333333,0.0112455143540671,0.0270000000000001,0.0462727272727276,0.074800000000001,0.889144316730524,6182,41,0.286800388223876,0.341463414634146,0.289421763039493,0.30619896683886,2.7571775,0,665921564300,21789669779,110997405,0,134956611,adaptive,1,1,1,stressed,nominal,0.2
holdout,16023074,n5-stressed-bg30,N5 Stressed bg0.30,EXP17 operating envelope,aloha-piggyback,4,0.3,causal-broadcast,ALOHA piggyback-only,piggyback,5,ring2,6dof,aloha,0.2,0.2,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.372223156443559,0.152726244358421,1,0,9.95836863739159,13.972200041265,0,1.03669352394255,0.669817578772803,2.26,3.0984,3.46,3.23658374792703,2.56676616915423,1166,3282,110,0,20,5934,182,5752,479,20,459,0,0,0,3151,0.960085313833029,0,64,2181,7,1,32,32,0,0,0,0,0,479,5,0.766000000000014,0,0,0,0.724085020139469,0.802352839006214,0,0,0,0,0,1.09399999999992,13.127999999999,0,0.122624000000001,3.57899999999964,2511,2.6255999999998,9.16666666666667,15.1666666666667,1.66666666666667,0.0113113954905546,0.0270000000000001,0.0512,0.08805,0.906367041198502,6147,0,0.291036277859118,0,0.289421763039493,0.30619896683886,2.4585537,0,665921564300,21789669779,110997405,0,105309326,piggyback,1,0,1,stressed,nominal,0.2
holdout,16023074,n10-moderate-bg0,N10 Moderate bg0,EXP17 operating envelope,csma-adaptive,1,0,mac-aware-broadcast,CSMA adaptive,adaptive,10,ring2,di,csma,0.1,0.1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0907808632000302,0.510389828411739,0,0,NaN,NaN,NaN,NaN,0.0810992655768774,0.16,0.220000000000001,0.460000000000001,0.148917318171049,0.0678180525941722,1546,1872,1348,89,1674,3969,2684,1281,2483,1674,806,2,4,3,494,0.251912289648139,0,134,463,3,2,32,32,0,0,0,0,89,2294,163,0.554333333333369,89,0,0,0.510091865622631,0.60558199335562,0,0,0,0,0,0.638499999999968,7.48799999999962,0.174,0.587263999999998,0,0,1.53239999999992,112.333333333333,223.666666666667,139.5,0.0186664966853647,0.0510000000000002,0.0590065710872164,0.11635,0.993745830006453,4597,189,0.109854252773548,0.0740740740740741,0.101375604065989,0.100577403766039,3.0405102,0,2585088516939,84931097097,410907084,0,145250176,adaptive,0,1,1,moderate,nominal,0.1
holdout,16023074,n10-moderate-bg0,N10 Moderate bg0,EXP17 operating envelope,csma-piggyback,2,0,causal-broadcast,CSMA piggyback-only,piggyback,10,ring2,di,csma,0.1,0.1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0894052685833549,0.511530949912935,0,0,NaN,NaN,NaN,NaN,0.079004975124378,0.16,0.220000000000001,0.32,0.150940535418147,0.0719355602937694,1531,1799,1352,0,1651,3833,2670,1154,2338,1651,685,3,9,2,404,0.224569205113952,0,119,389,2,1,32,32,0,0,0,0,0,2338,132,0.527416666666695,0,0,0,0.469205826099121,0.525942819187922,0,0,0,0,0,0.599666666666638,7.19599999999965,0,0.598527999999998,0,0,1.43919999999993,112.666666666667,222.5,137.583333333333,0.0175992217898834,0.0490999999999999,0.0565505754088432,0.1155,0.994896803971088,4450,0,0.104719101123596,0,0.101375604065989,0.100577403766039,2.7447183,0,2585088516939,84931097097,410907084,0,115602785,piggyback,0,0,1,moderate,nominal,0.1
holdout,16023074,n10-moderate-bg0,N10 Moderate bg0,EXP17 operating envelope,aloha-adaptive,3,0,mac-aware-broadcast,ALOHA adaptive,adaptive,10,ring2,di,aloha,0.1,0.1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.444131470246006,0.186750226938324,1,0,NaN,NaN,NaN,NaN,0.522369106846719,1.56,2.04,2.78,3.38019900497512,2.85782989812841,1971,5261,226,6,60,11142,450,10692,1208,60,1148,0,0,0,5031,0.955192709322195,0,268,3559,21,2,32,32,0,0,0,0,6,1202,73,0.8475833333333,6,126,0,0.846615458041053,0.883273457319378,0,0,0,0,0,1.7541666666667,21.0440000000004,0.006,0.307712,0,0,4.21000000000007,18.8333333333333,37.5,5,0.0193745965445226,0.0460000000000012,0.0613333333333335,0.12535,0.949368029739777,11478,6,0.106725910437358,0.166666666666667,0.101375604065989,0.100577403766039,3.4774823,0,2585088516939,84931097097,410907084,0,145253056,adaptive,1,1,1,moderate,nominal,0.1
holdout,16023074,n10-moderate-bg0,N10 Moderate bg0,EXP17 operating envelope,aloha-piggyback,4,0,causal-broadcast,ALOHA piggyback-only,piggyback,10,ring2,di,aloha,0.1,0.1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.413734205833555,0.230367858368862,1,0,NaN,NaN,NaN,NaN,0.423060886045961,1.04,2.22,2.64,2.64732527837005,2.2242643923241,2005,5323,242,0,71,11226,488,10734,1286,71,1215,2,4,0,5074,0.953221867368025,0,267,3587,32,1,32,32,0,0,0,0,0,1286,87,0.848666666666633,0,0,0,0.847081648735906,0.910574180955645,0,0,0,0,0,1.77433333333337,21.2920000000004,0,0.329216,0,0,4.25840000000009,20.1666666666667,40.6666666666667,5.91666666666667,0.019592335149352,0.0460000000000012,0.0531408450704226,0.1065,0.970888594164456,11572,0,0.103525751814725,0,0.101375604065989,0.100577403766039,3.344071,0,2585088516939,84931097097,410907084,0,115605771,piggyback,1,0,1,moderate,nominal,0.1
