seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,RECONFIGURATION_TARGET_CLIENT,RECONFIGURATION_TARGET_SLOT,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,DISCOVERY_STATUS_ATTEMPTS,REQUEST_STATUS_ATTEMPTS,GRANT_WITHOUT_DECODED_REQUEST,CONTROL_ATTEMPT_BOUND,CONTROL_BOUND_RATIO,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,MAX_FALLBACK_ATTEMPTS_PER_NODE_FRAME,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16050091,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113216459219,113216459219,1757145,3859792,504027300,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,455,930,176,279,0,1409,0.982966643009226,930,1385,12465,12465,0,0,3955,5,10295,10295,0,0,10,10,0,0,0,0,1,0.455055819211458,0.292758866275958,1,0,0
16050091,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113216459219,113216459219,2413015,3859792,504027300,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,455,930,176,279,0,1409,0.982966643009226,930,1385,12465,12465,0,0,3955,5,10295,9790,505,0,10,9,1,0,0,0,1,0.455055819211458,0.292758866275958,1,0,0
16050091,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113216459219,113216459219,2081511,3844080,501583499,NaN,NaN,NaN,NaN,NaN,3,3,1,1,28,0.95925,0,0,0,0,NaN,NaN,NaN,0,518,903,167,351,0,1409,1.00851667849539,1135,1421,12789,12120,669,0,3837,25,10011,10011,0,0,55,49,0,6,0,4,1,0.446205129324044,0.290700566302141,1,0,0
16050091,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113216459219,113216459219,1746229,707182,382845946,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,0,68,31,37,31,0,1409,0.0702625975869411,31,99,351,351,0,0,799,586,2798,2798,0,0,1284,1140,0,144,0,104,1,0.145933468143652,0.12905540835835,1,0,0
16050091,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113216459219,74461071920,1855086,4228537,501371854,1,2,421,0,0,3,3,0,1,NaN,0.889,0,0,0,0,NaN,NaN,NaN,0,806,1050,159,647,0,1409,1.31724627395316,1298,1856,16704,16305,399,0,3556,64,9497,9497,0,0,128,128,0,0,0,0,1,0.436222374451029,0.314679760997113,1,0,0
16050091,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113216459219,113216459219,1757564,3860184,504021139,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98825,0,0,0,0,NaN,NaN,2,0,455,915,175,280,0,1409,0.972320794889993,931,1370,12330,12330,0,0,3953,5,10291,10291,0,0,10,10,0,0,0,0,1,0.454335414220622,0.292244291282504,1,0,0
16050091,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113216459219,113216459219,1757567,3863632,503321724,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.92975,0,0,0,0,222,221,NaN,5,619,1035,156,463,0,1409,1.17388218594748,1479,1654,14886,14886,0,0,3719,47,9717,9717,0,0,112,102,0,10,0,6,1,0.444318354348045,0.298281971205702,1,0,0
16050092,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30366085360,30366085360,1062327,491114,176806773,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,213,310,89,124,0,534,0.97940074906367,310,523,2092,2092,0,0,1990,3,4777,4777,0,0,7,7,0,0,0,0,1,0.406728830104567,0.406728830104567,1,0,0
16050092,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30366085360,30366085360,1718197,491114,176806773,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,213,310,89,124,0,534,0.97940074906367,310,523,2092,2092,0,0,1990,3,4777,4513,264,0,7,7,0,0,0,0,1,0.406728830104567,0.406728830104567,1,0,0
16050092,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30366085360,30366085360,1386693,495650,176871119,NaN,NaN,NaN,NaN,NaN,3,3,1,1,17,0.989,0,0,0,0,NaN,NaN,NaN,0,231,287,83,148,0,534,0.970037453183521,358,518,2072,1974,98,0,1978,7,4753,4753,0,0,15,15,0,0,0,0,1,0.404914751963529,0.404914751963529,1,0,0
16050092,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30366085360,30366085360,1061873,574609,137611490,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,0,68,31,37,31,0,534,0.185393258426966,31,99,249,249,0,0,799,413,1998,1998,0,0,856,764,0,92,0,92,1,0.23364075368203,0.219753672740287,1,0,0
16050092,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30366085360,20650690777,1160268,985485,175440741,1,2,421,0,0,3,3,0,1,NaN,0.7955,0,0,0,0,NaN,NaN,NaN,0,564,585,72,492,0,534,2.15168539325843,678,1149,4596,4197,399,0,1591,142,3979,3979,0,0,285,285,0,0,0,0,1,0.397095449631466,0.397095449631466,1,0,0
