repetitionsPerHop,feasible,bestTimeSec,prepareAttempts,claimAttempts,evidencePrefixAttempts,responseSuffixAttempts,commitAttempts,maxFrames,transactionFailureUpperBound,maximumEndpointErasureProbability,endpointEntryCount,endpointModelHash,endpointCacheReplayExact,prepareBundleDurationSec,quiescentBundleDurationSec,evidenceBundleDurationSec,responseBundleDurationSec,commitBundleDurationSec,dataRoundDurationSec,transactionCertificateHash
1,0,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5904,57,56815447,1,0.0177444640185607,0.0220086960278411,0.145715248129925,0.069953856074243,0.0151844640185607,0.0895817400696028,NaN
2,1,6.95350727437097,5,10,5,5,6,23,0.000998783075906256,0.15065344,57,58408559,1,0.0354889280371215,0.0440173920556822,0.29143049625985,0.139907712148486,0.0303689280371215,0.0895817400696028,73140828
3,1,5.63062685323413,3,6,3,3,3,14,0.000615525205148079,0.031618043904,57,60985680,1,0.0532333920556822,0.0660260880835233,0.437145744389776,0.209861568222729,0.0455533920556822,0.0895817400696028,78139173
4,1,5.03461844073763,3,4,2,2,2,11,0.000909554397431636,0.00638465637744656,57,58040433,1,0.070977856074243,0.0880347841113645,0.582860992519701,0.279815424296972,0.060737856074243,0.0895817400696028,78681125
5,1,5.75857572542902,2,4,2,2,2,10,4.2262440535508e-05,0.00127938573106146,57,58794684,1,0.0887223200928037,0.110043480139206,0.728576240649626,0.349769280371215,0.0759223200928037,0.0895817400696028,74354134
6,1,6.73112739037561,2,4,2,2,2,10,1.69141785491272e-06,0.000255975425048405,57,56960864,1,0.106466784111364,0.132052176167047,0.874291488779551,0.419723136445458,0.0911067841113645,0.0895817400696028,70186885
7,1,6.10441358582343,2,3,2,1,2,9,0.000473650297305766,5.11990169684839e-05,57,55853473,1,0.124211248129925,0.154060872194888,1.02000673690948,0.489676992519701,0.106291248129925,0.0895817400696028,74281713
