armId,methodFamily,method,parameterName,parameterValue,seedCount,failedRuns,formationRMSE_m,dataCost_HzPerChannel,costC2_HzPerChannel,feedbackEligibleCount,feedbackEligibleRate_HzPerChannel,scenarioId,periodicMatchedCost_HzPerChannel,etaCritical,allowableFeedbackFractionRawAt025,allowableFeedbackFractionClippedAt025,eligibility,economicClass
O1L09,Centralized state oracle,centralized_state_oracle,lambda,0.003,5,0,0.204761303397339,6.14363636363636,6.80522727272727,582.2,2.64636363636364,S3,6.93237592895621,0.298046555084793,1.19218622033917,1,ELIGIBLE,FULL_FEEDBACK_AFFORDABLE
O1L10,Centralized state oracle,centralized_state_oracle,lambda,0.01,5,0,0.289079953788977,3.53181818181818,3.86454545454545,292.8,1.33090909090909,S3,3.5934004511481,0.0462708307806747,0.185083323122699,0.185083323122699,ELIGIBLE,PRICE_025_UNAFFORDABLE
O1L11,Centralized state oracle,centralized_state_oracle,lambda,0.03,5,0,0.445679956578326,2.01727272727273,2.19727272727273,158.4,0.72,S3,1.81860462266614,-0.275927923064711,-1.10371169225884,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,5,0,0.739528747483276,0.889090909090909,0.971590909090909,72.6,0.33,S3,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,5,0,1.1519868886214,0.258181818181818,0.283636363636363,22.4,0.101818181818182,S3,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,5,0,1.73353467325831,0.0454545454545455,0.05,4,0.0181818181818182,S3,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L01,Centralized state oracle,centralized_state_oracle,lambda,0,5,0,0.129266726326101,20.6309090909091,24.3081818181818,3236,14.7090909090909,S4,8.66247709928436,-0.813675846154956,-3.25470338461982,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L02,Centralized state oracle,centralized_state_oracle,lambda,1e-06,5,0,0.129266726326101,20.6309090909091,24.3081818181818,3236,14.7090909090909,S4,8.66247709928436,-0.813675846154956,-3.25470338461982,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L03,Centralized state oracle,centralized_state_oracle,lambda,3e-06,5,0,0.129266726326101,20.6309090909091,24.3081818181818,3236,14.7090909090909,S4,8.66247709928436,-0.813675846154956,-3.25470338461982,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L04,Centralized state oracle,centralized_state_oracle,lambda,1e-05,5,0,0.129350660176882,20.6245454545454,24.3018181818182,3236,14.7090909090909,S4,8.65116823597384,-0.814012048234163,-3.25604819293665,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L05,Centralized state oracle,centralized_state_oracle,lambda,3e-05,5,0,0.128935621875214,20.6345454545455,24.3154545454545,3239.2,14.7236363636364,S4,8.7070885991945,-0.810089067725738,-3.24035627090295,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L06,Centralized state oracle,centralized_state_oracle,lambda,0.0001,5,0,0.130853149855729,18.0490909090909,21.2863636363636,2848.8,12.9490909090909,S4,8.448729645996,-0.741392683895282,-2.96557073558113,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
