scenarioId,pointCount,eligiblePointCount,outsideDomainCount,etaMedian,etaQ25,etaQ75,etaMinimum,etaMaximum,rawFractionMedianAt025,rawFractionQ25At025,rawFractionQ75At025,fractionPositiveHeadroom,fractionFullFeedbackAffordable,etaFrozen
S2,14,4,10,0.726044553131774,0.556274992505039,2.18614395341683,0.529096884810827,3.50365190076937,2.9041782125271,2.22509997002016,8.74457581366734,1,1,0.25
S3,14,11,3,0.219766836864922,0.185799878295372,0.248621636499948,-0.275927923064711,0.447321717696436,0.87906734745969,0.743199513181489,0.994486545999792,0.909090909090909,0.272727272727273,0.25
S4,14,11,3,-0.741392683895282,-0.813675846154956,-0.173303351057509,-0.814012048234163,-0.0730768066816377,-2.96557073558113,-3.25470338461982,-0.693213404230037,0,0,0.25
S5,14,11,3,-0.0474131266415241,-0.0704222119893397,0.17270336531669,-0.0748945928317769,0.387060006864259,-0.189652506566096,-0.281688847957359,0.690813461266761,0.272727272727273,0.0909090909090909,0.25
S6,14,11,3,0.0946101852289331,0.0317252862915614,0.366576221937032,0.0285550586137004,0.403407991415462,0.378440740915732,0.126901145166246,1.46630488774813,1,0.363636363636364,0.25
