seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition,speedScale,accelerationScale,managementRadius
16075006,5,2,0.02,0.02,35771588,10559716,2450,6247224,2,4,0,1,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075006,5,3,0.3,0.1,35771588,12273401,2450,4497146,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075006,10,1,0.02,0.02,73085936,11756113,40685,6615066,6.8,6,4,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075006,10,2,0.02,0.02,73085936,26019999,36495,4729690,1,3,4,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075006,10,3,0.3,0.1,73085936,25436787,36495,6516048,0.5,2,5,3,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075007,5,1,0.02,0.02,35130630,4067126,2730,5048183,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075007,5,2,0.02,0.02,35130630,12246092,2484,6389426,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075007,5,3,0.3,0.1,35130630,13959777,2484,5705295,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075007,10,1,0.02,0.02,66888274,11943665,40685,4295119,6.8,6,5,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075007,10,2,0.02,0.02,66888274,27075084,36771,4732419,1,3,5,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075007,10,3,0.3,0.1,66888274,26491872,36771,5084810,0.25,1,7,3,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075008,5,1,0.02,0.02,34018118,4987821,2730,4924172,6.8,6,2,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075008,5,2,0.02,0.02,34018118,13422044,2506,5854877,2,4,2,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075008,5,3,0.3,0.1,34018118,15135729,2506,6233443,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075008,10,1,0.02,0.02,73141038,11866317,40685,5027327,6.8,6,4,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075008,10,2,0.02,0.02,73141038,28447662,36429,6816245,0.5,2,4,3,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075008,10,3,0.3,0.1,73141038,27864450,36429,5489225,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075009,5,1,0.02,0.02,37236402,4084378,2730,4933855,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075009,5,2,0.02,0.02,37236402,12884406,2490,5173846,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075009,5,3,0.3,0.1,37236402,14598091,2490,4476943,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075009,10,1,0.02,0.02,70784523,11347579,40685,5117049,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075009,10,2,0.02,0.02,70784523,24203779,36164,4966799,0.25,1,1,2,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075009,10,3,0.3,0.1,70784523,23620567,36164,4137430,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075010,5,1,0.02,0.02,34322661,4548334,2730,4025819,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075010,5,2,0.02,0.02,34322661,14094326,2478,5767909,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075010,5,3,0.3,0.1,34322661,15808011,2478,4626374,0.25,1,1,2,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075010,10,1,0.02,0.02,68579018,12179434,40685,5005199,6.8,6,4,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075010,10,2,0.02,0.02,68579018,28458385,36499,6060747,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075010,10,3,0.3,0.1,68579018,27875173,36499,5975060,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075011,5,1,0.02,0.02,32796418,4641567,2730,5326549,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
