seed,packetLoss,RMSE,MAXERR,MINSEP,MINSEPEVAL,PDR,AOI
1,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
2,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
3,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
4,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
5,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
6,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
7,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
8,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
9,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
10,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
11,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
12,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
13,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
14,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
15,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
16,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
17,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
18,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
19,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
20,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914623
1,0.1,0.0416832540887796,0.0561529640888449,0.26716061675208,0.545772451569534,0.896179401993355,0.0621571298819255
2,0.1,0.0401700108125297,0.0548407276511408,0.267592885210243,0.545839996659769,0.905869324473976,0.0597048138056312
3,0.1,0.0406204313878593,0.0539964592257979,0.265678985952902,0.547688111584661,0.897286821705426,0.0610974871329095
4,0.1,0.0401274682481904,0.0534548948870832,0.265757767332832,0.548645309701931,0.907530454042082,0.0601513775355737
5,0.1,0.0405780875000282,0.0550001663320243,0.266094195991923,0.54717577992022,0.901439645625692,0.0610596427490161
6,0.1,0.0413460621722221,0.0566996487476784,0.259417835707085,0.544829953285562,0.896456256921373,0.0609839539812292
7,0.1,0.0410494102525175,0.0553544557436371,0.268519559514477,0.547449562909821,0.898671096345515,0.0609763851044505
8,0.1,0.0405326772386215,0.0535638492913018,0.27301593506415,0.548953009893259,0.907530454042082,0.0601892219194671
9,0.1,0.0412180276356937,0.0571637213746515,0.265019578085944,0.544920117049548,0.89562569213732,0.061808961550106
10,0.1,0.0403458504186457,0.0565063336122899,0.266137013092688,0.549616901184781,0.900055370985604,0.0608023009385407
11,0.1,0.0415038056596855,0.0564747992518693,0.264993675705837,0.546519058323523,0.898394241417497,0.0613926733272782
