formationErrorTarget,communicationCostA,communicationCostB,costDifferenceAminusB,relativeAdvantageO1,meaningfulO1Advantage,scenarioId
0.165470790312474,8.86443375785911,50,-41.1355662421409,0.822711324842818,1,S2
0.16780637422344,7.41642114495085,27.7984219636474,-20.3820008186966,0.733207116769094,1,S2
0.170141958134406,7.06724514085577,19.4443952516443,-12.3771501107885,0.63654075894913,1,S2
0.172477542045372,6.71806913676069,15.0706555175675,-8.35258638080678,0.55422847208407,1,S2
0.174813125956338,6.36889313266562,12.3718949625656,-6.00300182989999,0.485212802732616,1,S2
0.177148709867304,6.01971712857054,10.9949937027458,-4.9752765741753,0.452503812979247,1,S2
0.17948429377827,5.67054112447546,9.82327450179749,-4.15273337732203,0.422744307568943,1,S2
0.181819877689236,5.32136512038038,9.18612146146052,-3.86475634108014,0.420716877878695,1,S2
0.184155461600202,4.9721891162853,8.54896842112356,-3.57677930483826,0.418387240266373,1,S2
0.186491045511168,4.62301311219022,7.9118153807866,-3.28880226859638,0.415682382653044,1,S2
0.188826629422135,4.27383710809514,7.27466234044963,-3.00082523235449,0.412503713838217,1,S2
0.191162213333101,3.92880132845432,6.63750930011267,-2.70870797165835,0.408091024687885,1,S2
0.193497797244067,3.85040546898303,6.14419151850638,-2.29378604952335,0.373325935985953,1,S2
0.195833381155033,3.77200960951175,5.88094999759959,-2.10894038808784,0.358605393507621,1,S2
0.198168965065999,3.69361375004046,5.61770847669279,-1.92409472665233,0.342505264314653,1,S2
0.200504548976965,3.61521789056917,5.354466955786,-1.73924906521683,0.324822074648795,1,S2
0.202840132887931,3.53682203109788,5.0912254348792,-1.55440340378132,0.3053102683555,1,S2
0.205175716798897,3.4584261716266,4.90620125928025,-1.44777508765365,0.295090847509596,1,S2
0.207511300709863,3.38003031215531,4.76265815388575,-1.38262784173044,0.290305916791946,1,S2
0.209846884620829,3.30163445268402,4.61911504849124,-1.31748059580722,0.28522359412493,1,S2
0.212182468531795,3.22323859321274,4.47557194309674,-1.25233334988401,0.279815265134022,1,S2
0.214518052442762,3.14484273374145,4.33202883770224,-1.18718610396079,0.274048522860362,1,S2
0.216853636353728,3.06644687427016,4.18848573230774,-1.12203885803758,0.267886517884678,1,S2
0.219189220264694,2.98805101479887,4.04494262691323,-1.05689161211436,0.261287170078081,1,S2
0.22152480417566,2.90965515532759,3.90139952151873,-0.991744366191143,0.254202206341861,1,S2
0.223860388086626,2.8312592958563,3.75785641612423,-0.926597120267928,0.246575977808008,1,S2
0.226195971997592,2.75286343638501,3.61431331072973,-0.861449874344712,0.238343995189168,1,S2
0.228531555908558,2.67446757691373,3.47077020533522,-0.796302628421496,0.229431100681177,1,S2
0.230867139819524,2.59607171744244,3.3320895877795,-0.736017870337066,0.220887779559236,1,S2
0.23320272373049,2.51767585797115,3.2733816360362,-0.755705778065046,0.230863938914298,1,S2
0.235538307641456,2.43927999849986,3.21467368429289,-0.775393685793025,0.241204477325848,1,S2
0.237873891552422,2.36088413902858,3.15596573254958,-0.795081593521005,0.251929729566072,1,S2
0.240209475463389,2.28248827955729,3.09725778080627,-0.814769501248985,0.263061572174624,1,S2
0.242545059374355,2.204092420086,3.03854982906297,-0.834457408976964,0.27462357240141,1,S2
0.244880643285321,2.12569656061472,2.97984187731966,-0.854145316704944,0.286641154755916,1,S2
0.247216227196287,2.04730070114343,2.92113392557635,-0.873833224432924,0.299141787640056,1,S2
0.249551811107253,1.96890484167214,2.86242597383304,-0.893521132160904,0.312155192947889,1,S2
0.251887395018219,1.92103928585529,2.80371802208974,-0.882678736234449,0.314824361537095,1,S2
