communicationBudget,formationErrorA,formationErrorB,errorDifferenceAminusB,relativeAdvantageO1,meaningfulO1Advantage,scenarioId
1.24818181818182,0.340232223048194,0.399029181409083,-0.0587969583608889,0.147350021252232,1,S2
1.34474545454545,0.32755361240872,0.385503709802652,-0.0579500973939326,0.15032306024655,1,S2
1.44130909090909,0.314875001769246,0.371978238196222,-0.0571032364269764,0.153512304117248,1,S2
1.53787272727273,0.302196391129771,0.358452766589792,-0.0562563754600201,0.156942226991929,1,S2
1.63443636363636,0.289517780490297,0.344927294983361,-0.0554095144930639,0.160641141767968,1,S2
1.731,0.276839169850823,0.331401823376931,-0.0545626535261076,0.164641983469261,1,S2
1.82756363636364,0.264160559211349,0.3178763517705,-0.0537157925591513,0.168983292591494,1,S2
1.92412727272727,0.251481948571875,0.30435088016407,-0.052868931592195,0.173710460648888,1,S2
2.02069090909091,0.248008991031152,0.292492296153222,-0.0444833051220701,0.15208368120153,1,S2
2.11725454545455,0.245132149358692,0.286746121576792,-0.0416139722180992,0.145124795373927,1,S2
2.21381818181818,0.242255307686233,0.280999947000361,-0.0387446393141283,0.137881304703871,1,S2
2.31038181818182,0.239378466013773,0.275253772423931,-0.0358753064101573,0.130335385031178,1,S2
2.40694545454545,0.236501624341314,0.2695075978475,-0.0330059735061865,0.122467692079178,1,S2
2.50350909090909,0.233624782668854,0.263830634882209,-0.0302058522133547,0.114489555872996,1,S2
2.60007272727273,0.230747940996394,0.259989034744949,-0.0292410937485552,0.112470488523644,1,S2
2.69663636363636,0.227871099323935,0.25614743460769,-0.0282763352837558,0.110390858792176,1,S2
2.7932,0.224994257651475,0.252305834470431,-0.0273115768189564,0.108247900316222,1,S2
2.88976363636364,0.222117415979015,0.248464234333172,-0.026346818354157,0.106038675646282,1,S2
2.98632727272727,0.219240574306556,0.244622634195913,-0.0253820598893575,0.103760062811807,1,S2
3.08289090909091,0.216363732634096,0.240781034058654,-0.0244173014245581,0.101408740601264,1,S2
3.17945454545455,0.213486890961636,0.236939433921395,-0.0234525429597587,0.0989811724102419,1,S2
3.27601818181818,0.210610049289177,0.233097833784136,-0.0224877844949593,0.0964735884923943,1,S2
3.37258181818182,0.207733207616717,0.230129175081203,-0.0223959674644856,0.097319114173955,1,S2
3.46914545454545,0.204856365944257,0.228557992161233,-0.0237016262169754,0.103700710672394,1,S2
3.56570909090909,0.201979524271798,0.226986809241263,-0.0250072849694651,0.110170652880912,1,S2
3.66227272727273,0.199102682599338,0.225415626321293,-0.0263129437219547,0.11673078815064,1,S2
3.75883636363636,0.196225840926878,0.223844443401323,-0.0276186024744444,0.123383015699559,1,S2
3.8554,0.193348999254419,0.222273260481353,-0.0289242612269341,0.130129288445655,1,S2
3.95196363636364,0.190979590946198,0.220702077561383,-0.0297224866151851,0.134672436904988,1,S2
4.04852727272727,0.190333691821315,0.219130894641413,-0.0287972028200985,0.131415530736651,1,S2
4.14509090909091,0.189687792696431,0.217559711721443,-0.0278719190250119,0.128111582813174,1,S2
4.24165454545455,0.189041893571548,0.215988528801473,-0.0269466352299254,0.124759566535561,1,S2
4.33821818181818,0.188395994446664,0.214417345881503,-0.0260213514348388,0.121358425214439,1,S2
4.43478181818182,0.187750095321781,0.212846162961533,-0.0250960676397522,0.11790707095945,1,S2
4.53134545454545,0.187104196196898,0.211274980041563,-0.0241707838446657,0.114404383519102,1,S2
4.62790909090909,0.186458297072014,0.209703797121593,-0.0232455000495791,0.110849209068449,1,S2
4.72447272727273,0.185812397947131,0.208132614201623,-0.0223202162544925,0.107240358941873,1,S2
4.82103636363636,0.185166498822247,0.206561431281653,-0.021394932459406,0.103576608308031,1,S2
4.9176,0.184520599697364,0.204990248361683,-0.0204696486643194,0.0998566947838559,1,S2
5.01416363636364,0.183874700572481,0.203523855942497,-0.0196491553700167,0.096544728277791,1,S2
5.11072727272727,0.183228801447597,0.202667104793597,-0.0194383033459993,0.0959124736389556,1,S2
5.20729090909091,0.182582902322714,0.201810353644696,-0.0192274513219819,0.0952748507434531,1,S2
5.30385454545454,0.18193700319783,0.200953602495795,-0.0190165992979645,0.0946317909297614,1,S2
5.40041818181818,0.181291104072947,0.200096851346894,-0.018805747273947,0.0939832243604114,1,S2
5.49698181818182,0.180645204948064,0.199240100197993,-0.0185948952499296,0.0933290799967029,1,S2
5.59354545454545,0.17999930582318,0.198383349049093,-0.0183840432259122,0.0926692855727668,1,S2
5.69010909090909,0.179353406698297,0.197526597900192,-0.0181731912018949,0.0920037675689509,1,S2
5.78667272727273,0.178707507573414,0.196669846751291,-0.0179623391778775,0.0913324511845106,1,S2
5.88323636363636,0.17806160844853,0.19581309560239,-0.01775148715386,0.0906552603095835,1,S2
5.9798,0.177415709323647,0.194956344453489,-0.0175406351298426,0.0899721174964239,1,S2
6.07636363636364,0.176769810198763,0.194099593304589,-0.0173297831058252,0.0892829439298755,1,S2
6.17292727272727,0.17612391107388,0.193242842155688,-0.0171189310818078,0.0885876593970596,1,S2
6.26949090909091,0.175478011948997,0.192511242182677,-0.0170332302336807,0.0884791456361679,1,S2
6.36605454545454,0.174832112824113,0.192157273102727,-0.0173251602786143,0.0901613558460118,1,S2
6.46261818181818,0.17418621369923,0.191803304022778,-0.0176170903235479,0.0918497750250211,1,S2
6.55918181818182,0.173540314574346,0.191449334942828,-0.0179090203684814,0.09354443761233,1,S2
6.65574545454545,0.172894415449463,0.191095365862878,-0.018200950413415,0.0952453783022412,1,S2
6.75230909090909,0.17224851632458,0.190741396782928,-0.0184928804583487,0.0969526320465941,1,S2
6.84887272727273,0.171602617199696,0.190387427702979,-0.0187848105032822,0.0986662340571575,1,S2
6.94543636363636,0.170956718074813,0.190033458623029,-0.0190767405482158,0.100386219808053,1,S2
7.042,0.170310818949929,0.189679489543079,-0.0193686705931494,0.102112625038199,1,S2
7.13856363636364,0.169664919825046,0.189325520463129,-0.019660600638083,0.103845485753791,1,S2
7.23512727272727,0.169019020700163,0.188971551383179,-0.0199525306830166,0.105584838230801,1,S2
7.33169090909091,0.168373121575279,0.18861758230323,-0.0202444607279502,0.107330719017511,1,S2
7.42825454545454,0.167755400974743,0.18826361322328,-0.020508212248537,0.108933489044505,1,S2
7.52481818181818,0.167601791793299,0.18790964414333,-0.0203078523500309,0.108072432591809,1,S2
7.62138181818182,0.167448182611855,0.18755567506338,-0.0201074924515247,0.107208126039001,1,S2
7.71794545454545,0.167294573430412,0.18720170598343,-0.0199071325530186,0.10634055094979,1,S2
7.81450909090909,0.167140964248968,0.186847736903481,-0.0197067726545124,0.105469688748183,1,S2
7.91107272727273,0.166987355067524,0.186493767823531,-0.0195064127560063,0.104595520717154,1,S2
8.00763636363636,0.166833745886081,0.186139798743581,-0.0193060528575001,0.103718027997309,1,S2
