scenarioId,scenario,periodicFrontierPoints,oracleFrontierPoints,budgetOverlapLow,budgetOverlapHigh,performanceOverlapLow,performanceOverlapHigh,budgetMeanDifference,budgetMedianDifference,budgetFractionFavoringO1,budgetMaximumAdvantage,budgetMaximumDisadvantage,budgetCrossings,budgetLongestFavoringRun,budgetLongestMeaningfulRun,performanceMeanDifference,performanceMedianDifference,performanceFractionFavoringO1,performanceMaximumAdvantage,performanceMaximumDisadvantage,performanceCrossings,performanceLongestFavoringRun,performanceLongestMeaningfulRun,convincing,marginalOrNarrow,scenarioClassification
S2,Formation-switching,11,8,1.24818181818182,10.9045454545455,0.165470790312474,0.399029181409083,-0.0238099480796249,-0.0193686705931494,1,0.0587969583608889,0,0,101,101,-1.70876416311769,-0.503021657929494,1,41.1355662421409,0,0,101,101,1,0,CONVINCING
S6,Dynamic-excitation,11,9,1.24818181818182,12.2272727272727,0.101890604137895,0.393889023503573,-0.0145951492334868,-0.0108709993641833,1,0.0546204194820166,0,0,101,98,-0.569591074326538,-0.401520774162472,1,1.91279624818646,0,0,101,101,1,0,CONVINCING
