contrast,nPairs,meanDeltaMissionRmse,minimumDeltaMissionRmse,maximumDeltaMissionRmse,meanDeltaTotalCost
response_no_emergency_minus_protected,50,0.227599077143933,0.184728333757101,0.257714863421992,-0.0333999542857139
normal_closure_minus_periodic,50,0.0381419123194973,0.0292286458305553,0.0473474307925051,-0.103225173333332
