arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,kernelVersionHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,reliabilityCertificateHash,transactionHorizonFeasible,transactionFailureUpperBound,completionProbabilityLowerBound,prepareFailureUpperBound,evidenceFailureUpperBound,responseFailureUpperBound,commitFailureUpperBound,kernelActualSubsetOld,kernelActualSubsetUnion,kernelFinalColoringProper,prematureActivationFrames,controlAttemptBoundRatio,controlByteBoundRatio,prepareAttempts,quietAttempts,claimAttempts,responseAttempts,commitAttempts,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,maxCommandPairRadialContraction,maxLeaderPairRadialContraction,maxOtherPairRadialContraction,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,observedControlBytes,expectedControlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
closure-commit-blackout-emergency,closure,commit-blackout,16094406,667117,15378537,15378537,0,1550199,610566,18713656943,52697982,46949,657020011,139615078,139615078,1,1,3,1,4,1,1,48,56,1,1,1,22,1,0,1,3,0,1,4.51491969950798,0.514919699507979,1,1.1342933068205,0,1.1342933068205,0,13418,0.806231368846495,1,0.185183612153465,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.407185628742515,0.33800554825522,2,4,16,18,6,0.123893092130222,0.226887414118234,0.124772263750255,0.0824507725433818,0.185433214834694,0.0628590616018365,1,1,326,1,1,1,94,94,7,29,158,30,0,0,0,0,0,0,0,1002,1002,246,246,136,136,4630,4630,4630,0.14816,0.14816,1,8.88178419700125e-16,0,0,0.141122648750917,0.142394359500363,1.02528763281485,0,0,1.47455999999999,0.14816,0.154544761904761
periodic-iid20,periodic,none,16094407,1807151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.110767793800016,0.111317340880817,1.06705475982122,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094407,1807151,13582797,13582797,0,1252729,610566,18751521956,52053984,46949,656719601,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,1.17866965379673,0,1.17866965379673,0,13418,0.935834885523983,1,0.192303677646606,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.42814371257485,0.370127025843189,2,3,20,26,2,0.123572829048403,0.21686048113844,0.12965366191764,0.111896277460388,0.215242023670516,0.0894554724104664,1,1,326,1,1,1,32,32,8,8,50,14,0,0,0,0,0,0,0,1001,1001,247,247,143,143,5070,5070,5070,0.16224,0.16224,1,1.11022302462516e-16,0,0,0.154414313216585,0.157020152400779,1.01620711797141,0,0,1.47455999999999,0.16224,0.155885714285713
closure-response-blackout-emergency,closure,response-blackout,16094407,1807151,13582797,13582797,0,1252729,610566,18504125464,50453431,46949,656290673,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,1.19872158485434,0,1.19872158485434,0,13418,0.923660091903445,1,0.198717108830684,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.907185628742515,0.929770769455395,2,3,60,148,0,0.12645123980498,0.214690585558922,0.131859374333978,0.112350700369213,0.212441821137792,0.093289581907628,1,1,326,1,1,1,115,115,28,29,174,56,0,0,0,0,0,0,0,992,992,256,256,303,303,12736,12736,12736,0.407552,0.407552,1,8.88178419700125e-16,0,0,0.154424303410406,0.157030880525892,1.02520555016668,0,0,1.47455999999999,0.407552,0.179248761904761
closure-response-blackout-no-emergency,closure,response-blackout,16094407,1807151,13582797,13582797,0,1252729,610566,18504125464,50453431,46949,430865464,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.76884992010465,0,7.76884992010465,0,13418,7.03070163400839,0,-0.107700533988735,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.907185628742515,0.929770769455395,2,3,60,148,0,0.489249566614282,0.870258579129203,0.854573491211512,0.292592046497181,0.416917355642881,0.773377179740923,0,0,326,0,0,1,115,0,0,0,0,0,0,0,0,0,0,0,0,818,818,200,200,303,303,12736,12736,12736,0.407552,0.407552,1,8.88178419700125e-16,0,0,0.365004733327455,0.377475699876614,0.769456918875066,0,0,1.12127999999999,0.407552,0.145603047619047
closure-prepare-blackout-emergency,closure,prepare-blackout,16094407,1807151,13582797,13582797,0,1252729,610566,18724510537,49664386,46949,656075671,139580878,139580878,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.16382174639699,0,1.16382174639699,0,14018,0.92371368213597,1,0.146244924272697,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.0269461077844311,0.0280332895313184,7,2,0,0,0,0.122983325517002,0.214864080318006,0.128020392103668,0.0990984105784189,0.212454146891273,0.0877544990156025,1,1,326,1,1,1,87,87,0,29,131,43,0,0,0,0,0,0,0,997,997,251,251,9,9,384,384,384,0.012288,0.012288,1,1.11022302462516e-16,0,0,0.15109909835109,0.164638910918342,1.05836284115412,0,0,1.47455999999999,0.012288,0.14160457142857
closure-commit-blackout-emergency,closure,commit-blackout,16094407,1807151,13582797,13582797,0,1252729,610566,18679739733,52582769,46949,656190030,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,1,0,1,3,0,1,4.51491969950798,0.514919699507979,1,1.19162840816361,0,1.19162840816361,0,13418,0.923632688699471,1,0.198717108830684,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.440119760479042,0.37830340195649,2,3,20,26,6,0.125950307707505,0.214692215536197,0.131079124897997,0.112000205153005,0.212435518400878,0.0929207597054429,1,1,326,1,1,1,94,94,8,29,142,46,0,0,0,0,0,0,0,995,995,253,253,147,147,5182,5182,5182,0.165824,0.165824,1,1.11022302462516e-16,0,0,0.153896068367571,0.156471440678474,1.02370622767943,0,0,1.47455999999999,0.165824,0.156227047619047
periodic-iid20,periodic,none,16094408,1559852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.109628197970396,0.110113414375663,1.06534785374022,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094408,1559852,12543667,12543667,0,1225980,610566,18721355064,52174678,46949,656421686,139599878,139599878,1,1,3,1,4,1,1,48,56,1,1,1,24,1,1,4,0,0,0,4.94491205184207,0.944912051842072,1,0.999810039378772,1,0.999810039378772,1,13462,0.789404688179083,1,0.193911844550959,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.383233532934132,0.312162359468536,4,3,12,17,2,0.132301482672656,0.212001917508046,0.109979104331665,0.0738160204438492,0.181563078281189,0.0585077214611154,1,1,326,1,1,1,30,30,5,9,48,12,0,0,0,0,0,0,0,1013,1013,235,235,128,128,4276,4276,4276,0.136832,0.136832,1,1.11022302462516e-16,0,0,0.14095925728636,0.143630659817005,1.04686741656502,0,0,1.47455999999999,0.136832,0.153465904761904
closure-response-blackout-emergency,closure,response-blackout,16094408,1559852,12543667,12543667,0,1225980,610566,18473958572,49638314,46949,656773888,139599878,139599878,1,1,3,1,4,1,1,48,56,1,1,1,24,0,0,0,4,0,0,4.94491205184207,0.944912051842072,1,0.978226338041311,1,0.978226338041311,1,13462,0.786456513637481,1,0.193911844550959,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.910179640718563,0.934881004526208,4,3,60,147,0,0.12771665645864,0.20971865763219,0.107604897184544,0.0724403500161719,0.180884998136621,0.0547479180181285,1,1,326,1,1,1,113,113,26,29,187,39,0,0,0,0,0,0,0,1023,1023,225,225,304,304,12806,12806,12806,0.409792,0.409792,1,1.11022302462516e-16,0,0,0.140297147964259,0.142930036160177,1.04265785353463,0,0,1.47455999999999,0.409792,0.179462095238094
