arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,kernelVersionHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,reliabilityCertificateHash,transactionHorizonFeasible,transactionFailureUpperBound,completionProbabilityLowerBound,prepareFailureUpperBound,evidenceFailureUpperBound,responseFailureUpperBound,commitFailureUpperBound,kernelActualSubsetOld,kernelActualSubsetUnion,kernelFinalColoringProper,prematureActivationFrames,controlAttemptBoundRatio,controlByteBoundRatio,prepareAttempts,quietAttempts,claimAttempts,responseAttempts,commitAttempts,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,maxCommandPairRadialContraction,maxLeaderPairRadialContraction,maxOtherPairRadialContraction,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,observedControlBytes,expectedControlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
closure-iid20-emergency,closure,none,16094413,1258348,14311079,14311079,0,1268831,610566,18658760513,51802267,46949,656760512,139628378,139628378,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,0.919691630814303,1,0.919691630814303,1,13418,0.828919548939475,1,0.179269227139705,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.374251497005988,0.301503869177982,2,4,12,16,1,0.116096030538772,0.21152907508729,0.0929814490619207,0.0785157189566437,0.190651496256079,0.0487612547373115,1,1,326,1,1,1,23,23,5,6,35,11,0,0,0,0,0,0,0,976,976,272,272,125,125,4130,4130,4130,0.13216,0.13216,1,4.44089209850063e-16,0,0,0.152603085240921,0.155474959056175,1.02694790989222,0,0,1.47455999999999,0.13216,0.153020952380951
closure-response-blackout-emergency,closure,response-blackout,16094413,1258348,14311079,14311079,0,1268831,610566,18411364021,49662139,46949,656646438,139628378,139628378,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,0.905299742833436,1,0.905299742833436,1,13418,0.823734058401124,1,0.179269227139705,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.934881004526208,2,4,60,149,0,0.116254460573029,0.20821894085169,0.0916169130538407,0.0797852374870578,0.189458833432258,0.0485942800620447,1,1,326,1,1,1,115,115,28,29,187,43,0,0,0,0,0,0,0,977,977,271,271,305,305,12806,12806,12806,0.409792,0.409792,1,8.88178419700125e-16,0,0,0.151659225252143,0.154479185907616,1.02841098524692,0,0,1.47455999999999,0.409792,0.179462095238094
closure-response-blackout-no-emergency,closure,response-blackout,16094413,1258348,14311079,14311079,0,1268831,610566,18411364021,49662139,46949,431911970,139628378,139628378,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.18673520253506,0,7.18673520253506,0,13418,6.25868661072246,0,-0.101696467795513,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.934881004526208,2,4,60,149,0,0.490286053363512,0.871636990527985,0.790540872278856,0.215501394842412,0.430262916755641,0.688455527179471,0,0,326,0,0,1,115,0,0,0,0,0,0,0,0,0,0,0,0,790,790,228,228,305,305,12806,12806,12806,0.409792,0.409792,1,8.88178419700125e-16,0,0,0.363391313214556,0.375950458170696,0.762262566698647,0,0,1.12127999999999,0.409792,0.14581638095238
closure-prepare-blackout-emergency,closure,prepare-blackout,16094413,1258348,14311079,14311079,0,1268831,610566,18630976444,49752327,46949,656417252,139628378,139628378,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.911781751051401,1,0.911781751051401,1,14018,0.823746348565453,1,0.149390802154888,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.029940119760479,0.0297853701270258,7,3,0,0,0,0.117534739633798,0.209709802741822,0.0927886780016482,0.0800419661154868,0.189461660170054,0.0485828066021159,1,1,326,1,1,1,87,87,0,29,139,35,0,0,0,0,0,0,0,974,974,274,274,10,10,408,408,408,0.013056,0.013056,1,4.44089209850063e-16,0,0,0.149033150092888,0.163452407207693,1.05414768482922,0,0,1.47455999999999,0.013056,0.141677714285713
closure-commit-blackout-emergency,closure,commit-blackout,16094413,1258348,14311079,14311079,0,1268831,610566,18588452519,52446551,46949,656610587,139628378,139628378,1,1,3,1,4,1,1,48,56,1,1,1,22,1,0,1,3,0,1,4.51491969950798,0.514919699507979,1,0.903791740950283,1,0.903791740950283,1,13418,0.823735014242495,1,0.179269227139705,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.389221556886228,0.311724339319609,2,4,12,16,6,0.115380413946844,0.207872100418565,0.0915800926234125,0.0770923340051168,0.189459053275774,0.0485942187602508,1,1,326,1,1,1,92,92,6,29,147,37,0,0,0,0,0,0,0,979,979,269,269,130,130,4270,4270,4270,0.13664,0.13664,1,4.44089209850063e-16,0,0,0.151025570374547,0.153808611055727,1.0278125514827,0,0,1.47455999999999,0.13664,0.153447619047618
periodic-iid20,periodic,none,16094414,803153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.112241296118349,0.112817652739243,1.06429863409295,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094414,803153,13380445,13380445,0,566826,610566,18729381922,51681250,46949,656126069,139605578,139605578,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,0.950345815739145,1,0.950345815739145,1,13418,0.895091071197969,1,0.191785232037267,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.37125748502994,0.29902175500073,2,3,12,16,1,0.12469856788252,0.218579537620003,0.0984573859441972,0.0884115816103088,0.205870946375533,0.068493936949892,1,1,326,1,1,1,23,23,5,6,37,9,0,0,0,0,0,0,0,989,989,259,259,124,124,4096,4096,4096,0.131072,0.131072,1,1.11022302462516e-16,0,0,0.148760047938194,0.151129206972388,1.0310707125458,0,0,1.47455999999999,0.131072,0.152917333333332
closure-response-blackout-emergency,closure,response-blackout,16094414,803153,13380445,13380445,0,566826,610566,18481985430,50683829,46949,657017699,139605578,139605578,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,0.953615174155023,1,0.953615174155023,1,13418,0.897172950538093,1,0.189705392978125,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.934296977660972,2,3,60,150,0,0.120341158843416,0.219331490055655,0.0989918861428695,0.0862853644432986,0.206349778623761,0.0690479721742934,1,1,326,1,1,1,115,115,28,29,182,48,0,0,0,0,0,0,0,987,987,261,261,305,305,12798,12798,12798,0.409536,0.409536,1,8.88178419700125e-16,0,0,0.148342390222358,0.150691420268227,1.02282831906308,0,0,1.47455999999999,0.409536,0.179437714285713
closure-response-blackout-no-emergency,closure,response-blackout,16094414,803153,13380445,13380445,0,566826,610566,18481985430,50683829,46949,431260244,139605578,139605578,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.30632350623282,0,7.30632350623282,0,13418,6.38986270687729,0,-0.122499707203355,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.934296977660972,2,3,60,150,0,0.482043773965457,0.882265211367694,0.803695585685611,0.243312101638991,0.429327281659547,0.702884897756502,0,0,326,0,0,1,115,0,0,0,0,0,0,0,0,0,0,0,0,805,805,213,213,305,305,12798,12798,12798,0.409536,0.409536,1,8.88178419700125e-16,0,0,0.369936484627918,0.382675191797072,0.786393812824203,0,0,1.12127999999999,0.409536,0.145791999999999
closure-prepare-blackout-emergency,closure,prepare-blackout,16094414,803153,13380445,13380445,0,566826,610566,18704511495,49660120,46949,656067589,139605578,139605578,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.953240361088614,1,0.953240361088614,1,14018,0.897138611793785,1,0.145134653219158,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.0269461077844311,0.0280332895313184,7,2,0,0,0,0.121904873790346,0.219245283050381,0.0989219691167553,0.08427388840455,0.206341880712571,0.0691193295515693,1,1,326,1,1,1,86,86,0,29,141,31,0,0,0,0,0,0,0,992,992,256,256,9,9,384,384,384,0.012288,0.012288,1,1.11022302462516e-16,0,0,0.144430817642908,0.158045092649185,1.07145454873404,0,0,1.47455999999999,0.012288,0.14160457142857
closure-commit-blackout-emergency,closure,commit-blackout,16094414,803153,13380445,13380445,0,566826,610566,18660159640,52325534,46949,656362990,139605578,139605578,1,1,3,1,4,1,1,48,56,1,1,1,22,1,0,1,3,0,1,4.51491969950798,0.514919699507979,1,0.95414109241064,1,0.95414109241064,1,13418,0.89720338305184,1,0.189625096143007,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.38622754491018,0.309242225142357,2,3,12,16,6,0.120691211095467,0.219452451254447,0.0990841780328279,0.0882255440922546,0.206356778101923,0.0688904090825897,1,1,326,1,1,1,92,92,6,29,143,41,0,0,0,0,0,0,0,983,983,265,265,129,129,4236,4236,4236,0.135552,0.135552,1,1.11022302462516e-16,0,0,0.148221369068808,0.15056149593215,1.02619728264747,0,0,1.47455999999999,0.135552,0.153343999999999
periodic-iid20,periodic,none,16094415,1549414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.114724292573192,0.115139461251577,1.06170540633801,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094415,1549414,16451381,16451381,0,2110609,610566,18667671689,52105148,46949,657081866,139599878,139599878,1,1,3,1,4,1,1,48,56,1,1,1,23,1,1,4,0,0,0,4.72991587567503,0.729915875675026,1,0.943213086384003,1,0.943213086384003,1,13440,0.884094576803954,1,0.186016934485316,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.398203592814371,0.329537158709301,3,5,16,17,2,0.114356584832845,0.216286353809936,0.10375343950224,0.0987325691685887,0.20334175266491,0.0664535057002795,1,1,326,1,1,1,33,33,8,9,52,14,0,0,0,0,0,0,0,994,994,254,254,133,133,4514,4514,4514,0.144448,0.144448,1,8.88178419700125e-16,0,0,0.149328099398997,0.152442130452177,1.02222536218701,0,0,1.47455999999999,0.144448,0.154191238095237
closure-response-blackout-emergency,closure,response-blackout,16094415,1549414,16451381,16451381,0,2110609,610566,18420275197,49876951,46949,656313006,139599878,139599878,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,0.934420226144327,1,0.934420226144327,1,13440,0.883926749318214,1,0.186016934485316,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.922155688622755,0.939115199299168,3,5,60,150,0,0.110003225209197,0.214916652013195,0.101768731832254,0.0985768044632445,0.203303152343189,0.0655375290633553,1,1,326,1,1,1,116,116,29,29,188,44,0,0,0,0,0,0,0,1000,1000,248,248,308,308,12864,12864,12864,0.411648,0.411648,1,8.88178419700125e-16,0,0,0.145979707644704,0.148909002827055,1.02891358045549,0,0,1.47455999999999,0.411648,0.179638857142856
closure-response-blackout-no-emergency,closure,response-blackout,16094415,1549414,16451381,16451381,0,2110609,610566,18420275197,49876951,46949,429587749,139599878,139599878,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,7.27195634760473,0,7.27195634760473,0,13440,6.31303038651908,0,-0.0975647470138705,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.922155688622755,0.939115199299168,3,5,60,150,0,0.473486267345536,0.866314090519655,0.79991519823652,0.239004632136819,0.442422462789615,0.694433342517098,0,0,326,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,812,812,204,204,308,308,12864,12864,12864,0.411648,0.411648,1,8.88178419700125e-16,0,0,0.368669554448537,0.381713853672115,0.762965958389602,0,0,1.11820799999999,0.411648,0.145700571428571
closure-prepare-blackout-emergency,closure,prepare-blackout,16094415,1549414,16451381,16451381,0,2110609,610566,18645091351,49664386,46949,656944884,139599878,139599878,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.926764401959888,1,0.926764401959888,1,14018,0.883749709923026,1,0.144998303313277,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.0269461077844311,0.0280332895313184,7,2,0,0,0,0.107963978303247,0.213155812450774,0.0996167479676106,0.0988059569925412,0.203262433282296,0.0652707425968431,1,1,326,1,1,1,87,87,0,29,145,29,0,0,0,0,0,0,0,1006,1006,242,242,9,9,384,384,384,0.012288,0.012288,1,0,0,0,0.141997215074674,0.156251699223825,1.07897524659929,0,0,1.47455999999999,0.012288,0.14160457142857
closure-commit-blackout-emergency,closure,commit-blackout,16094415,1549414,16451381,16451381,0,2110609,610566,18596148951,52630102,46949,657014161,139599878,139599878,1,1,3,1,4,1,1,48,56,1,1,1,23,1,0,1,3,0,1,4.72991587567503,0.729915875675026,1,0.934584661380824,1,0.934584661380824,1,13440,0.883880284906898,1,0.186016934485316,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.410179640718563,0.337713534822602,3,5,16,17,6,0.113244953739337,0.214954472117589,0.101903287523053,0.0987318840577878,0.203292465528587,0.0656509567678416,1,1,326,1,1,1,95,95,8,29,148,42,0,0,0,0,0,0,0,995,995,253,253,137,137,4626,4626,4626,0.148032,0.148032,1,8.88178419700125e-16,0,0,0.14717341279533,0.150169583982527,1.03045998544508,0,0,1.47455999999999,0.148032,0.15453257142857
periodic-iid20,periodic,none,16094416,919505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.111342280637465,0.111512209512871,1.05338867839376,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094416,919505,11766446,11766446,0,706367,610566,18692547821,52281745,46949,656574340,139594178,139594178,1,1,3,1,4,1,1,48,56,1,1,1,24,1,1,4,0,0,0,4.94491205184207,0.944912051842072,1,0.958233912265047,1,0.958233912265047,1,13462,0.853444461080185,1,0.18009710110751,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.389221556886228,0.313768433347934,4,4,12,17,3,0.123623763530527,0.220393799820961,0.094086947605794,0.0920849624770721,0.196292226048443,0.0642654158914659,1,1,326,1,1,1,32,32,6,10,57,7,0,0,0,0,0,0,0,989,989,259,259,130,130,4298,4298,4298,0.137536,0.137536,1,1.11022302462516e-16,0,0,0.154220127503297,0.158061080352912,1.03715233872125,0,0,1.47455999999999,0.137536,0.153532952380951
closure-response-blackout-emergency,closure,response-blackout,16094416,919505,11766446,11766446,0,706367,610566,18445151329,49982065,46949,656863203,139594178,139594178,1,1,3,1,4,1,1,48,56,1,1,1,24,0,0,0,4,0,0,4.94491205184207,0.944912051842072,1,0.933353055414519,1,0.933353055414519,1,13462,0.847335707429167,1,0.18009710110751,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.922155688622755,0.94159731347642,4,4,60,150,0,0.12049831965584,0.214671202745339,0.0942723016428942,0.0872959325282885,0.194887212708708,0.0642654158914659,1,1,326,1,1,1,113,113,26,29,194,32,0,0,0,0,0,0,0,993,993,255,255,308,308,12898,12898,12898,0.412736,0.412736,1,1.11022302462516e-16,0,0,0.154532685028891,0.158388633769818,1.03665436814898,0,0,1.47455999999999,0.412736,0.179742476190475
closure-response-blackout-no-emergency,closure,response-blackout,16094416,919505,11766446,11766446,0,706367,610566,18445151329,49982065,46949,434052506,139594178,139594178,1,1,3,1,4,1,1,48,56,1,1,1,24,0,0,0,4,0,0,4.94491205184207,0.944912051842072,1,6.95475065163475,0,6.95475065163475,0,13462,6.04023489762175,0,-0.093970407448658,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.922155688622755,0.94159731347642,4,4,60,150,0,0.487844817565368,0.852795941228449,0.765022571679822,0.194536315596593,0.431471155411222,0.664425838738392,0,0,326,0,0,1,113,0,0,0,0,0,0,0,0,0,0,0,0,799,799,223,223,308,308,12898,12898,12898,0.412736,0.412736,1,1.11022302462516e-16,0,0,0.359884501943484,0.372734246696231,0.760091510900022,0,0,1.12742399999999,0.412736,0.146681904761904
closure-prepare-blackout-emergency,closure,prepare-blackout,16094416,919505,11766446,11766446,0,706367,610566,18666510698,49752327,46949,657331000,139594178,139594178,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.93417947459657,1,0.93417947459657,1,14018,0.847415179956383,1,0.15357378901005,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.029940119760479,0.0297853701270258,7,3,0,0,0,0.121513513676971,0.214861279157211,0.0940789096317769,0.0857677387090208,0.194905491389968,0.0633043235848816,1,1,326,1,1,1,87,87,0,29,150,24,0,0,0,0,0,0,0,995,995,253,253,10,10,408,408,408,0.013056,0.013056,1,1.11022302462516e-16,0,0,0.151427137807461,0.16517321295051,1.05619801902754,0,0,1.47455999999999,0.013056,0.141677714285713
closure-commit-blackout-emergency,closure,commit-blackout,16094416,919505,11766446,11766446,0,706367,610566,18617340888,51648846,46949,656847598,139594178,139594178,1,1,3,1,4,1,1,48,56,1,1,1,24,1,0,1,3,0,1,4.94491205184207,0.944912051842072,1,0.934197213749924,1,0.934197213749924,1,13462,0.847320925669698,1,0.18009710110751,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.398203592814371,0.31990071543291,4,4,12,17,6,0.121572839275561,0.214865359162483,0.0948793986388695,0.0917070400986082,0.19488381290403,0.0642654158914659,1,1,326,1,1,1,92,92,8,29,156,28,0,0,0,0,0,0,0,987,987,261,261,133,133,4382,4382,4382,0.140224,0.140224,1,1.11022302462516e-16,0,0,0.154720968028451,0.158587003292661,1.03763589873105,0,0,1.47455999999999,0.140224,0.153788952380951
periodic-iid20,periodic,none,16094417,992110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.109892518564894,0.110355145030564,1.06206579051974,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094417,992110,15466316,15466316,0,849352,610566,18777641681,52103237,46949,657171843,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,0.939696233122016,1,0.939696233122016,1,13418,0.84761850690543,1,0.192638904720034,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.383233532934132,0.307636151262958,2,3,12,18,3,0.118651847402265,0.216081028757311,0.103366585643422,0.0742746057569321,0.194952256588249,0.0633825533463674,1,1,326,1,1,1,25,25,5,8,42,8,0,0,0,0,0,0,0,1004,1004,244,244,128,128,4214,4214,4214,0.134848,0.134848,1,0,0,0,0.147359910138222,0.150273565791082,1.02500931500205,0,0,1.47455999999999,0.134848,0.153276952380951
closure-response-blackout-emergency,closure,response-blackout,16094417,992110,15466316,15466316,0,849352,610566,18530245189,50453047,46949,656984804,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,0.946715123168554,1,0.946715123168554,1,13418,0.84998641055306,1,0.190073138266862,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.907185628742515,0.929770769455395,2,3,60,148,0,0.12301112967926,0.217191821568268,0.104138663548541,0.0713836901606468,0.195496874427204,0.0590536715584216,1,1,326,1,1,1,115,115,28,29,182,48,0,0,0,0,0,0,0,1004,1004,244,244,303,303,12736,12736,12736,0.407552,0.407552,1,8.88178419700125e-16,0,0,0.144405659041104,0.147149544467394,1.02706621525556,0,0,1.47455999999999,0.407552,0.179248761904761
closure-response-blackout-no-emergency,closure,response-blackout,16094417,992110,15466316,15466316,0,849352,610566,18530245189,50453047,46949,431695799,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.45137764695074,0,7.45137764695074,0,13418,6.5330457689546,0,-0.114495317747968,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.907185628742515,0.929770769455395,2,3,60,148,0,0.505770909502752,0.886974221590415,0.819651541164581,0.218716368050629,0.421488166906792,0.718635034585006,0,0,326,0,0,1,115,0,0,0,0,0,0,0,0,0,0,0,0,822,822,196,196,303,303,12736,12736,12736,0.407552,0.407552,1,8.88178419700125e-16,0,0,0.366837904839452,0.37969031913101,0.777570839898529,0,0,1.12127999999999,0.407552,0.145603047619047
closure-prepare-blackout-emergency,closure,prepare-blackout,16094417,992110,15466316,15466316,0,849352,610566,18756512555,49659928,46949,656982355,139580878,139580878,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.947416923315918,1,0.947416923315918,1,14018,0.849989719500216,1,0.148165481190818,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.0269461077844311,0.0280332895313184,7,2,0,0,0,0.118304052350919,0.217241617620556,0.104215861564751,0.0767878748484863,0.19549763548505,0.0589644858265839,1,1,326,1,1,1,86,86,0,29,139,33,0,0,0,0,0,0,0,1009,1009,239,239,9,9,384,384,384,0.012288,0.012288,1,0,0,0,0.141864954974238,0.156270717948081,1.06429081414847,0,0,1.47455999999999,0.012288,0.14160457142857
closure-commit-blackout-emergency,closure,commit-blackout,16094417,992110,15466316,15466316,0,849352,610566,18705133084,52537589,46949,657351302,139580878,139580878,1,1,3,1,4,1,1,48,56,1,1,1,22,1,0,1,3,0,1,4.51491969950798,0.514919699507979,1,0.947435484181256,1,0.947435484181256,1,13418,0.849970106168277,1,0.192638904720034,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.392215568862275,0.313768433347934,2,3,12,18,6,0.123182559881374,0.217230077831385,0.104217903259938,0.0715588391855104,0.195493124418704,0.0590110900724021,1,1,326,1,1,1,92,92,6,29,144,40,0,0,0,0,0,0,0,1001,1001,247,247,131,131,4298,4298,4298,0.137536,0.137536,1,0,0,0,0.145667603057068,0.14848470169203,1.02849766481089,0,0,1.47455999999999,0.137536,0.153532952380951
