seed,method,ackCell,scenario,RMSE,MINEVAL,AOI,TXRATE,ACKRATE,ACKDELIV,STALEACK,DUPACK,MEANOUT,MAXOUT,MAXGAP,HARDR,ADAPTR,REFRESHR,ESTAOI,MEANSCALE,MINSCALE,VIOL,FORMFAIL,SAFEFAIL
1,Causal-v3,L10 D80,Moderate,0.0779370765072501,0.500083768514637,0.125349682107175,18.3444444444444,14.6527777777778,0.894976303317536,0,0,4.4020097712636,15,0.12,0.00272562083585706,0.997274379164143,0,0.292877384196181,0.201798800799405,0.2,0,0,0
2,Causal-v3,L10 D80,Moderate,0.0774710498195199,0.5023043400031,0.124936421435059,18.3444444444444,14.6861111111111,0.895214677510876,0,0,4.40178769709083,15,0.12,0.00272562083585706,0.997274379164143,0,0.293405994550404,0.201798800799405,0.2,0,0,0
3,Causal-v3,L10 D80,Moderate,0.0773546663265033,0.503531993868439,0.124904632152588,18.3333333333333,14.5555555555556,0.884541984732824,0,0,4.41761048190095,16,0.12,0.00272727272727273,0.997272727272727,0,0.293585831062666,0.201798800799405,0.2,0,0,0
1,P10,L20 D0,Moderate,0.0943526372196879,0.477227644001585,0.153755676657584,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,L20 D0,Moderate,0.0944101757928483,0.477252763812246,0.152923100211929,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,L20 D0,Moderate,0.0966617385244957,0.47746623255154,0.154792612776264,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,L20 D0,Moderate,0.0728443440341546,0.505610677237614,0.118325764456555,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,L20 D0,Moderate,0.0726546089263445,0.50701942530458,0.117832273690584,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,L20 D0,Moderate,0.072580228255071,0.507545345522714,0.117673327278232,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,Causal-v3,L20 D0,Moderate,0.0848576861827488,0.489971635292611,0.137117771722676,14.3388888888889,11.575,0.795056395488361,0,0,2.513491005996,10,0.12,0.00348702053467648,0.996512979465323,0,0.238025431425978,0.272222684876699,0.2,0,0,0
2,Causal-v3,L20 D0,Moderate,0.0851135325956438,0.490055600553411,0.137349379352104,14.275,11.4277777777778,0.804326689353427,0,0,2.50555185431934,12,0.120000000000001,0.00350262697022767,0.996497373029772,0,0.23762216167121,0.272239340439657,0.2,0,0,0
3,Causal-v3,L20 D0,Moderate,0.0852861803832659,0.493753633783785,0.138256130790191,14.4166666666667,11.4694444444444,0.795107774279487,0,0,2.56101487896958,12,0.120000000000001,0.00346820809248555,0.996531791907514,0,0.240288828337877,0.271577281812073,0.2,0,0,0
1,P10,L20 D40,Moderate,0.0943526372196879,0.477227644001585,0.153755676657584,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,L20 D40,Moderate,0.0944101757928483,0.477252763812246,0.152923100211929,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,L20 D40,Moderate,0.0966617385244957,0.47746623255154,0.154792612776264,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
