arm,nPairs,meanRMSE,meanCost,relativeRmseVsStatic,relativeCostVsStatic,relativeRmseVsPeriodic,relativeCostVsPeriodic,rmseDeltaVsStatic,rmseCiLo,rmseCiHi,costDeltaVsStatic,costCiLo,costCiHi,physicalReacquisitionRate,physicalFinalSuppressionRate,meanManagementAirtime,periodicEpsilonDominates
coherence-static-target,60,0.0557444612707005,0.275257333333331,0,0,0.0227904238861285,-0.039978608630952,0,0,0,0,0,0,NaN,NaN,0.0565472,0
dynamic-early-delivered,60,0.0570379324126579,0.264333599999998,0.0232035813509108,-0.0396855306307302,0.0465228246917031,-0.0780775669642847,0.0012934711419574,0.00104077720704823,0.00158417585154435,-0.010923733333333,-0.011238933333333,-0.0105916399999996,1,0,0.0647264,0
dynamic-early-revoke-blackout,60,0.0570379324126579,0.264333599999998,0.0232035813509108,-0.0396855306307302,0.0465228246917031,-0.0780775669642847,0.0012934711419574,0.00105153286232193,0.00157838417769959,-0.010923733333333,-0.011244804444444,-0.0106031955555552,1,0,0.0647264,0
dynamic-late-delivered,60,0.060346474777474,0.264306044444442,0.082555529318433,-0.0397856389737915,0.107227428711872,-0.0781736731150779,0.00460201350677356,0.00404555692983684,0.00520332149499483,-0.0109512888888885,-0.0112510266666663,-0.0106670088888885,0,1,0.0651125333333333,0
dynamic-early-response-blackout,60,0.0640945598551024,0.294706577777776,0.149792434872642,0.0706584061137168,0.175996691844453,0.0278549727182575,0.00835009858440188,0.0074433907280722,0.00930442695266184,0.0194492444444451,0.0190728866666673,0.0198273822222229,0,1,0.603026133333337,1
