stage,seed,scenario,residualLoss,family,arm,pointIndex,parameterValue,method,feedbackMode,macType,pAccess,backgroundLoad,historySize,ackDeadline,posThreshold,velThreshold,aoiThreshold,maxSilence,minInterTx,aoiMinInterTx,scaleBase,scaleMin,adaptRange,RMSE,MINSEP,SAFEFAIL,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_UTIL,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,BELIEF_UPDATES
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-10,10,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.04875,0.139166666666667,0.166666666666667,0.78,0.06,0.16,0.466666666666667,0.191666666666667,1.5625,0.0670976399878162,0.514735350505601,0,0.098815015829941,0.180000000000001,0.279999999999999,0.134572591587517,0.0357575757575758,465,526,458,594,759,1158,927,231,147,0.13125,0,0,61,0,2,32,0,0,0,0,594,242,0,0.087166666666666,0.0933333333333334,0.526,0.594,0.015488,0,0,0,0.224,38.1666666666667,77.25,63.25,0.00419910714285722,0.0139999999999993,0.0263412384716734,0.0399999999999996,0.997783380107501,0.673328700000001,0,194802916094,0
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-11,11,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0654166666666667,0.155833333333333,0.18,0.42,0.08,0.08,0.566666666666667,0.158333333333333,1.6875,0.0752419581413053,0.507431292180232,0,0.116797829036635,0.279999999999999,0.358000000000001,0.160606060606061,0.0438082315694256,406,452,405,518,645,999,784,215,101,0.104123711340206,0,0,46,0,2,32,0,0,0,0,518,202,0,0.0765833333333332,0.0808333333333334,0.452,0.518,0.012928,0,0,0,0.194,33.75,65.3333333333333,53.75,0.00412474226804129,0.0129999999999999,0.0269023255813955,0.0399999999999991,0.998964645695667,0.6103906,0,194802916094,0
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-12,12,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0529166666666667,0.0975,0.126666666666667,0.36,0.02,0.1,0.433333333333333,0.141666666666667,0.9375,0.0553047332827384,0.529449099119385,0,0.0796924468566258,0.16,0.220000000000001,0.114798733604704,0.0351062867480778,625,753,615,656,967,1654,1238,416,226,0.160397444996451,0,0,128,0,2,32,0,0,0,0,656,431,0,0.107666666666663,0.117416666666667,0.753000000000001,0.656,0.0275840000000001,0,0,0,0.2818,51.25,103.166666666667,80.5833333333333,0.00437615330021297,0.0130000000000003,0.0252605997931749,0.0399999999999991,0.999524319181829,0.802306700000001,0,194802916094,0
sensitivity,13013002,Moderate,0.1,Causal-Broadcast,design-00,0,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0520209348488506,0.534161030365193,0,0.0733695160560831,0.140000000000001,0.180000000000001,0.109696969696969,0.0363274536408865,618,715,611,634,995,1579,1236,343,177,0.131208302446256,0,1,98,0,2,32,0,0,0,0,634,473,2,0.104916666666664,0.112416666666667,0.715000000000001,0.634,0.0302720000000002,0,0,0,0.2698,50.9166666666667,103,82.9166666666667,0.00435656041512236,0.0140000000000008,0.0251889447236182,0.0410000000000004,0.99870520726047,0.757656299999999,0,194982426980,0
sensitivity,13013002,Moderate,0.1,Causal-Broadcast,design-01,1,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0570833333333333,0.1475,0.0866666666666667,0.46,0.04,0.16,0.633333333333333,0.258333333333333,1.4375,0.0581975488253969,0.524636144723655,0,0.0798100407055628,0.16,0.220000000000001,0.117901402080506,0.0380913613749434,560,649,553,606,917,1429,1108,321,173,0.137848605577689,0,0,89,0,2,32,0,0,0,0,606,377,0,0.0970833333333314,0.104583333333333,0.649,0.606,0.0241280000000001,0,0,0,0.251,46.0833333333333,92.3333333333333,76.4166666666667,0.00426374501992038,0.0133000000000009,0.0253653217011997,0.0419999999999999,0.998674134186764,0.7326751,0,194982426980,0
sensitivity,13013002,Moderate,0.1,Causal-Broadcast,design-02,2,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0779166666666667,0.105833333333333,0.113333333333333,0.68,0.06,0.12,0.533333333333333,0.225,1.1875,0.057174553752331,0.526963276808309,0,0.084568068747173,0.180000000000001,0.24,0.123283582089552,0.038715513342379,533,596,524,601,873,1314,1049,265,138,0.115288220551378,0,0,63,0,2,32,0,0,0,0,601,330,0,0.0938333333333315,0.0997500000000001,0.596,0.601,0.02112,0,0,0,0.2394,43.6666666666667,87.4166666666667,72.75,0.0042974101921471,0.0140000000000002,0.0259656357388317,0.0419999999999998,0.999766967666764,0.7308121,0,194982426980,0
sensitivity,13013002,Moderate,0.1,Causal-Broadcast,design-03,3,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.06125,0.1225,0.14,0.32,0.06,0.06,0.4,0.125,1.3125,0.0613529338242364,0.521457326575479,0,0.0871189507010399,0.18,0.24,0.118362731795567,0.0312437810945274,517,598,511,590,842,1319,1018,301,163,0.137205387205387,0,0,81,0,2,32,0,0,0,0,590,314,0,0.0919999999999985,0.0990000000000001,0.598,0.59,0.020096,0,0,0,0.2376,42.5833333333333,84.8333333333333,70.1666666666667,0.00442508417508422,0.0150000000000004,0.0259394299287411,0.0429999999999993,0.997463567431289,0.6710483,0,194982426980,0
sensitivity,13013002,Moderate,0.1,Causal-Broadcast,design-04,4,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0445833333333333,0.0641666666666667,0.206666666666667,0.6,0.04,0.14,0.5,0.175,0.6875,0.0750618901136195,0.504677876852346,0,0.112528267752148,0.220000000000001,0.300000000000001,0.147001356852103,0.0344730890999548,469,516,463,594,758,1142,929,213,123,0.110810810810811,0,0,47,0,2,32,0,0,0,0,594,219,0,0.0872499999999989,0.0925000000000001,0.516,0.594,0.014016,0,0,0,0.222,38.5833333333333,77.4166666666667,63.1666666666667,0.00421621621621626,0.0130000000000004,0.0271754617414249,0.0410000000000001,0.996254211688161,0.6769509,0,194982426980,0
sensitivity,13013002,Moderate,0.1,Causal-Broadcast,design-05,5,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0320833333333333,0.114166666666667,0.153333333333333,0.28,0.06,0.18,0.733333333333333,0.275,1.9375,0.0636264333261084,0.516976143173749,0,0.090755314337404,0.19,0.26,0.131596562641339,0.0408412483039349,536,604,532,597,871,1332,1067,265,148,0.12323064113239,0,0,68,0,2,32,0,0,0,0,597,328,0,0.0937499999999983,0.100083333333333,0.604,0.597,0.0209920000000001,0,0,0,0.2402,44.3333333333333,88.9166666666667,72.5833333333333,0.00433139050791015,0.0140000000000002,0.0257359357060851,0.0419999999999998,0.999272675917099,0.6689973,0,194982426980,0
sensitivity,13013002,Moderate,0.1,Causal-Broadcast,design-06,6,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.03625,0.0725,0.22,0.64,0.04,0.12,0.6,0.208333333333333,1.8125,0.0682160446357796,0.514219265982629,0,0.10139303482587,0.200000000000001,0.279999999999999,0.14479421076436,0.0434011759384894,476,517,474,581,773,1140,952,188,128,0.116575591985428,0,0,41,0,2,32,0,0,0,0,581,253,0,0.0860833333333324,0.0915000000000001,0.517,0.581,0.016192,0,0,0,0.2196,39.5,79.3333333333333,64.4166666666667,0.00431329690346087,0.0131500000000007,0.0265795601552394,0.0410000000000004,0.999048423673796,0.6840726,0,194982426980,0
sensitivity,13013002,Moderate,0.1,Causal-Broadcast,design-07,7,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0404166666666667,0.0808333333333333,0.193333333333333,0.54,0.08,0.08,0.666666666666667,0.108333333333333,0.8125,0.0720574641411439,0.507988578565632,0,0.105888738127544,0.200000000000001,0.279999999999999,0.147444595205789,0.0415558570782452,460,534,455,575,727,1182,916,266,164,0.147880973850316,0,0,74,0,2,32,0,0,0,0,575,239,0,0.0853333333333327,0.0924166666666667,0.534,0.575,0.015296,0,0,0,0.2218,37.9166666666667,76.3333333333333,60.5833333333333,0.00458431018935985,0.0146000000000002,0.0271953232462174,0.0430000000000001,0.997446459974465,0.6908617,0,194982426980,0
sensitivity,13013002,Moderate,0.1,Causal-Broadcast,design-08,8,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.07375,0.130833333333333,0.1,0.74,0.04,0.2,0.7,0.241666666666667,1.0625,0.0642056707446687,0.517280011142151,0,0.092790592492085,0.180000000000001,0.26,0.13842605156038,0.0456354590682949,487,547,483,608,786,1209,973,236,149,0.129004329004329,0,0,60,0,2,32,0,0,0,0,608,242,0,0.0898333333333318,0.0962500000000001,0.547,0.608,0.015488,0,0,0,0.231,40.25,81.0833333333333,65.5,0.00424069264069271,0.0140000000000002,0.027083969465649,0.0430000000000001,0.99745173910255,0.700910099999999,0,194982426980,0
