parameter,rhoRMSE,rhoOfferedUtil,rhoTrueAoI,absRhoRMSE
aoiThreshold,0.853146853146853,-0.804195804195804,0.853146853146853,0.853146853146853
velThreshold,-0.342657342657343,0.195804195804196,-0.342657342657343,0.342657342657343
aoiMinInterTx,-0.305803898947399,0.347983747078075,-0.305803898947399,0.305803898947399
adaptRange,-0.272727272727273,0.223776223776224,-0.272727272727273,0.272727272727273
maxSilence,0.237762237762238,-0.223776223776224,0.237762237762238,0.237762237762238
posThreshold,-0.111888111888112,0.0629370629370629,-0.111888111888112,0.111888111888112
scaleBase,-0.104895104895105,0.0839160839160839,-0.104895104895105,0.104895104895105
minInterTx,0.101899734239601,-0.232913678261945,0.101899734239601,0.101899734239601
scaleMin,0.020979020979021,0.020979020979021,0.020979020979021,0.020979020979021
