scenario,unicastToHybridUtilRatio,unicastMinusHybridRMSE,piggybackUtilReductionPct,piggybackMinusHybridRMSE,piggybackMinusHybridEstimatedAoI,standaloneUtilIncreasePct,standaloneMinusHybridEstimatedAoI
Clean,2.01987426485494,-0.000194417600234705,37.7813830865952,-0.0059579537215685,0.0283175033921305,26.5666193469877,0.0103618272274985
Moderate,2.07833515085417,3.53263504999923e-06,38.5677935296256,-0.0032945601432413,0.024124830393487,25.0636132315525,0.00611714156490301
Stressed,2.269529393123,-0.000277973274658394,34.5587070194902,-0.0010375068457126,0.018625056535504,28.4582475043569,0.015092718227046
