arm,family,meanRMSE,maxRMSE,safeFailures,meanTrueAoI,meanEstimatedAoI,meanOfferedUtil,meanChannelUtil,meanDataFrames,meanAckFrames,meanEnergyProxyJ
aloha-p020,Causal-Broadcast,0.0528010755657803,0.0539451340557658,0,0.074791949344188,0.112971506105834,0.114625,0.10602083333333,725.75,649.75,0.2751
aloha-p020,Periodic-P10,0.0546356424152424,0.0559056921542792,0,0.0759497964721844,NaN,0.0791250000000001,0.0621458333333332,949.5,0,0.1899
csma-bg010,Causal-Broadcast,0.0521648605191773,0.0531010524401946,0,0.0744210764360017,0.113113975576662,0.116,0.205520833333317,740.75,651.25,0.2784
csma-bg010,Periodic-P10,0.0543922282988194,0.0565302293884727,0,0.0750791497060153,NaN,0.0792916666666667,0.161479166666655,951.5,0,0.1903
csma-bg030,Causal-Broadcast,0.0531594340135543,0.0542118006601986,0,0.0759724106739031,0.114966078697422,0.116291666666667,0.403833333333321,756.5,639,0.2791
csma-bg030,Periodic-P10,0.0553584289468144,0.0572565509273582,0,0.0762437810945273,NaN,0.0786458333333334,0.359749999999975,943.75,0,0.18875
csma-p010,Causal-Broadcast,0.0552491431139865,0.0554368454320713,0,0.0797693351424693,0.116266395296246,0.109958333333333,0.104874999999996,687,632.5,0.2639
csma-p010,Periodic-P10,0.0529579625432965,0.0544189293735403,0,0.0758480325644504,NaN,0.0615625,0.0555416666666664,738.75,0,0.14775
csma-p020,Causal-Broadcast,0.0528010755657803,0.0539451340557658,0,0.074791949344188,0.112971506105834,0.114625,0.10602083333333,725.75,649.75,0.2751
csma-p020,Periodic-P10,0.0546356424152424,0.0559056921542792,0,0.0759497964721844,NaN,0.0791250000000001,0.0621458333333332,949.5,0,0.1899
csma-p040,Causal-Broadcast,0.0528873784882524,0.0533601059483849,0,0.0753618272274987,0.116302578018996,0.131416666666667,0.110812499999997,935,642,0.3154
csma-p040,Periodic-P10,0.0811337859364189,0.086326341080181,0,0.123043871551334,NaN,0.116729166666663,0.0675416666666667,1400.75,0,0.280149999999991
csma-p100,Causal-Broadcast,0.364879883301122,0.384781253360965,4,0.601472184531886,3.84850746268657,0.260895833333315,0.105687499999998,2997.75,133,0.626149999999956
csma-p100,Periodic-P10,1.73723982506985,1.73723982506985,0,10,NaN,0.149999999999993,0.03,1800,0,0.359999999999983
history-stress,Causal-Broadcast,0.0572970594418283,0.0584478473409377,0,0.082274988692899,0.179690185436454,0.0856666666666664,0.0793958333333332,1028,0,0.205599999999999
history-stress,Periodic-P10,0.0747393337717541,0.0774058441150748,0,0.108842152872004,NaN,0.0791250000000001,0.0621458333333332,949.5,0,0.1899
tdma-reference,Causal-Broadcast,0.0540177223110481,0.055107242225526,0,0.0782632293080053,0.102526006331976,0.101166666666667,0.101166666666665,572.5,641.5,0.2428
tdma-reference,Periodic-P10,0.0500272215246969,0.0504447130391016,0,0.0701153324287652,NaN,0.05,0.05,600,0,0.12
