stage,seed,scenario,residualLoss,family,arm,pointIndex,parameterValue,method,feedbackMode,macType,pAccess,backgroundLoad,historySize,ackDeadline,posThreshold,velThreshold,aoiThreshold,maxSilence,minInterTx,aoiMinInterTx,scaleBase,scaleMin,adaptRange,RMSE,MINSEP,SAFEFAIL,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_UTIL,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,BELIEF_UPDATES
contention,13013001,Moderate,0.1,Periodic-P10,tdma-reference,6,0.2,periodic,none,tdma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.049617495918706,0.534752075274349,0,0.0690185436454092,0.16,0.199999999999999,NaN,NaN,600,600,595,0,0,1320,1190,130,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0.05,0.05,0.6,0,0,0,0,0,0.12,49.5833333333333,99.1666666666667,0,0.00200000000000012,0.00400000000000045,NaN,NaN,0.999971754205093,0.2465543,0,194802916094,0
contention,13013001,Moderate,0.1,Causal-Broadcast,tdma-reference,6,0.2,causal-broadcast,hybrid,tdma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0526651219589445,0.534808182145994,0,0.0771777476255087,0.140000000000001,0.200000000000001,0.102632293080054,0.0254545454545455,581,581,575,643,1023,1281,1155,126,0,0,0,0,0,0,1,32,0,0,0,0,643,350,0,0.101999999999998,0.102,0.581,0.643,0.0224000000000001,0,0,0,0.2448,47.9166666666667,96.25,85.25,0.00182679738562094,0.004,0.0210850439882699,0.0289999999999999,0.999395450767022,0.3904647,0,194802916094,0
contention,13013001,Moderate,0.1,Periodic-P10,csma-bg010,7,0.2,periodic,none,csma,0.2,0.1,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0533047075519685,0.531608346789692,0,0.0742650384441429,0.18,0.218000000000001,NaN,NaN,600,978,570,0,0,2145,1124,1021,400,0.408997955010225,0,0,378,0,1,32,0,0,0,0,0,0,0,0.159583333333322,0.0815000000000001,0.978000000000001,0,0,1.15599999999995,0.0963333333333291,0,0.1956,47.5,93.6666666666667,0,0.00620858895705533,0.0180000000000001,NaN,NaN,0.999415546464056,0.289014,0,194802916094,0
contention,13013001,Moderate,0.1,Causal-Broadcast,csma-bg010,7,0.2,causal-broadcast,hybrid,csma,0.2,0.1,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0514516847335569,0.536624874672363,0,0.0736408864767072,0.140000000000001,0.199999999999999,0.115359565807327,0.0417186793306196,628,730,619,662,989,1614,1249,365,213,0.15301724137931,0,0,102,0,2,32,0,0,0,0,662,415,0,0.203083333333317,0.116,0.730000000000001,0.662,0.0265600000000001,1.15599999999995,0.0963333333333291,0,0.2784,51.5833333333333,104.083333333333,82.4166666666667,0.00477945402298858,0.0150000000000006,0.0260353892821032,0.0446000000000002,0.998348076447062,0.436099,0,194802916094,0
contention,13013001,Moderate,0.1,Periodic-P10,csma-bg030,8,0.2,periodic,none,csma,0.2,0.3,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0538752676811333,0.531500688444395,0,0.0758932609678877,0.18,0.24,NaN,NaN,600,957,573,0,0,2101,1138,963,374,0.390804597701149,0,0,357,0,1,32,0,0,0,0,0,0,0,0.361333333333309,0.0797500000000001,0.957000000000001,0,0,3.58199999999965,0.298499999999971,0,0.1914,47.75,94.8333333333333,0,0.0077941483803554,0.0222000000000002,NaN,NaN,0.999707695820964,0.2859328,0,194802916094,0
contention,13013001,Moderate,0.1,Causal-Broadcast,csma-bg030,8,0.2,causal-broadcast,hybrid,csma,0.2,0.3,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.051847523888522,0.535120973650152,0,0.0744097693351423,0.140000000000001,0.200000000000001,0.113251922207146,0.0388421528720036,645,782,634,644,982,1744,1275,469,254,0.178120617110799,0,2,139,0,2,32,0,0,0,0,644,478,2,0.406499999999989,0.118833333333333,0.782000000000001,0.644,0.0305920000000002,3.58199999999965,0.298499999999971,0,0.2852,52.8333333333333,106.25,81.8333333333333,0.00679593267882193,0.0209999999999999,0.0295152749490836,0.0510000000000002,0.998028553693358,0.4270486,0,194802916094,0
contention,13013001,History-Stress,0.3,Periodic-P10,history-stress,9,0.2,periodic,none,csma,0.2,0,2,0.5,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0756552315752869,0.503684792182727,0,0.111940298507463,0.299999999999999,0.42,NaN,NaN,600,990,509,0,0,2171,834,1337,423,0.427272727272727,0,0,390,0,1,2,0,0,0,0,0,0,0,0.0631666666666665,0.0825000000000001,0.990000000000001,0,0,0,0,0,0.198,42.4166666666667,69.5,0,0.00553939393939405,0.0159999999999999,NaN,NaN,0.997443646653449,0.2774687,0,194802916094,0
contention,13013001,History-Stress,0.3,Causal-Broadcast,history-stress,9,0.2,causal-broadcast,hybrid,csma,0.2,0,2,0.5,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0584478473409377,0.527015944464559,0,0.0843781094527362,0.200000000000001,0.299999999999999,0.193378561736771,0.109000452284035,894,1058,819,0,702,2336,1349,987,168,0.158790170132325,0,0,164,0,1,2,0,0,13,0,0,1194,0,0.0808333333333332,0.0881666666666662,1.05799999999999,0,0.0764160000000004,0,0,0,0.211599999999999,68.25,112.416666666667,58.5,0.00454064272211733,0.0140000000000004,0.0360754985754987,0.0840000000000005,0.994567223931497,0.391483,0,194802916094,0
contention,13013002,Moderate,0.1,Periodic-P10,csma-p010,1,0.1,periodic,none,csma,0.1,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0529397555793259,0.532327699096343,0,0.0773405698778833,0.18,0.260000000000002,NaN,NaN,600,735,594,0,0,1613,1186,427,137,0.186394557823129,0,0,135,0,1,32,0,0,0,0,0,0,0,0.0554999999999998,0.06125,0.735000000000001,0,0,0,0,0,0.147,49.5,98.8333333333333,0,0.0105333333333334,0.0310000000000003,NaN,NaN,0.999931984356402,0.2662403,0,194982426980,0
contention,13013002,Moderate,0.1,Causal-Broadcast,csma-p010,1,0.1,causal-broadcast,hybrid,csma,0.1,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0554368454320713,0.529743103142569,0,0.0788150158299411,0.140000000000001,0.219999999999999,0.113469018543645,0.0346540027137042,632,682,612,632,1033,1510,1239,271,115,0.0875190258751903,0,13,63,0,2,32,0,0,0,0,632,444,23,0.104666666666663,0.1095,0.682,0.632,0.0284160000000001,0,0,0,0.2628,51,103.25,86.0833333333333,0.00992770167427706,0.0309999999999991,0.0353959341723137,0.0650000000000004,0.997905842858285,0.4211802,0,194982426980,0
