seed,method,fault,topology,N,scenario,RMSE,MINEVAL,PEAKERR,MINSEPBO,RECOVERY,PEAKAOI,TRUEAOI,ESTAOI,SAFEFAIL,DATAPRE,DATADUR,DATAPOST,ACKPRE,ACKDUR,ACKPOST,OUTMEAN,OUTMAX,PROBES,MAXGAP,CONNECTED,ISOLATED,LAMBDA2,DISCDUR
2,P10,1node 2s,ring2,N20,Moderate,0.186654838867509,0.402018824515751,0.410922124529388,0.452908017830169,4.02,0.40125,0.16590561610657,NaN,0,478.666666666667,440,480,0,0,0,NaN,NaN,NaN,NaN,1,0,0.381966011250106,0
3,P10,1node 2s,ring2,N20,Moderate,0.185051618896271,0.336187929634925,0.458810277966689,0.354524220065512,3.68,0.365833333333333,0.163814713896458,NaN,0,478.666666666667,440,480,0,0,0,NaN,NaN,NaN,NaN,1,0,0.501210479829133,0
1,P20,1node 2s,ring2,N20,Moderate,0.142681941234689,0.398826633685366,0.392434224256743,0.426826967823094,3.3,0.312500000000001,0.126574326369967,NaN,0,958.666666666667,880,960,0,0,0,NaN,NaN,NaN,NaN,1,0,0.526652189602559,0
2,P20,1node 2s,ring2,N20,Moderate,0.144641007917032,0.449437344314989,0.369720003670306,0.493733322985633,3.62,0.347083333333333,0.128621329094762,NaN,0,958.666666666667,880,960,0,0,0,NaN,NaN,NaN,NaN,1,0,0.381966011250106,0
3,P20,1node 2s,ring2,N20,Moderate,0.143618693739524,0.366773027955531,0.401460647972526,0.381993275333746,3.56,0.313333333333334,0.126738192552225,NaN,0,958.666666666667,880,960,0,0,0,NaN,NaN,NaN,NaN,1,0,0.501210479829133,0
1,State-event,1node 2s,ring2,N20,Moderate,0.314991973903284,0.258482995041011,0.579529896472639,0.33160442793102,3.44,0.488333333333333,0.283941492582501,NaN,0,182,167.5,182.4375,0,0,0,NaN,NaN,24,NaN,1,0,0.526652189602559,0
2,State-event,1node 2s,ring2,N20,Moderate,0.314514514548091,0.257472903196013,0.499344605048792,0.339154868970673,3.18,0.515416666666667,0.283792385709961,NaN,0,184,162,182.5625,0,0,0,NaN,NaN,20,NaN,1,0,0.381966011250106,0
3,State-event,1node 2s,ring2,N20,Moderate,0.325068137835492,0.236233123435058,0.55203602084292,0.281351635131532,2.7,0.519166666666667,0.289432712685437,NaN,1,193,167,181.875,0,0,0,NaN,NaN,22,NaN,1,0,0.501210479829133,0
1,Causal-v3,1node 2s,ring2,N20,Moderate,0.168560458072795,0.389954754603346,0.426787867134958,0.422705244725835,3.28,0.320416666666666,0.148919921283682,0.231007218318295,0,610.666666666667,544,605.1875,492.666666666667,439.5,483.6875,2.08209804574728,9,0,2.08,1,0,0.526652189602559,0
2,Causal-v3,1node 2s,ring2,N20,Moderate,0.169882003488164,0.417283358794835,0.393918807268775,0.471379907288768,3.62,0.35875,0.151293142597639,0.231184091017754,0,606.666666666667,532.5,604.125,492.666666666667,427.5,479,2.07792027537197,9,0,2.12,1,0,0.381966011250106,0
3,Causal-v3,1node 2s,ring2,N20,Moderate,0.169195575971587,0.35862677186057,0.419274952820063,0.371718332412926,3.48,0.318333333333334,0.149610959733576,0.231454658444496,0,607,543.5,605.4375,486,432.5,479.875,2.08497113035754,9,0,2.1,1,0,0.501210479829133,0
1,P10,1node 5s,ring2,N20,Moderate,0.213997838849351,0.321974417674214,0.980347801792928,0.321974417674214,3.6,0.617916666666667,0.206260974871329,NaN,0,478.666666666667,440,480,0,0,0,NaN,NaN,NaN,NaN,1,0,0.526652189602559,0
2,P10,1node 5s,ring2,N20,Moderate,0.223291682498481,0.400560829001462,0.946209643228788,0.452908017830169,4.1,0.71166666666667,0.217724038752649,NaN,0,478.666666666667,440,480,0,0,0,NaN,NaN,NaN,NaN,1,0,0.381966011250106,0
3,P10,1node 5s,ring2,N20,Moderate,0.215721730360139,0.324687369012544,0.988308755516534,0.324687369012544,3.96,0.61166666666667,0.205121858916137,NaN,0,478.666666666667,440,480,0,0,0,NaN,NaN,NaN,NaN,1,0,0.501210479829133,0
1,P20,1node 5s,ring2,N20,Moderate,0.174614107992784,0.339662651058651,0.935594440558023,0.339662651058651,3.58,0.56208333333333,0.167332349379352,NaN,0,958.666666666667,880,960,0,0,0,NaN,NaN,NaN,NaN,1,0,0.526652189602559,0
2,P20,1node 5s,ring2,N20,Moderate,0.184772200655943,0.414284528306682,0.910128805272782,0.457359890897536,3.78,0.664166666666667,0.179637072358462,NaN,0,958.666666666667,880,960,0,0,0,NaN,NaN,NaN,NaN,1,0,0.381966011250106,0
3,P20,1node 5s,ring2,N20,Moderate,0.177443448955771,0.34739094981119,0.946866685995991,0.34739094981119,3.8,0.561666666666664,0.16795110505601,NaN,0,958.666666666667,880,960,0,0,0,NaN,NaN,NaN,NaN,1,0,0.501210479829133,0
1,State-event,1node 5s,ring2,N20,Moderate,0.332930048059776,0.26331487990513,1.07106687960703,0.26331487990513,3.2,0.794166666666666,0.322619209809264,NaN,0,182,161.2,186.538461538462,0,0,0,NaN,NaN,26,NaN,1,0,0.526652189602559,0
2,State-event,1node 5s,ring2,N20,Moderate,0.345033597194535,0.260328217493972,1.01903622840416,0.339154868970673,3.6,0.855416666666665,0.336557674841053,NaN,0,184,154.6,187.230769230769,0,0,0,NaN,NaN,34,NaN,1,0,0.381966011250106,0
3,State-event,1node 5s,ring2,N20,Moderate,0.348247197539725,0.234697135580379,1.07951034347213,0.247804854795561,3.5,0.729583333333336,0.332875794732062,NaN,1,193,157.2,185.923076923077,0,0,0,NaN,NaN,24,NaN,1,0,0.501210479829133,0
1,Causal-v3,1node 5s,ring2,N20,Moderate,0.197162666127352,0.328430563957029,0.954073802282784,0.328430563957029,3.64,0.575833333333334,0.18930025734181,0.282997753238705,0,610.666666666667,531.2,616.538461538462,492.666666666667,424.8,493.692307692308,2.08434654674661,9,0,5.08,1,0,0.526652189602559,0
2,Causal-v3,1node 5s,ring2,N20,Moderate,0.207413120939422,0.417009334018282,0.936416609957665,0.467535259592219,3.62,0.674166666666665,0.201847941265516,0.283033605812915,0,606.666666666667,510.2,615.846153846154,492.666666666667,408.2,494.538461538462,2.0692316233622,9,0,5.12,1,0,0.381966011250106,0
3,Causal-v3,1node 5s,ring2,N20,Moderate,0.200255831652439,0.336743142794382,0.96384277647984,0.336743142794382,3.62,0.572083333333332,0.190303890402664,0.283541756298123,0,607,534,614.615384615385,486,425,489.769230769231,2.08001610037753,9,0,5.1,1,0,0.501210479829133,0
1,P10,2node 2s,ring2,N20,Moderate,0.189193933719297,0.372636983534776,0.456311429744108,0.389913688975011,3.64,0.534583333333333,0.173166061156524,NaN,0,477.666666666667,410,480,0,0,0,NaN,NaN,NaN,NaN,1,0,0.389353310078985,0
2,P10,2node 2s,ring2,N20,Moderate,0.193641188402138,0.402187028210057,0.498802392969242,0.452908017830169,4.28,0.611666666666667,0.177117014834998,NaN,0,477.333333333333,400,480,0,0,0,NaN,NaN,NaN,NaN,0,1,3.16803874807722e-16,2
3,P10,2node 2s,ring2,N20,Moderate,0.188107251795986,0.336187929633828,0.458810277985696,0.354524220065512,3.68,0.51375,0.172377005752346,NaN,0,477.666666666667,410,480,0,0,0,NaN,NaN,NaN,NaN,1,0,0.428302435480014,0
1,P20,2node 2s,ring2,N20,Moderate,0.146098331416367,0.395769130123206,0.398087393256006,0.425770431281288,3.5,0.467916666666666,0.134939070541932,NaN,0,957.666666666667,820,960,0,0,0,NaN,NaN,NaN,NaN,1,0,0.389353310078985,0
2,P20,2node 2s,ring2,N20,Moderate,0.151629134535914,0.440790165903703,0.433464030606943,0.479788200432489,3.96,0.552916666666666,0.139183696639419,NaN,0,957.333333333333,800,960,0,0,0,NaN,NaN,NaN,NaN,0,1,3.16803874807722e-16,2
3,P20,2node 2s,ring2,N20,Moderate,0.146645974485531,0.366773027934219,0.401460648133239,0.381993275333746,3.56,0.46375,0.135009461095973,NaN,0,957.666666666667,820,960,0,0,0,NaN,NaN,NaN,NaN,1,0,0.428302435480014,0
1,State-event,2node 2s,ring2,N20,Moderate,0.321943899709216,0.254564348991803,0.586242924627972,0.312938241082966,3.4,0.65875,0.298026793823796,NaN,0,181.333333333333,151,182.6875,0,0,0,NaN,NaN,31,NaN,1,0,0.389353310078985,0
2,State-event,2node 2s,ring2,N20,Moderate,0.326355529225398,0.23761568996266,0.60141252944326,0.339154868970673,5.04,0.691666666666666,0.298465031789282,NaN,1,184,143,183.625,0,0,0,NaN,NaN,24,NaN,0,1,3.16803874807722e-16,2
3,State-event,2node 2s,ring2,N20,Moderate,0.326287804234397,0.225742098892615,0.55203602084292,0.281351635131532,2.7,0.687083333333333,0.296646609143203,NaN,1,192.666666666667,149,182.9375,0,0,0,NaN,NaN,22,NaN,1,0,0.428302435480014,0
1,Causal-v3,2node 2s,ring2,N20,Moderate,0.172077305257453,0.38087140991901,0.434876570210338,0.398452928620719,3.58,0.498333333333333,0.157614290039358,0.239085520340381,0,610.333333333333,493.5,607.0625,492.666666666667,397,484.375,2.0827642682656,9,0,2.12,1,0,0.389353310078985,0
2,Causal-v3,2node 2s,ring2,N20,Moderate,0.17618297451135,0.413393555036189,0.46043316093762,0.471379907288768,3.8,0.570833333333333,0.161873297002725,0.243400736172876,0,606.333333333333,467,605.4375,492.666666666667,378.5,481.6875,2.08597046413502,9,0,2.12,0,1,3.16803874807722e-16,2
