time_s,seed,maxPositionDegradation_m,maxFinitePositionBound_m,formationRMS_m,perfectContinuationFormationRMS_m,robustFormationRMSBound_m,maxControlDisturbanceBound_mps2
8,27020001,0,0,0.117904576775363,0.117904576775363,0.117904576775363,2.22636835724961
8.02,27020001,7.84852766517467e-05,0.000165885397658363,0.117814091782964,0.117749164278499,0.117880088386864,2.40025181133886
8.04,27020001,0.000237663140109753,0.00046782321205235,0.117727174234038,0.117537830696021,0.117912761801043,2.06584416293482
8.06,27020001,0.000452650229568974,0.000872828692521526,0.117641202339027,0.117272563600105,0.118003520189178,2.29157524589496
8.08,27020001,0.000727204082863266,0.00143013945761682,0.117563134927182,0.116955305315772,0.118159053595328,2.52686490050299
8.1,27020001,0.00106455809865703,0.00212060539231785,0.117489807478186,0.116587953767503,0.118376612650433,2.4285856276959
8.12,27020001,0.00145860978438915,0.00290483741644637,0.117416243196073,0.116172363723121,0.118650284657209,2.60966908178516
8.14,27020001,0.00191249236518713,0.00379173497064532,0.11734960213909,0.1157103482123,0.118986708826595,2.79219253587441
8.16,27020001,0.00242889765871339,0.00477728914102311,0.117283616655831,0.115203679981914,0.119378479282928,2.97615598996367
8.18,27020001,0.0030101176511722,0.00585956602317454,0.117218468028733,0.114654092906706,0.119820416462351,3.16155944405293
8.2,27020001,0.00365808172852154,0.00704472355934897,0.117161308918861,0.114063283310552,0.120319293773348,2.20706556067018
8.22,27020001,0.00432179526240271,0.00833842309540954,0.117099253555107,0.113432911177305,0.120870066348861,1.82842134808232
8.24,27020001,0.00498956708892669,0.00972322589567829,0.117029110888778,0.112764601245027,0.121466006155789,2.0983243893895
8.26,27020001,0.00566837128156947,0.0112053840950116,0.116958741617875,0.112059943986432,0.122113978763352,2.04965698746868
8.28,27020001,0.00636449831291279,0.0127668726897851,0.116883247469709,0.111320496483386,0.122805016847274,1.65572236957184
8.3,27020001,0.00707476870339621,0.0143972881405085,0.116797984600223,0.110547783205977,0.123537220909339,1.92557450175258
8.32,27020001,0.007805046667787,0.0161060767789495,0.116711096796258,0.109743296707549,0.124317815668675,1.87683642472759
8.34,27020001,0.00854260169216513,0.0178895791342459,0.116615499461884,0.108908498247156,0.125129016171967,2.1481349769511
8.36,27020001,0.00928493441713997,0.0197322150216331,0.116515814416515,0.10804481835025,0.125964290619367,2.4223135291746
8.38,27020001,0.0101442374096001,0.0216414345218216,0.116419476538658,0.107153657317566,0.126831339018742,2.69937208139811
8.4,27020001,0.0110820816833871,0.0236119216787306,0.116330954782182,0.106236385691074,0.127721940689197,2.06576885657374
8.42,27020001,0.0120380410743999,0.025621669111306,0.11624604408434,0.10529434468488,0.128627715031142,2.28818574223112
8.44,27020001,0.0130202791746024,0.0276794384246657,0.116171501230825,0.104328846587841,0.129556531835882,2.53366653765764
8.46,27020001,0.0140358045099272,0.0297812429713771,0.116101854532599,0.103341175143765,0.13049840242708,2.49398795132844
8.48,27020001,0.0150792092220681,0.031933936654848,0.116034563765517,0.102332585914163,0.131456895675526,2.77268061393124
8.5,27020001,0.0161569998619884,0.0341432956422968,0.11597654526537,0.101304306627766,0.132439711722507,3.05425327653404
8.52,27020001,0.0172747181449414,0.0364146967356076,0.115930260421604,0.100257537520301,0.133451552921567,3.01874583091357
8.54,27020001,0.0184254031839859,0.03871160176686,0.115898519292659,0.099193451667492,0.134486881712741,3.30185680851545
8.56,27020001,0.0196144489742225,0.0410438013071381,0.115886916186212,0.0981131953136662,0.135553008038766,3.58784778611732
8.58,27020001,0.0208464170103908,0.0434280749388601,0.115888169783675,0.0970178881979829,0.136643360885293,3.35951876371918
8.6,27020001,0.0221036712544665,0.0461143649559477,0.115899606551781,0.0959086238798751,0.137754121091444,3.65126974132105
8.62,27020001,0.0233920726235998,0.0488659035148811,0.115927138411052,0.0947864700650227,0.138892738895176,2.52658515961004
8.64,27020001,0.0246740593194449,0.0516857147792439,0.115960994527727,0.0936524689328805,0.140061752896758,2.75475859552992
8.66,27020001,0.0260850708944263,0.054576240174238,0.115994286302239,0.0925076374665944,0.141265163721434,2.9858120314498
8.68,27020001,0.0275677416649263,0.0575401558399628,0.116033980025723,0.0913529677859258,0.142509784448461,3.21974546736968
8.7,27020001,0.0290914475312595,0.0605360296483541,0.116080811061605,0.0901894274836786,0.143786490293268,3.45655890328956
8.72,27020001,0.0306584532235418,0.0635710291017691,0.116129455616392,0.0890179599659711,0.145091436052185,3.69625233920944
8.74,27020001,0.0322707025797374,0.0666502273334036,0.11618676862256,0.0878394847966243,0.146431751385794,3.22508248348243
8.76,27020001,0.033865147446743,0.0697790785845399,0.116237387128733,0.0866548980458116,0.147793938571017,2.15147552833
8.78,27020001,0.0354489364970667,0.0729606878930676,0.11627650396681,0.085465072643087,0.149168380764557,2.42544976043948
8.8,27020001,0.0370285497401587,0.0761977465073653,0.116312140870148,0.0842708587348248,0.15056237516857,2.0475379728851
8.82,27020001,0.0385928557807923,0.0794933653628449,0.116337130567888,0.08307308404607,0.151972872155723,1.73717178524815
8.84,27020001,0.0401486580262827,0.0828493927800155,0.116350943153326,0.081872554246764,0.153392656948907,1.9581658498074
8.86,27020001,0.0417021207756843,0.0862657176171514,0.116361672777704,0.0806700533222774,0.154829740430529,1.87496818185403
8.88,27020001,0.0432501266628687,0.0896554114217774,0.116371731261083,0.07946634394816,0.156262947551561,2.14588080820579
8.9,27020001,0.0447984771968759,0.0930275680335545,0.116380234704393,0.0782621678690019,0.157684399001631,2.41967343455754
8.92,27020001,0.0463524125908874,0.0963885464764977,0.116394231676696,0.0770582462812894,0.159102347488939,2.37726531895266
8.94,27020001,0.0478974545172921,0.0997223139928298,0.116407059972306,0.0758552802201185,0.160504903246962,1.73793879136816
8.96,27020001,0.049439552211866,0.103036037586653,0.116412012397308,0.0746539509496298,0.161890242828014,1.95571772607195
8.98,27020001,0.0509840881458351,0.106336007535695,0.116416914999826,0.0734549203570144,0.16326712489972,2.19620325730151
9,27020001,0.0525079797560385,0.109617764781088,0.116416040459639,0.0722588313499425,0.164636354337537,1.97825389605958
9.02,27020001,0.0540180896604552,0.112887962410343,0.116411393377483,0.0710663082572439,0.165996310319856,2.25220988002914
9.04,27020001,0.0555206518151499,0.116152532846688,0.116410354900769,0.0698779572326823,0.167355462950927,2.00636431647452
9.06,27020001,0.0570131833936397,0.119395084918377,0.116407111386215,0.0686943666616366,0.168706722830151,1.73828149124072
9.08,27020001,0.0585015208711518,0.122623480979617,0.116393980494519,0.0675161075705137,0.170041661507657,1.95607717486728
9.1,27020001,0.0599909509713084,0.125842751911612,0.116378988480438,0.0663437340386843,0.171369095046394,2.17675285849383
