seed,family,point,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL,periodicRateHz,epsP
5,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
6,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
7,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
8,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
9,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
10,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
11,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
12,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
13,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
14,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
15,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
16,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
17,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
18,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
19,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
20,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
1,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
2,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
3,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
4,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
5,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
6,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
7,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
8,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
9,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
10,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
11,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
12,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
13,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
14,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
15,Full-AoI,p1,Clean,0.0224173159463213,0.0318953968802681,0.570663086037264,0.03,18.5555555555556,6680,1,6680,0,0,0,2,0.01
